candidate,segment_id,direction,mapped_S_segment,queue_state,signal_presence_status,simulated_speed_kmh,target_congestion_proxy,segment_congestion_proxy,max_stopline_queue_fill_ratio,fill_ratio_ge_0p50,fast_dense_no_queue_index,queue_compression_gap,approach_conflict_proxy,signal_too_generous_score,exit_too_easy_score,diagnosis,measurement_note
B04_u130_toegye15,S1,downbound,S1:downbound,free_flow,runtime_stage1_source,49.684,2.356064,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S1,upbound,S1:upbound,physical_queue,runtime_stage1_source,6.142,1.520735,3.027984,,,,,,,,physical_queue,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S2,downbound,S2:downbound,free_flow,runtime_stage1_source,41.359,2.048674,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S2,upbound,S2:upbound,physical_queue,runtime_stage1_source,8.214,1.370013,2.880945,,,,,,,,physical_queue,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S3,downbound,S3:downbound,free_flow,runtime_stage1_source,39.531,1.869411,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S3,upbound,S3:upbound,physical_queue,runtime_stage1_source,14.383,1.370113,2.2175,,,,,,,,physical_queue,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S4,downbound,S4:downbound,free_flow,runtime_stage1_source,43.081,1.870791,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S4,upbound,S4:upbound,traffic_pressure,runtime_stage1_source,16.512,1.522961,1.987009,,,,,,,,traffic_pressure,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S5,downbound,S5:downbound,physical_queue,runtime_stage1_source,13.024,2.049966,2.287905,,,,,,,,physical_queue,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S5,upbound,S5:upbound,traffic_pressure,runtime_stage1_source,16.507,1.88972,1.933101,,,,,,,,traffic_pressure,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S6,downbound,S6:downbound,traffic_pressure,runtime_stage1_source,24.465,2.047897,1.096789,,,,,,,,traffic_pressure,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S6,upbound,S6:upbound,physical_queue,runtime_stage1_source,13.363,1.890338,2.281196,,,,,,,,physical_queue,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S7,downbound,S7:downbound,free_flow,runtime_stage1_source,27.444,2.049713,0.350849,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S7,upbound,S7:upbound,physical_queue,runtime_stage1_source,6.155,1.889815,3.060744,,,,,,,,physical_queue,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S8,downbound,S8:downbound,traffic_pressure,runtime_stage1_source,18.985,2.450015,0.66201,,,,,,,,traffic_pressure,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S8,upbound,S8:upbound,physical_queue,runtime_stage1_source,4.466,1.52235,3.198876,,,,,,,,physical_queue,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S9,downbound,S9:downbound,physical_queue,runtime_stage1_source,8.773,2.441805,2.74585,,,,,,,,physical_queue,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S9,upbound,S9:upbound,physical_queue,runtime_stage1_source,2.414,1.805941,3.458075,,,,,,,,physical_queue,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S10,downbound,S10:downbound,physical_queue,runtime_stage1_source,4.06,2.358304,3.309446,,,,,,,,physical_queue,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S10,upbound,S10:upbound,traffic_pressure,runtime_stage1_source,16.524,1.890831,1.931003,,,,,,,,traffic_pressure,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S11,downbound,S11:downbound,traffic_pressure,runtime_stage1_source,19.853,2.442892,1.342597,,,,,,,,traffic_pressure,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S11,upbound,S11:upbound,free_flow,runtime_stage1_source,58.143,1.703732,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S12,downbound,S12:downbound,free_flow,runtime_stage1_source,76.558,2.246647,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S12,upbound,S12:upbound,free_flow,runtime_stage1_source,50.005,1.890766,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S13,downbound,S13:downbound,free_flow,runtime_stage1_source,74.151,2.052299,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S13,upbound,S13:upbound,free_flow,runtime_stage1_source,36.879,1.371529,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S14,downbound,S14:downbound,free_flow,runtime_stage1_source,75.677,1.867072,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S14,upbound,S14:upbound,traffic_pressure,runtime_stage1_source,15.795,1.370399,1.681356,,,,,,,,traffic_pressure,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S15,downbound,S15:downbound,free_flow,runtime_stage1_source,70.427,1.869452,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S15,upbound,S15:upbound,physical_queue,runtime_stage1_source,6.644,1.802974,2.984358,,,,,,,,physical_queue,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S16,downbound,S16:downbound,physical_queue,runtime_stage1_source,0.606,2.357626,3.6035,,,,,,,,physical_queue,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S16,upbound,S16:upbound,free_flow,runtime_stage1_source,49.006,1.521063,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S17,downbound,S17:downbound,physical_queue,runtime_stage1_source,1.162,2.051125,3.547851,,,,,,,,physical_queue,Active B04 run edgeData/laneData proxy; no field-observed queue length.
B04_u130_toegye15,S17,upbound,S17:upbound,free_flow,runtime_stage1_source,56.291,1.371529,0.0,,,,,,,,free_flow,Active B04 run edgeData/laneData proxy; no field-observed queue length.
