movement_id,tls_id,from_edge,to_edge,linkIndex,control_linkIndex,ev_route_linkIndex,parallel_through_linkIndex,same_lane_blocking_linkIndex,same_lane_blocking_to_edges,flush_linkIndex,selected_flush_phase,full_through_phase,ev_route_phase,full_through_phase_available,same_lane_blocker_flush_available,control_strategy,approach_lanes,storage_edges,storage_lanes,local_storage_edges,local_storage_lanes,local_storage_80m_edges,local_storage_120m_edges,corridor_storage_edges,corridor_storage_lanes,stopline_local_storage_m,stopline_local_actual_length_m,corridor_storage_length_m,corridor_storage_raw_length_m,lane_count,from_edge_lane_count,to_edge_lane_count,lane_drop_delta,selected_green_phase,selected_red_phase,red_phase_available,green_only_no_red_phase,mapped_S_segment,mapped_segment_id,mapped_direction,route_order_index,controllable,storage_definition,linkIndex_note
B4_MOVEMENT_00,CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,-174870621#2,-174870621#0,1 2 3,1 2 3,1 2 3,1 2 3,0,381807720#1,0,2,0,0,True,True,parallel_through_green,-174870621#2_0 -174870621#2_1 -174870621#2_2,-174870621#4 -174870621#2,-174870621#4_0 -174870621#4_1 -174870621#4_2 -174870621#2_0 -174870621#2_1 -174870621#2_2,-174870621#4 -174870621#2,-174870621#4_0 -174870621#4_1 -174870621#4_2 -174870621#2_0 -174870621#2_1 -174870621#2_2,-174870621#4 -174870621#2,-174870621#6 -174870621#5 -174870621#4 -174870621#2,420331801#1 -174870621#8 -174870621#7 -174870621#6 -174870621#5 -174870621#4 -174870621#2,420331801#1_0 -174870621#8_0 -174870621#8_1 -174870621#8_2 -174870621#7_0 -174870621#7_1 -174870621#7_2 -174870621#6_0 -174870621#6_1 -174870621#6_2 -174870621#5_0 -174870621#5_1 -174870621#5_2 -174870621#4_0 -174870621#4_1 -174870621#4_2 -174870621#2_0 -174870621#2_1 -174870621#2_2,100.0,100.0,250.0,250.0,3,3,3,0,0,2,True,False,S1:upbound,S1,upbound,6,True,stopline_local_100m_primary; corridor_250m_auxiliary,"SUMO TLS movement index, not physical storage length."
B4_MOVEMENT_01,CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,800229255,180368918#0,3 4 5,3 4 5,3 4 5,3 4 5,,,,,0,0,True,False,parallel_through_green,800229255_0 800229255_1 800229255_2,-174870621#0 578313748#0 578313748#2 800229255,-174870621#0_0 -174870621#0_1 -174870621#0_2 578313748#0_0 578313748#0_1 578313748#0_2 578313748#2_0 578313748#2_1 578313748#2_2 800229255_0 800229255_1 800229255_2,-174870621#0 578313748#0 578313748#2 800229255,-174870621#0_0 -174870621#0_1 -174870621#0_2 578313748#0_0 578313748#0_1 578313748#0_2 578313748#2_0 578313748#2_1 578313748#2_2 800229255_0 800229255_1 800229255_2,-174870621#0 578313748#0 578313748#2 800229255,-174870621#2 -174870621#0 578313748#0 578313748#2 800229255,-174870621#0 578313748#0 578313748#2 800229255,-174870621#0_0 -174870621#0_1 -174870621#0_2 578313748#0_0 578313748#0_1 578313748#0_2 578313748#2_0 578313748#2_1 578313748#2_2 800229255_0 800229255_1 800229255_2,100.0,100.0,101.96,101.96,3,3,3,0,0,2,True,False,S2:upbound,S2,upbound,10,True,stopline_local_100m_primary; corridor_250m_auxiliary,"SUMO TLS movement index, not physical storage length."
B4_MOVEMENT_02,cluster_3846534041_436877431,180368918#3,180368918#5,0 1 2,0 1 2,0 1 2,0 1 2,3,-381452176#1,3,0,0,0,True,False,parallel_through_green,180368918#3_0 180368918#3_1 180368918#3_2,578313748#0 578313748#2 800229255 180368918#0 180368918#3,578313748#0_0 578313748#0_1 578313748#0_2 578313748#2_0 578313748#2_1 578313748#2_2 800229255_0 800229255_1 800229255_2 180368918#0_0 180368918#0_1 180368918#0_2 180368918#3_0 180368918#3_1 180368918#3_2,578313748#0 578313748#2 800229255 180368918#0 180368918#3,578313748#0_0 578313748#0_1 578313748#0_2 578313748#2_0 578313748#2_1 578313748#2_2 800229255_0 800229255_1 800229255_2 180368918#0_0 180368918#0_1 180368918#0_2 180368918#3_0 180368918#3_1 180368918#3_2,578313748#2 800229255 180368918#0 180368918#3,-174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3,180368918#0 180368918#3,180368918#0_0 180368918#0_1 180368918#0_2 180368918#3_0 180368918#3_1 180368918#3_2,100.0,100.0,71.52,71.52,3,3,3,0,0,2,True,False,S3:upbound,S3,upbound,12,True,stopline_local_100m_primary; corridor_250m_auxiliary,"SUMO TLS movement index, not physical storage length."
B4_MOVEMENT_03,CSV_TLS_S05_S06_GWANGHUI_INTERSECTION,180368918#8,218773868#0,5 6,5 6,5 6,5 6,4 7,-218923171#5 -913009312#10,4 7,2,0,0,True,True,parallel_through_green,180368918#8_0 180368918#8_1,180368918#3 180368918#5 180368918#6 180368918#7 180368918#8,180368918#3_0 180368918#3_1 180368918#3_2 180368918#5_0 180368918#5_1 180368918#5_2 180368918#6_0 180368918#6_1 180368918#6_2 180368918#7_0 180368918#7_1 180368918#7_2 180368918#8_0 180368918#8_1,180368918#3 180368918#5 180368918#6 180368918#7 180368918#8,180368918#3_0 180368918#3_1 180368918#3_2 180368918#5_0 180368918#5_1 180368918#5_2 180368918#6_0 180368918#6_1 180368918#6_2 180368918#7_0 180368918#7_1 180368918#7_2 180368918#8_0 180368918#8_1,180368918#6 180368918#7 180368918#8,180368918#3 180368918#5 180368918#6 180368918#7 180368918#8,180368918#5 180368918#6 180368918#7 180368918#8,180368918#5_0 180368918#5_1 180368918#5_2 180368918#6_0 180368918#6_1 180368918#6_2 180368918#7_0 180368918#7_1 180368918#7_2 180368918#8_0 180368918#8_1,100.0,100.0,99.24,99.24,2,2,2,0,0,2,True,False,S5:upbound,S5,upbound,16,True,stopline_local_100m_primary; corridor_250m_auxiliary,"SUMO TLS movement index, not physical storage length."
B4_MOVEMENT_04,joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,-1455512070,428260110,7 8,7 8,7 8,7 8,6 9,-1455512067 1455512071,6 9,0,0,0,True,False,parallel_through_green,-1455512070_0 -1455512070_1,218773868#5 218773868#6 -1455512070,218773868#5_0 218773868#5_1 218773868#6_0 218773868#6_1 -1455512070_0 -1455512070_1,218773868#5 218773868#6 -1455512070,218773868#5_0 218773868#5_1 218773868#6_0 218773868#6_1 -1455512070_0 -1455512070_1,218773868#6 -1455512070,218773868#5 218773868#6 -1455512070,218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070,218773868#0_0 218773868#0_1 218773868#2_0 218773868#2_1 218773868#3_0 218773868#3_1 218773868#4_0 218773868#4_1 218773868#5_0 218773868#5_1 218773868#6_0 218773868#6_1 -1455512070_0 -1455512070_1,100.0,100.0,250.0,250.0,2,2,2,0,0,2,True,False,S6:upbound,S6,upbound,23,True,stopline_local_100m_primary; corridor_250m_auxiliary,"SUMO TLS movement index, not physical storage length."
B4_MOVEMENT_05,CSV_TLS_S08_S09_TOEGYE_RO_4_GA,785130600#3,1455497345,0 1,0 1,0 1,0 1,2,-1455497346,2,2,0,0,True,True,parallel_through_green,785130600#3_0 785130600#3_1,785130600#2 785130600#3,785130600#2_0 785130600#2_1 785130600#3_0 785130600#3_1,785130600#2 785130600#3,785130600#2_0 785130600#2_1 785130600#3_0 785130600#3_1,785130600#2 785130600#3,785130600#2 785130600#3,428260110 785130600#0 785130600#1 785130600#2 785130600#3,428260110_0 428260110_1 785130600#0_0 785130600#0_1 785130600#1_0 785130600#1_1 785130600#2_0 785130600#2_1 785130600#3_0 785130600#3_1,100.0,100.0,250.0,250.0,2,2,3,-1,0,2,True,False,S7:upbound,S7,upbound,28,True,stopline_local_100m_primary; corridor_250m_auxiliary,"SUMO TLS movement index, not physical storage length."
B4_MOVEMENT_06,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,218773869#7,218773869#8,6 7 8,6 7 8,6 7 8,6 7 8,,,,,2,2,True,False,parallel_through_green,218773869#7_0 218773869#7_1 218773869#7_2,218773869#6 218773869#7,218773869#6_0 218773869#6_1 218773869#6_2 218773869#7_0 218773869#7_1 218773869#7_2,218773869#6 218773869#7,218773869#6_0 218773869#6_1 218773869#6_2 218773869#7_0 218773869#7_1 218773869#7_2,218773869#6 218773869#7,218773869#6 218773869#7,1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7,1455497345_0 1455497345_1 1455497345_2 218773869#1_0 218773869#1_1 218773869#1_2 218773869#3_0 218773869#3_1 218773869#3_2 218773869#4_0 218773869#4_1 218773869#4_2 218773869#5_0 218773869#5_1 218773869#5_2 218773869#6_0 218773869#6_1 218773869#6_2 218773869#7_0 218773869#7_1 218773869#7_2,100.0,100.0,250.0,250.0,3,3,3,0,2,0,True,False,S9:upbound,S9,upbound,35,True,stopline_local_100m_primary; corridor_250m_auxiliary,"SUMO TLS movement index, not physical storage length."
B4_MOVEMENT_07,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,218773869#9,219696193#1,24 25,24 25,24 25,24 25,23,219696192#0,23,8,8,8,True,False,parallel_through_green,218773869#9_0 218773869#9_1 218773869#9_2,218773869#6 218773869#7 218773869#8 218773869#9,218773869#6_0 218773869#6_1 218773869#6_2 218773869#7_0 218773869#7_1 218773869#7_2 218773869#8_0 218773869#8_1 218773869#8_2 218773869#9_0 218773869#9_1 218773869#9_2,218773869#6 218773869#7 218773869#8 218773869#9,218773869#6_0 218773869#6_1 218773869#6_2 218773869#7_0 218773869#7_1 218773869#7_2 218773869#8_0 218773869#8_1 218773869#8_2 218773869#9_0 218773869#9_1 218773869#9_2,218773869#6 218773869#7 218773869#8 218773869#9,218773869#6 218773869#7 218773869#8 218773869#9,218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 218773869#9,218773869#1_0 218773869#1_1 218773869#1_2 218773869#3_0 218773869#3_1 218773869#3_2 218773869#4_0 218773869#4_1 218773869#4_2 218773869#5_0 218773869#5_1 218773869#5_2 218773869#6_0 218773869#6_1 218773869#6_2 218773869#7_0 218773869#7_1 218773869#7_2 218773869#8_0 218773869#8_1 218773869#8_2 218773869#9_0 218773869#9_1 218773869#9_2,100.0,100.0,250.0,250.0,3,3,2,1,8,0,True,False,S9:upbound,S9,upbound,37,True,stopline_local_100m_primary; corridor_250m_auxiliary,"SUMO TLS movement index, not physical storage length."
B4_MOVEMENT_08,CSV_TLS_S11_S12_TOEGYE_RO_2_GA,420361196,180445419,0 1,0 1,0 1,0 1,,,,,0,0,True,False,parallel_through_green,420361196_0 420361196_1,420361196,420361196_0 420361196_1,420361196,420361196_0 420361196_1,420361196,420361196,219696193#2 781985793#0 781985793#1 420361196,219696193#2_0 219696193#2_1 781985793#0_0 781985793#0_1 781985793#1_0 781985793#1_1 420361196_0 420361196_1,100.0,100.0,250.0,250.0,2,2,2,0,0,,False,True,S11:upbound,S11,upbound,42,True,stopline_local_100m_primary; corridor_250m_auxiliary,"SUMO TLS movement index, not physical storage length."
B4_MOVEMENT_09,CSV_TLS_S13_S14_MYEONGDONG_STATION_FRONT,347237859#1,347237859#2,0 1 2,0 1 2,0 1 2,0 1 2,3,-270279684#1,3,2,0,0,True,True,parallel_through_green,347237859#1_0 347237859#1_1 347237859#1_2,180445419 347237859#0 347237859#1,180445419_0 180445419_1 347237859#0_0 347237859#0_1 347237859#1_0 347237859#1_1 347237859#1_2,180445419 347237859#0 347237859#1,180445419_0 180445419_1 347237859#0_0 347237859#0_1 347237859#1_0 347237859#1_1 347237859#1_2,347237859#0 347237859#1,180445419 347237859#0 347237859#1,180445419 347237859#0 347237859#1,180445419_0 180445419_1 347237859#0_0 347237859#0_1 347237859#1_0 347237859#1_1 347237859#1_2,100.0,100.0,185.97,185.97,3,3,3,0,0,2,True,False,S13:upbound,S13,upbound,45,True,stopline_local_100m_primary; corridor_250m_auxiliary,"SUMO TLS movement index, not physical storage length."
