movement_id,tls_id,from_edge,to_edge,route_order_index,q_avg_b0_proxy_veh,q_max_b0_proxy_veh,tQ_hist_b0_sec,lambda_b0_vph,L_local_m,L_corridor_m,C_local_proxy_veh,lane_count,queue_calibration_reference_m,queue_calibration_measured_m,queue_calibration_factor,queue_calibration_factor_applied,queue_calibration_source,measurement_source,field_queue_claim,measurement_note
B4_MOVEMENT_00,CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,-174870621#2,-174870621#0,6,0.139558,5.178149,3.4521,65.23,100.0,250.0,46.153846,3,33.658,0.907127,37.103956,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_u130_toegye15_edge_lane_data,false,"B0 measured means SUMO B04_u130_toegye15 no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_01,CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,800229255,180368918#0,10,0.907469,23.166443,15.444295,330.828766,100.0,101.96,46.153846,3,146.47,5.898548,24.831533,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_u130_toegye15_edge_lane_data,false,"B0 measured means SUMO B04_u130_toegye15 no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_02,cluster_3846534041_436877431,180368918#3,180368918#5,12,0.770418,13.90914,9.27276,404.102177,100.0,71.52,46.153846,3,90.409,5.007717,18.053936,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_u130_toegye15_edge_lane_data,false,"B0 measured means SUMO B04_u130_toegye15 no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_03,CSV_TLS_S05_S06_GWANGHUI_INTERSECTION,180368918#8,218773868#0,16,1.112624,13.846324,13.846324,464.106154,100.0,99.24,30.769231,2,90.001,7.232056,12.444732,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_u130_toegye15_edge_lane_data,false,"B0 measured means SUMO B04_u130_toegye15 no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_04,joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,-1455512070,428260110,23,3.682226,22.437204,22.437204,490.464386,100.0,250.0,30.769231,2,145.842,23.934469,6.093388,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_u130_toegye15_edge_lane_data,false,"B0 measured means SUMO B04_u130_toegye15 no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_05,CSV_TLS_S08_S09_TOEGYE_RO_4_GA,785130600#3,1455497345,28,7.05813,30.769615,30.769615,413.033421,100.0,250.0,30.769231,2,106.03,45.877845,2.311137,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_u130_toegye15_edge_lane_data,false,"B0 measured means SUMO B04_u130_toegye15 no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_06,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,218773869#7,218773869#8,35,8.807066,35.690277,23.793518,127.673852,100.0,250.0,46.153846,3,152.299,57.245929,2.660434,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_u130_toegye15_edge_lane_data,false,"B0 measured means SUMO B04_u130_toegye15 no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_07,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,218773869#9,219696193#1,37,4.935364,35.690277,23.793518,119.337414,100.0,250.0,46.153846,3,152.299,32.079866,4.747495,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_u130_toegye15_edge_lane_data,false,"B0 measured means SUMO B04_u130_toegye15 no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_08,CSV_TLS_S11_S12_TOEGYE_RO_2_GA,420361196,180445419,42,0.0,0.0,0.0,30.0,100.0,250.0,30.769231,2,0.0,0.0,1.0,1.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_u130_toegye15_edge_lane_data,false,"B0 measured means SUMO B04_u130_toegye15 no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_09,CSV_TLS_S13_S14_MYEONGDONG_STATION_FRONT,347237859#1,347237859#2,45,0.030351,0.649871,0.433247,277.663333,100.0,185.97,46.153846,3,4.224,0.197281,21.411029,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_u130_toegye15_edge_lane_data,false,"B0 measured means SUMO B04_u130_toegye15 no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_10,CSV_TLS_S14_S15_DAYS_HOTEL_FRONT,347237859#4,347237859#5,48,0.799057,13.279248,8.852832,272.059351,100.0,167.98,46.153846,3,86.315,5.193871,16.618628,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_u130_toegye15_edge_lane_data,false,"B0 measured means SUMO B04_u130_toegye15 no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_11,joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,781985787#0,218915135#3,50,2.413607,14.937216,9.958144,245.830595,100.0,106.77,46.153846,3,97.092,15.688445,6.188758,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_u130_toegye15_edge_lane_data,false,"B0 measured means SUMO B04_u130_toegye15 no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_12,CSV_TLS_S16_S17_SHINSEGAE_DEPARTMENT_STORE,218915135#4,781983104#0,52,0.071364,2.01256,1.341707,230.400886,100.0,139.73,46.153846,3,13.082,0.463866,28.20211,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_u130_toegye15_edge_lane_data,false,"B0 measured means SUMO B04_u130_toegye15 no-control edge/lane data proxy, not field-observed queue length."
B4_MOVEMENT_13,CSV_TLS_S17_S18_NAMDAEMUN_MARKET,781983104#0,781983104#1,53,0.073128,2.01256,1.341707,198.157609,100.0,88.08,46.153846,3,5.094,0.475332,10.71672,2.0,b4_bottleneck_queue_readiness.csv/b4_b0_measured_signal_params.csv,SUMO_B04_u130_toegye15_edge_lane_data,false,"B0 measured means SUMO B04_u130_toegye15 no-control edge/lane data proxy, not field-observed queue length."
