candidate,movement_id,tls_id,from_edge,to_edge,linkIndex,control_linkIndex,ev_route_linkIndex,parallel_through_linkIndex,same_lane_blocking_linkIndex,flush_linkIndex,selected_flush_phase,full_through_phase_available,same_lane_blocker_flush_available,control_strategy,mapped_S_segment,route_order_index,stopline_local_queue_m_proxy,local_queue_m_proxy_80m,local_queue_m_proxy_100m,local_queue_m_proxy_120m,corridor_queue_m_proxy,local_fill_80m,local_fill_100m,local_fill_120m,stopline_local_fill_100m,corridor_fill_250m,approach_speed_kmh,density,occupancy,waiting,timeLoss,low_speed_interval_count,fast_dense_flow,signal_only_delay,control_candidate,trigger_reason,traffic_pressure,operational_queue,downstream_blockage_evidence,bottleneck_risk,control_mode,queue_evidence_source
B04_u130_toegye15,B4_MOVEMENT_00,CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,-174870621#2,-174870621#0,1 2 3,1 2 3,1 2 3,1 2 3,0,0,2,True,True,parallel_through_green,S1:upbound,6,33.658,33.658,33.658,33.658,33.658,0.420725,0.33658,0.280483,0.33658,0.134632,6.142,279.71,67.25,1201.57,240.0,56,False,False,True,speed_le_15kmh,True,True,True,True,bottleneck_first,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_u130_toegye15,B4_MOVEMENT_01,CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,800229255,180368918#0,3 4 5,3 4 5,3 4 5,3 4 5,,,,True,False,parallel_through_green,S2:upbound,10,146.47,104.514,146.47,150.582,150.582,1.0,1.0,1.0,1.0,1.0,8.214,336.4,76.44,1201.57,1201.57,89,False,False,True,local_fill_ge_0p50+speed_le_15kmh,True,True,True,True,bottleneck_first,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_u130_toegye15,B4_MOVEMENT_02,cluster_3846534041_436877431,180368918#3,180368918#5,0 1 2,0 1 2,0 1 2,0 1 2,3,3,0,True,False,parallel_through_green,S3:upbound,12,90.409,90.409,90.409,90.409,90.409,1.0,0.90409,0.753408,0.90409,1.0,14.383,370.14,76.44,721.28,721.28,46,False,False,True,local_fill_ge_0p50+speed_le_15kmh,True,True,True,True,bottleneck_first,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_u130_toegye15,B4_MOVEMENT_03,CSV_TLS_S05_S06_GWANGHUI_INTERSECTION,180368918#8,218773868#0,5 6,5 6,5 6,5 6,4 7,4 7,2,True,True,parallel_through_green,S5:upbound,16,90.001,90.001,90.001,90.001,90.001,1.0,0.90001,0.750008,0.90001,0.906902,16.507,370.14,76.16,720.0,720.0,42,False,False,True,local_fill_ge_0p50,True,True,True,True,bottleneck_first,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_u130_toegye15,B4_MOVEMENT_04,joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,-1455512070,428260110,7 8,7 8,7 8,7 8,6 9,6 9,0,True,False,parallel_through_green,S6:upbound,23,145.842,145.842,145.842,145.842,145.842,1.0,1.0,1.0,1.0,0.583368,13.363,266.67,69.01,1200.0,1200.0,95,False,False,True,local_fill_ge_0p50+speed_le_15kmh,True,True,True,True,bottleneck_first,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_u130_toegye15,B4_MOVEMENT_05,CSV_TLS_S08_S09_TOEGYE_RO_4_GA,785130600#3,1455497345,0 1,0 1,0 1,0 1,2,2,2,True,True,parallel_through_green,S7:upbound,28,106.03,106.03,106.03,131.782,264.003,1.0,1.0,1.0,1.0,1.0,6.155,387.64,71.38,2160.0,2160.0,111,False,False,True,local_fill_ge_0p50+speed_le_15kmh,True,True,True,True,bottleneck_first,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_u130_toegye15,B4_MOVEMENT_06,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,218773869#7,218773869#8,6 7 8,6 7 8,6 7 8,6 7 8,,,,True,False,parallel_through_green,S9:upbound,35,152.299,152.299,152.299,197.955,231.987,1.0,1.0,1.0,1.0,0.927948,2.414,400.0,71.42,2040.0,2039.99,430,False,False,True,local_fill_ge_0p50+speed_le_15kmh,True,True,True,True,bottleneck_first,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_u130_toegye15,B4_MOVEMENT_07,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,218773869#9,219696193#1,24 25,24 25,24 25,24 25,23,23,8,True,False,parallel_through_green,S9:upbound,37,152.299,152.299,152.299,152.299,231.987,1.0,1.0,1.0,1.0,0.927948,2.414,400.0,71.42,2040.0,1853.59,430,False,False,True,local_fill_ge_0p50+speed_le_15kmh,True,True,False,True,bottleneck_first,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_u130_toegye15,B4_MOVEMENT_08,CSV_TLS_S11_S12_TOEGYE_RO_2_GA,420361196,180445419,0 1,0 1,0 1,0 1,,,,True,False,parallel_through_green,S11:upbound,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.143,24.68,8.18,42.78,12.31,2,False,False,False,below_default_trigger,False,False,False,False,normal_preemptive,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_u130_toegye15,B4_MOVEMENT_09,CSV_TLS_S13_S14_MYEONGDONG_STATION_FRONT,347237859#1,347237859#2,0 1 2,0 1 2,0 1 2,0 1 2,3,3,2,True,True,parallel_through_green,S13:upbound,45,4.224,4.224,4.224,4.224,4.224,0.0528,0.04224,0.0352,0.04224,0.022713,36.879,85.11,40.38,350.55,55.94,8,False,False,False,below_default_trigger,False,False,True,True,bottleneck_first,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_u130_toegye15,B4_MOVEMENT_10,CSV_TLS_S14_S15_DAYS_HOTEL_FRONT,347237859#4,347237859#5,0 1 2,0 1 2,0 1 2,0 1 2,,,,True,False,parallel_through_green,S14:upbound,48,86.315,82.836,86.315,86.315,86.315,1.0,0.86315,0.719292,0.86315,0.513841,15.795,138.06,68.36,689.33,689.33,25,False,False,True,local_fill_ge_0p50,True,True,True,True,bottleneck_first,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_u130_toegye15,B4_MOVEMENT_11,joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,781985787#0,218915135#3,18,18,18,14 15 16 18,15 16 17,15 16 17,2,False,True,route_green_with_same_lane_blocker_flush,S15:upbound,50,97.092,97.092,97.092,97.092,97.092,1.0,0.97092,0.8091,0.97092,0.909357,6.644,232.96,68.36,775.45,775.45,71,False,False,True,local_fill_ge_0p50+speed_le_15kmh,True,True,False,True,bottleneck_first,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_u130_toegye15,B4_MOVEMENT_12,CSV_TLS_S16_S17_SHINSEGAE_DEPARTMENT_STORE,218915135#4,781983104#0,5 6 7,5 6 7,5 6 7,5 6 7,8 9,8 9,2,True,True,parallel_through_green,S16:upbound,52,13.082,13.082,13.082,13.082,13.082,0.163525,0.13082,0.109017,0.13082,0.093623,49.006,94.97,20.47,164.04,164.04,6,False,False,False,below_default_trigger,False,False,False,False,normal_preemptive,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_u130_toegye15,B4_MOVEMENT_13,CSV_TLS_S17_S18_NAMDAEMUN_MARKET,781983104#0,781983104#1,2 3 4,2 3 4,2 3 4,2 3 4,0 1,0 1,2,True,True,parallel_through_green,S17:upbound,53,5.094,2.416,5.094,13.082,2.66,0.0302,0.05094,0.109017,0.05094,0.0302,56.291,94.97,20.47,164.04,164.04,6,False,False,False,below_default_trigger,False,False,False,False,normal_preemptive,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_u130_toegye15,B4_MOVEMENT_14,CSV_TLS_S18_S19_SAMSEON_BUILDING,333557072#1,333557072#2,0 1 2,0 1 2,0 1 2,0 1 2,,,,True,False,parallel_through_green,S18:upbound,55,1.543,1.543,1.543,1.543,1.543,0.019287,0.01543,0.012858,0.01543,0.006632,76.507,23.34,10.38,25.24,25.24,0,False,False,False,below_default_trigger,False,False,False,False,normal_preemptive,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_u130_toegye15,B4_MOVEMENT_15,CSV_TLS_S19_S20_SEVERANCE_BUILDING,333557072#5,619147738#0,0 1 2,0 1 2,0 1 2,0 1 2,,,,True,False,parallel_through_green,S19:upbound,58,3.067,3.067,3.067,3.067,3.067,0.038338,0.03067,0.025558,0.03067,0.016927,67.943,23.34,10.38,70.26,51.01,0,False,False,False,below_default_trigger,False,False,False,False,normal_preemptive,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_u130_toegye15,B4_MOVEMENT_16,joinedS_11139302899_11139302904_11178710208_cluster_11139302901_4704751520_5593950663_5593950669_#1more_#1more,619147738#0,619147738#1,2 3 4,2 3 4,2 3 4,2 3 4,,,,True,False,parallel_through_green,S21:upbound,59,4.221,3.377,4.221,4.368,4.368,0.042213,0.04221,0.0364,0.04221,0.042211,48.392,16.08,4.27,70.26,70.26,0,False,False,False,below_default_trigger,False,False,False,False,normal_preemptive,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
