connected_road_no,side_edge_sub_index,side_edge_id,relation_to_mainroad_node,junction_id,nearest_route_edge_id,nearest_segment_id,mainroad_edge_ids_at_junction,distance_from_fire_station_m,side_edge_length_m,side_edge_lane_count,side_edge_speed_kmh,side_from_node,side_to_node
1,1,-381802847#4,leaves_mainroad_node,3785139882,420331801#1,S1,420331801#1,0.0,16.56,1,50.0,3785139882,3849700345
1,2,-381802847#5,enters_mainroad_node,3785139882,420331801#1,S1,420331801#1,0.0,23.46,1,50.0,cluster_436833098_8496719929,3785139882
1,3,-420331801#0,leaves_mainroad_node,3785139882,420331801#1,S1,420331801#1,0.0,82.24,1,30.0,3785139882,3785139881
1,4,-420331801#1,enters_mainroad_node,3785139882,420331801#1,S1,420331801#1,0.0,90.33,2,30.0,cluster_3849737606_8401234720_8496719924,3785139882
1,5,381802847#4,enters_mainroad_node,3785139882,420331801#1,S1,420331801#1,0.0,16.56,1,50.0,3849700345,3785139882
1,6,381802847#5,leaves_mainroad_node,3785139882,420331801#1,S1,420331801#1,0.0,22.99,1,50.0,3785139882,cluster_436833098_8496719929
1,7,420331801#0,enters_mainroad_node,3785139882,420331801#1,S1,420331801#1,0.0,82.24,1,30.0,3785139881,3785139882
2,1,-381807698#2,leaves_mainroad_node,cluster_3849737606_8401234720_8496719924,420331801#1,S1,-174870621#8 -174870621#9 174870621#8 174870621#9 420331801#1,89.43,84.29,2,50.0,cluster_3849737606_8401234720_8496719924,cluster_8401224588_8401234723
2,2,-420331801#1,leaves_mainroad_node,cluster_3849737606_8401234720_8496719924,420331801#1,S1,-174870621#8 -174870621#9 174870621#8 174870621#9 420331801#1,89.43,90.33,2,30.0,cluster_3849737606_8401234720_8496719924,3785139882
2,3,381807698#2,enters_mainroad_node,cluster_3849737606_8401234720_8496719924,420331801#1,S1,-174870621#8 -174870621#9 174870621#8 174870621#9 420331801#1,89.43,83.76,1,50.0,cluster_8401224588_8401234723,cluster_3849737606_8401234720_8496719924
3,1,-381802881#1,leaves_mainroad_node,cluster_3849700778_8496719967,-174870621#8,S1,-174870621#7 -174870621#8 174870621#7 174870621#8,146.56,53.37,2,50.0,cluster_3849700778_8496719967,3849700349
