segment_id,direction,segment_length_m,target_speed_kmh,target_travel_time_s,reference_volume_vph,speed_limit_kmh,free_flow_travel_time_s,travel_time_delay_ratio,speed_deficit_kmh,low_speed_weight
S1,upbound,356.9,18.3,70.2,1128.0,50.0,25.697,2.731858,31.7,0.556667
S1,downbound,356.9,14.5,88.6,1128.0,50.0,25.697,3.4479,35.5,0.683333
S2,upbound,181.0,19.2,33.9,1128.0,50.0,13.032,2.601289,30.8,0.526667
S2,downbound,181.0,15.7,41.5,1128.0,50.0,13.032,3.184469,34.3,0.643333
S3,upbound,129.2,19.2,24.2,1128.0,50.0,9.302,2.601479,30.8,0.526667
S3,downbound,129.2,16.5,28.2,1128.0,50.0,9.302,3.031476,33.5,0.616667
S4,upbound,125.9,18.3,24.8,1128.0,50.0,9.065,2.735857,31.7,0.556667
S4,downbound,125.9,16.5,27.5,1128.0,50.0,9.065,3.033713,33.5,0.616667
S5,upbound,40.1,16.4,8.8,1128.0,50.0,2.887,3.047936,33.6,0.62
S5,downbound,40.1,15.7,9.2,1128.0,50.0,2.887,3.186478,34.3,0.643333
S6,upbound,444.6,16.4,97.6,1128.0,50.0,32.011,3.048933,33.6,0.62
S6,downbound,444.6,15.7,101.9,1128.0,50.0,32.011,3.183261,34.3,0.643333
S7,upbound,342.2,16.4,75.1,1128.0,50.0,24.638,3.048088,33.6,0.62
S7,downbound,342.2,15.7,78.5,1128.0,50.0,24.638,3.186084,34.3,0.643333
S8,upbound,45.2,18.3,8.9,759.0,50.0,3.254,2.734759,31.7,0.556667
S8,downbound,45.2,14.2,11.5,759.0,50.0,3.254,3.533677,35.8,0.693333
S9,upbound,468.9,16.8,100.5,759.0,50.0,33.761,2.976825,33.2,0.606667
S9,downbound,468.9,14.2,118.9,759.0,50.0,33.761,3.521836,35.8,0.693333
S10,upbound,214.5,16.4,47.1,759.0,50.0,15.444,3.049728,33.6,0.62
S10,downbound,214.5,14.5,53.3,759.0,50.0,15.444,3.451178,35.5,0.683333
S11,upbound,128.9,17.3,26.8,759.0,50.0,9.281,2.887682,32.7,0.59
S11,downbound,128.9,14.2,32.7,759.0,50.0,9.281,3.523403,35.8,0.693333
S12,upbound,201.3,16.4,44.2,759.0,50.0,14.494,3.049622,33.6,0.62
S12,downbound,201.3,14.9,48.6,759.0,50.0,14.494,3.353204,35.1,0.67
S13,upbound,64.0,19.2,12.0,759.0,50.0,4.608,2.604167,30.8,0.526667
S13,downbound,64.0,15.7,14.7,759.0,50.0,4.608,3.190104,34.3,0.643333
S14,upbound,202.3,19.2,37.9,759.0,50.0,14.566,2.602021,30.8,0.526667
S14,downbound,202.3,16.5,44.1,759.0,50.0,14.566,3.027682,33.5,0.616667
S15,upbound,163.1,16.8,34.9,759.0,50.0,11.743,2.971933,33.2,0.606667
S15,downbound,163.1,16.5,35.6,759.0,50.0,11.743,3.031542,33.5,0.616667
S16,upbound,220.6,18.3,43.4,759.0,50.0,15.883,2.732447,31.7,0.556667
S16,downbound,220.6,14.5,54.8,759.0,50.0,15.883,3.450186,35.5,0.683333
S17,upbound,171.2,19.2,32.1,759.0,50.0,12.326,2.604167,30.8,0.526667
S17,downbound,171.2,15.7,39.3,759.0,50.0,12.326,3.188279,34.3,0.643333
S18,upbound,182.6,18.3,35.9,759.0,50.0,13.147,2.730619,31.7,0.556667
S18,downbound,182.6,16.5,39.8,759.0,50.0,13.147,3.027261,33.5,0.616667
S19,upbound,277.8,18.3,54.6,759.0,50.0,20.002,2.729782,31.7,0.556667
S19,downbound,277.8,15.7,63.7,759.0,50.0,20.002,3.184745,34.3,0.643333
S20,upbound,17.2,18.3,3.4,759.0,50.0,1.238,2.745478,31.7,0.556667
S20,downbound,17.2,15.7,3.9,759.0,50.0,1.238,3.149225,34.3,0.643333
S21,upbound,82.1,18.3,16.2,759.0,50.0,5.911,2.74056,31.7,0.556667
S21,downbound,82.1,14.2,20.8,759.0,50.0,5.911,3.518744,35.8,0.693333
S22,upbound,120.2,16.8,25.8,759.0,50.0,8.654,2.981143,33.2,0.606667
S22,downbound,120.2,14.2,30.5,759.0,50.0,8.654,3.524219,35.8,0.693333
