segment_id,direction,edge_id,edge_order,axis_position,matched_length_m,segment_length_m,match_ratio,current_lanes,target_lanes,lane_delta,repair_target,repair_reason
S1,upbound,-218684411#1,1,0.0,48.22973,356.9,0.135135,3,3,0,False,excluded_low_overlap
S1,upbound,-218684411#0,2,0.042545,57.875676,356.9,0.162162,3,3,0,False,excluded_low_overlap
S1,upbound,-174870621#10,3,0.145939,77.167568,356.9,0.216216,3,3,0,False,excluded_low_overlap
S1,upbound,-174870621#9,4,0.175885,67.521622,356.9,0.189189,3,3,0,False,excluded_low_overlap
S1,upbound,-174870621#8,5,0.327647,106.105405,356.9,0.297297,3,3,0,False,excluded_low_overlap
S1,upbound,-174870621#7,6,0.467983,67.521622,356.9,0.189189,3,3,0,False,excluded_low_overlap
S1,upbound,-174870621#6,7,0.517519,86.813514,356.9,0.243243,3,3,0,False,excluded_low_overlap
S1,upbound,-174870621#5,8,0.60558,67.521622,356.9,0.189189,3,3,0,False,excluded_low_overlap
S1,upbound,-381802847#2,9,0.648185,67.521622,356.9,0.189189,3,3,0,False,excluded_low_overlap
S1,upbound,-174870621#4,10,0.675262,106.105405,356.9,0.297297,3,3,0,False,excluded_low_overlap
S1,upbound,-381802847#1,11,0.843715,77.167568,356.9,0.216216,3,3,0,False,excluded_low_overlap
S1,upbound,-174870621#2,12,0.932159,86.813514,356.9,0.243243,3,3,0,False,excluded_low_overlap
S1,upbound,-174870621#0,13,1.0,9.645946,356.9,0.027027,3,3,0,False,excluded_low_overlap
S1,upbound,-381802847#0,14,1.0,57.875676,356.9,0.162162,3,3,0,False,excluded_low_overlap
S1,downbound,174870621#0,1,0.0,9.645946,356.9,0.027027,3,3,0,False,excluded_low_overlap
S1,downbound,381802847#0,2,0.0,38.583784,356.9,0.108108,3,3,0,False,excluded_low_overlap
S1,downbound,174870621#2,3,0.067234,96.459459,356.9,0.27027,3,3,0,False,excluded_low_overlap
S1,downbound,381802847#1,4,0.154893,57.875676,356.9,0.162162,3,3,0,False,excluded_low_overlap
S1,downbound,174870621#4,5,0.324817,106.105405,356.9,0.297297,3,3,0,False,excluded_low_overlap
S1,downbound,381802847#2,6,0.345957,28.937838,356.9,0.081081,3,3,0,False,excluded_low_overlap
S1,downbound,174870621#5,7,0.394487,67.521622,356.9,0.189189,3,3,0,False,excluded_low_overlap
S1,downbound,174870621#6,8,0.48223,96.459459,356.9,0.27027,3,3,0,False,excluded_low_overlap
S1,downbound,174870621#7,9,0.531409,77.167568,356.9,0.216216,3,3,0,False,excluded_low_overlap
S1,downbound,174870621#8,10,0.672167,115.751351,356.9,0.324324,3,3,0,False,excluded_low_overlap
S1,downbound,174870621#9,11,0.82404,77.167568,356.9,0.216216,3,3,0,False,excluded_low_overlap
S1,downbound,174870621#10,12,0.853666,77.167568,356.9,0.216216,3,3,0,False,excluded_low_overlap
S1,downbound,218684411#0,13,0.957084,57.875676,356.9,0.162162,3,3,0,False,excluded_low_overlap
S1,downbound,218684411#1,14,1.0,48.22973,356.9,0.135135,3,3,0,False,excluded_low_overlap
S1,downbound,218684411#2,15,1.0,9.645946,356.9,0.027027,3,3,0,False,excluded_low_overlap
S2,upbound,-174870621#2,1,0.0,45.25,181.0,0.25,3,3,0,False,excluded_low_overlap
S2,upbound,-381802847#0,2,0.254849,144.8,181.0,0.8,3,3,0,True,dominant_mainline_overlap_lane_repair
S2,upbound,-174870621#0,3,0.354774,126.7,181.0,0.7,3,3,0,True,dominant_mainline_overlap_lane_repair
S2,upbound,183272387#0,4,0.654909,63.35,181.0,0.35,3,3,0,True,dominant_mainline_overlap_lane_repair
S2,upbound,578313748#0,5,0.675241,81.45,181.0,0.45,3,3,0,True,dominant_mainline_overlap_lane_repair
S2,upbound,183272387#1,6,0.7572,81.45,181.0,0.45,3,3,0,True,dominant_mainline_overlap_lane_repair
S2,upbound,578313748#2,7,0.853259,72.4,181.0,0.4,3,3,0,True,dominant_mainline_overlap_lane_repair
S2,upbound,800229255,8,0.917467,54.3,181.0,0.3,3,3,0,False,excluded_low_overlap
S2,upbound,180368918#0,9,1.0,36.2,181.0,0.2,3,3,0,False,excluded_low_overlap
S2,upbound,183272387#2,10,1.0,45.25,181.0,0.25,3,3,0,False,excluded_low_overlap
S2,downbound,-180368918#0,1,0.0,36.2,181.0,0.2,3,3,0,False,excluded_low_overlap
S2,downbound,183272647,2,0.0,54.3,181.0,0.3,3,3,0,False,excluded_low_overlap
S2,downbound,-800229255,3,0.094775,54.3,181.0,0.3,3,3,0,False,excluded_low_overlap
S2,downbound,578313749#0,4,0.104519,54.3,181.0,0.3,3,3,0,False,excluded_low_overlap
S2,downbound,-578313748#2,5,0.159939,72.4,181.0,0.4,3,3,0,True,dominant_mainline_overlap_lane_repair
S2,downbound,578313749#1,6,0.16389,72.4,181.0,0.4,3,3,0,True,dominant_mainline_overlap_lane_repair
S2,downbound,-578313748#0,7,0.335691,72.4,181.0,0.4,3,3,0,True,dominant_mainline_overlap_lane_repair
S2,downbound,174870621#0,8,0.647058,135.75,181.0,0.75,3,3,0,True,dominant_mainline_overlap_lane_repair
S2,downbound,381802847#0,9,0.746791,135.75,181.0,0.75,3,3,0,True,dominant_mainline_overlap_lane_repair
S2,downbound,174870621#2,10,1.0,45.25,181.0,0.25,3,3,0,False,excluded_low_overlap
S3,upbound,578313748#2,1,0.0,18.457143,129.2,0.142857,3,3,0,False,excluded_low_overlap
S3,upbound,800229255,2,0.0,27.685714,129.2,0.214286,3,3,0,False,excluded_low_overlap
S3,upbound,180368918#0,3,0.210743,83.057143,129.2,0.642857,3,3,0,True,dominant_mainline_overlap_lane_repair
S3,upbound,180368918#3,4,0.726695,83.057143,129.2,0.642857,3,3,0,True,dominant_mainline_overlap_lane_repair
S3,upbound,180368918#5,5,1.0,36.914286,129.2,0.285714,3,3,0,False,excluded_low_overlap
S3,downbound,-180368918#5,1,0.0,36.914286,129.2,0.285714,3,3,0,False,excluded_low_overlap
S3,downbound,-180368918#6,2,0.0,9.228571,129.2,0.071429,3,3,0,False,excluded_low_overlap
S3,downbound,-180368918#3,3,0.2544,73.828571,129.2,0.571429,3,3,0,True,dominant_mainline_overlap_lane_repair
S3,downbound,-180368918#0,4,0.766307,83.057143,129.2,0.642857,3,3,0,True,dominant_mainline_overlap_lane_repair
S3,downbound,183272647,5,0.830314,64.6,129.2,0.5,3,3,0,True,dominant_mainline_overlap_lane_repair
S3,downbound,-578313748#2,6,1.0,18.457143,129.2,0.142857,3,3,0,False,excluded_low_overlap
S3,downbound,-800229255,7,1.0,27.685714,129.2,0.214286,3,3,0,False,excluded_low_overlap
S4,upbound,180368918#3,1,0.0,8.992857,125.9,0.071429,3,3,0,False,excluded_low_overlap
S4,upbound,180368918#5,2,0.034239,44.964286,125.9,0.357143,3,3,0,True,dominant_mainline_overlap_lane_repair
S4,upbound,180368918#6,3,0.289347,62.95,125.9,0.5,3,3,0,True,dominant_mainline_overlap_lane_repair
S4,upbound,180368918#7,4,0.747264,80.935714,125.9,0.642857,3,3,0,True,dominant_mainline_overlap_lane_repair
S4,upbound,180368918#8,5,1.0,26.978571,125.9,0.214286,2,3,1,False,excluded_low_overlap
S4,upbound,913702834,6,1.0,17.985714,125.9,0.142857,2,3,1,False,excluded_low_overlap
S4,downbound,-180368918#8,1,0.0,26.978571,125.9,0.214286,3,3,0,False,excluded_low_overlap
S4,downbound,1395426737#0,2,0.0,8.992857,125.9,0.071429,3,3,0,False,excluded_low_overlap
S4,downbound,1395426737#1,3,0.0,26.978571,125.9,0.214286,3,3,0,False,excluded_low_overlap
S4,downbound,-180368918#7,4,0.248119,80.935714,125.9,0.642857,3,3,0,True,dominant_mainline_overlap_lane_repair
S4,downbound,-180368918#6,5,0.707765,71.942857,125.9,0.571429,3,3,0,True,dominant_mainline_overlap_lane_repair
S4,downbound,-180368918#5,6,0.962942,44.964286,125.9,0.357143,3,3,0,True,dominant_mainline_overlap_lane_repair
S4,downbound,-180368918#3,7,1.0,17.985714,125.9,0.142857,3,3,0,False,excluded_low_overlap
S5,upbound,180368918#7,1,0.0,13.366667,40.1,0.333333,3,2,-1,False,excluded_low_overlap
S5,upbound,913702834,2,0.374832,20.05,40.1,0.5,2,2,0,True,dominant_mainline_overlap_lane_repair
S5,upbound,180368918#8,3,0.511081,40.1,40.1,1.0,2,2,0,True,dominant_mainline_overlap_lane_repair
S5,downbound,-218773868#0,1,0.0,6.683333,40.1,0.166667,3,3,0,False,excluded_low_overlap
S5,downbound,1395426737#0,2,0.0,40.1,40.1,1.0,3,3,0,True,dominant_mainline_overlap_lane_repair
S5,downbound,-180368918#8,3,0.476327,40.1,40.1,1.0,3,3,0,True,dominant_mainline_overlap_lane_repair
S5,downbound,1395426737#1,4,0.706443,40.1,40.1,1.0,3,3,0,True,dominant_mainline_overlap_lane_repair
S5,downbound,-180368918#7,5,1.0,20.05,40.1,0.5,3,3,0,True,dominant_mainline_overlap_lane_repair
S6,upbound,180368918#8,1,0.0,19.330435,444.6,0.043478,2,2,0,False,excluded_low_overlap
S6,upbound,218773868#0,2,0.075619,57.991304,444.6,0.130435,2,2,0,False,excluded_low_overlap
S6,upbound,218773868#2,3,0.185693,77.321739,444.6,0.173913,2,2,0,False,excluded_low_overlap
S6,upbound,218773868#3,4,0.333035,48.326087,444.6,0.108696,2,2,0,False,excluded_low_overlap
S6,upbound,218773868#4,5,0.467939,96.652174,444.6,0.217391,2,2,0,False,excluded_low_overlap
S6,upbound,218773868#5,6,0.62087,86.986957,444.6,0.195652,2,2,0,False,excluded_low_overlap
S6,upbound,218773868#6,7,0.718684,57.991304,444.6,0.130435,2,2,0,False,excluded_low_overlap
S6,upbound,-1455512070,8,0.844705,125.647826,444.6,0.282609,2,2,0,False,excluded_low_overlap
S6,upbound,428260110,9,1.0,28.995652,444.6,0.065217,2,2,0,False,excluded_low_overlap
S6,downbound,1455512066,1,0.0,28.995652,444.6,0.065217,3,3,0,False,excluded_low_overlap
S6,downbound,785130603,2,0.0,28.995652,444.6,0.065217,3,3,0,False,excluded_low_overlap
S6,downbound,1455512070,3,0.156123,125.647826,444.6,0.282609,3,3,0,False,excluded_low_overlap
S6,downbound,-218773868#6,4,0.281825,67.656522,444.6,0.152174,3,3,0,False,excluded_low_overlap
S6,downbound,-218773868#5,5,0.379351,106.317391,444.6,0.23913,3,3,0,False,excluded_low_overlap
S6,downbound,-218773868#4,6,0.532365,115.982609,444.6,0.26087,3,3,0,False,excluded_low_overlap
S6,downbound,-218773868#3,7,0.667532,67.656522,444.6,0.152174,3,3,0,False,excluded_low_overlap
S6,downbound,-218773868#2,8,0.814954,96.652174,444.6,0.217391,3,3,0,False,excluded_low_overlap
S6,downbound,-218773868#0,9,0.923003,77.321739,444.6,0.173913,3,3,0,False,excluded_low_overlap
S6,downbound,1395426737#0,10,0.991192,48.326087,444.6,0.108696,3,3,0,False,excluded_low_overlap
S6,downbound,-180368918#8,11,1.0,28.995652,444.6,0.065217,3,3,0,False,excluded_low_overlap
S6,downbound,1395426737#1,12,1.0,19.330435,444.6,0.043478,3,3,0,False,excluded_low_overlap
S7,upbound,428260110,1,0.071929,76.044444,342.2,0.222222,2,2,0,False,excluded_low_overlap
S7,upbound,785130600#0,2,0.208866,104.561111,342.2,0.305556,2,2,0,False,excluded_low_overlap
S7,upbound,785130600#1,3,0.346655,76.044444,342.2,0.222222,2,2,0,False,excluded_low_overlap
S7,upbound,381453320#0,4,0.442525,57.033333,342.2,0.166667,2,2,0,False,excluded_low_overlap
S7,upbound,785130600#2,5,0.638262,190.111111,342.2,0.555556,2,2,0,True,dominant_mainline_overlap_lane_repair
S7,upbound,785130600#3,6,0.930879,85.55,342.2,0.25,2,2,0,False,excluded_low_overlap
S7,upbound,1455497345,7,1.0,9.505556,342.2,0.027778,3,2,-1,False,excluded_low_overlap
S7,downbound,1455497343#0,1,0.044285,66.538889,342.2,0.194444,3,3,0,False,excluded_low_overlap
S7,downbound,1455497343#1,2,0.223733,142.583333,342.2,0.416667,3,3,0,True,dominant_mainline_overlap_lane_repair
S7,downbound,1455497343#2,3,0.428056,85.55,342.2,0.25,3,3,0,False,excluded_low_overlap
S7,downbound,-381453320#0,4,0.541248,57.033333,342.2,0.166667,3,3,0,False,excluded_low_overlap
