group_id,segment_id,direction,edge_id,edge_order,axis_position,matched_length_m,match_ratio,lane_count,geometry_source
S1_downbound,S1,downbound,174870621#0,1,0.0,9.645946,0.027027,3,sumo_net_shape
S1_downbound,S1,downbound,381802847#0,2,0.0,38.583784,0.108108,3,sumo_net_shape
S1_downbound,S1,downbound,174870621#2,3,0.067234,96.459459,0.27027,3,sumo_net_shape
S1_downbound,S1,downbound,381802847#1,4,0.154893,57.875676,0.162162,3,sumo_net_shape
S1_downbound,S1,downbound,174870621#4,5,0.324817,106.105405,0.297297,3,sumo_net_shape
S1_downbound,S1,downbound,381802847#2,6,0.345957,28.937838,0.081081,3,sumo_net_shape
S1_downbound,S1,downbound,174870621#5,7,0.394487,67.521622,0.189189,3,sumo_net_shape
S1_downbound,S1,downbound,174870621#6,8,0.48223,96.459459,0.27027,3,sumo_net_shape
S1_downbound,S1,downbound,174870621#7,9,0.531409,77.167568,0.216216,3,sumo_net_shape
S1_downbound,S1,downbound,174870621#8,10,0.672167,115.751351,0.324324,3,sumo_net_shape
S1_downbound,S1,downbound,174870621#9,11,0.82404,77.167568,0.216216,3,sumo_net_shape
S1_downbound,S1,downbound,174870621#10,12,0.853666,77.167568,0.216216,3,sumo_net_shape
S1_downbound,S1,downbound,218684411#0,13,0.957084,57.875676,0.162162,3,sumo_net_shape
S1_downbound,S1,downbound,218684411#1,14,1.0,48.22973,0.135135,3,sumo_net_shape
S1_downbound,S1,downbound,218684411#2,15,1.0,9.645946,0.027027,3,sumo_net_shape
S1_upbound,S1,upbound,-218684411#1,1,0.0,48.22973,0.135135,3,sumo_net_shape
S1_upbound,S1,upbound,-218684411#0,2,0.042545,57.875676,0.162162,3,sumo_net_shape
S1_upbound,S1,upbound,-174870621#10,3,0.145939,77.167568,0.216216,3,sumo_net_shape
S1_upbound,S1,upbound,-174870621#9,4,0.175885,67.521622,0.189189,3,sumo_net_shape
S1_upbound,S1,upbound,-174870621#8,5,0.327647,106.105405,0.297297,3,sumo_net_shape
S1_upbound,S1,upbound,-174870621#7,6,0.467983,67.521622,0.189189,3,sumo_net_shape
S1_upbound,S1,upbound,-174870621#6,7,0.517519,86.813514,0.243243,3,sumo_net_shape
S1_upbound,S1,upbound,-174870621#5,8,0.60558,67.521622,0.189189,3,sumo_net_shape
S1_upbound,S1,upbound,-381802847#2,9,0.648185,67.521622,0.189189,3,sumo_net_shape
S1_upbound,S1,upbound,-174870621#4,10,0.675262,106.105405,0.297297,3,sumo_net_shape
S1_upbound,S1,upbound,-381802847#1,11,0.843715,77.167568,0.216216,3,sumo_net_shape
S1_upbound,S1,upbound,-174870621#2,12,0.932159,86.813514,0.243243,3,sumo_net_shape
S1_upbound,S1,upbound,-174870621#0,13,1.0,9.645946,0.027027,3,sumo_net_shape
S1_upbound,S1,upbound,-381802847#0,14,1.0,57.875676,0.162162,3,sumo_net_shape
