edge_id,current_lanes,target_lanes,source_segment_ids,source_directions,total_matched_length_m,max_match_ratio,repair_reason
-1455512070,2,2,S6,upbound,125.648,0.282609,compact_v9_one_edge_one_lane_target_mainroad_min_2
-174870621#0,2,3,S1 S2,upbound,136.346,0.7,compact_v9_one_edge_one_lane_target_mainroad_min_2
-174870621#10,2,3,S1,upbound,77.168,0.216216,compact_v9_one_edge_one_lane_target_mainroad_min_2
-174870621#2,2,3,S1 S2,upbound,132.064,0.25,compact_v9_one_edge_one_lane_target_mainroad_min_2
-174870621#4,2,3,S1,upbound,106.105,0.297297,compact_v9_one_edge_one_lane_target_mainroad_min_2
-174870621#5,2,3,S1,upbound,67.522,0.189189,compact_v9_one_edge_one_lane_target_mainroad_min_2
-174870621#6,2,3,S1,upbound,86.814,0.243243,compact_v9_one_edge_one_lane_target_mainroad_min_2
-174870621#7,2,3,S1,upbound,77.168,0.216216,compact_v9_one_edge_one_lane_target_mainroad_min_2
-174870621#8,2,3,S1,upbound,115.751,0.324324,compact_v9_one_edge_one_lane_target_mainroad_min_2
-174870621#9,2,3,S1,upbound,77.168,0.216216,compact_v9_one_edge_one_lane_target_mainroad_min_2
-180368918#0,2,3,S2 S3,downbound,119.257,0.642857,compact_v9_one_edge_one_lane_target_mainroad_min_2
-180368918#3,2,3,S3 S4,downbound,101.043,0.642857,compact_v9_one_edge_one_lane_target_mainroad_min_2
-180368918#5,2,3,S3 S4,downbound,91.107,0.357143,compact_v9_one_edge_one_lane_target_mainroad_min_2
-180368918#6,2,3,S3 S4,downbound,90.164,0.642857,compact_v9_one_edge_one_lane_target_mainroad_min_2
-180368918#7,2,3,S4 S5,downbound,109.979,0.714286,compact_v9_one_edge_one_lane_target_mainroad_min_2
-180368918#8,2,3,S4 S5 S6,downbound,87.081,1.0,compact_v9_one_edge_one_lane_target_mainroad_min_2
-218684411#0,3,3,S1,upbound,57.876,0.162162,compact_v9_one_edge_one_lane_target_mainroad_min_2
-218684411#1,3,3,S1,upbound,38.584,0.108108,compact_v9_one_edge_one_lane_target_mainroad_min_2
-218773868#0,2,3,S5 S6,downbound,74.34,0.166667,compact_v9_one_edge_one_lane_target_mainroad_min_2
-218773868#2,2,3,S6,downbound,96.652,0.217391,compact_v9_one_edge_one_lane_target_mainroad_min_2
-218773868#3,2,3,S6,downbound,77.322,0.173913,compact_v9_one_edge_one_lane_target_mainroad_min_2
-218773868#4,2,3,S6,downbound,115.983,0.26087,compact_v9_one_edge_one_lane_target_mainroad_min_2
-218773868#5,2,3,S6,downbound,106.317,0.23913,compact_v9_one_edge_one_lane_target_mainroad_min_2
-218773868#6,2,3,S6,downbound,77.322,0.173913,compact_v9_one_edge_one_lane_target_mainroad_min_2
-273638834#1,1,2,S10,upbound,18.652,0.086957,compact_v9_one_edge_one_lane_target_mainroad_min_2
-273638834#2,1,3,S10 S9,upbound,76.069,0.122449,compact_v9_one_edge_one_lane_target_mainroad_min_2
-315658884#1,1,3,S18,downbound,27.39,0.15,compact_v9_one_edge_one_lane_target_mainroad_min_2
-315658897#0,1,3,S19,upbound,9.579,0.034483,compact_v9_one_edge_one_lane_target_mainroad_min_2
-381453320#0,1,3,S7,downbound,66.539,0.194444,compact_v9_one_edge_one_lane_target_mainroad_min_2
-381802847#0,1,3,S1 S2,upbound,202.676,0.8,compact_v9_one_edge_one_lane_target_mainroad_min_2
-381802847#1,1,3,S1,upbound,77.168,0.216216,compact_v9_one_edge_one_lane_target_mainroad_min_2
-381802847#2,1,3,S1,upbound,57.876,0.162162,compact_v9_one_edge_one_lane_target_mainroad_min_2
-578313748#0,2,3,S2,downbound,81.45,0.45,compact_v9_one_edge_one_lane_target_mainroad_min_2
-578313748#2,2,3,S2 S3,downbound,90.857,0.4,compact_v9_one_edge_one_lane_target_mainroad_min_2
-800229255,2,3,S2 S3,downbound,81.986,0.3,compact_v9_one_edge_one_lane_target_mainroad_min_2
-955312947#1,1,3,S17,upbound,63.074,0.368421,compact_v9_one_edge_one_lane_target_mainroad_min_2
