edge_id,target_lanes,current_lanes,lane_delta,source_segment_ids,source_directions,source_row_count,dominant_segment_ids,dominant_directions,dominant_match_ratio,repair_reason
-1455512070,2,2,0,S6,upbound,,S6,upbound,0.282609,compact_v9_one_edge_one_lane_target_mainroad_min_2
-174870621#0,3,2,1,S1 S2,upbound,,S1 S2,upbound,0.7,compact_v9_one_edge_one_lane_target_mainroad_min_2
-174870621#10,3,2,1,S1,upbound,,S1,upbound,0.216216,compact_v9_one_edge_one_lane_target_mainroad_min_2
-174870621#2,3,2,1,S1 S2,upbound,,S1 S2,upbound,0.25,compact_v9_one_edge_one_lane_target_mainroad_min_2
-174870621#4,3,2,1,S1,upbound,,S1,upbound,0.297297,compact_v9_one_edge_one_lane_target_mainroad_min_2
-174870621#5,3,2,1,S1,upbound,,S1,upbound,0.189189,compact_v9_one_edge_one_lane_target_mainroad_min_2
-174870621#6,3,2,1,S1,upbound,,S1,upbound,0.243243,compact_v9_one_edge_one_lane_target_mainroad_min_2
-174870621#7,3,2,1,S1,upbound,,S1,upbound,0.216216,compact_v9_one_edge_one_lane_target_mainroad_min_2
-174870621#8,3,2,1,S1,upbound,,S1,upbound,0.324324,compact_v9_one_edge_one_lane_target_mainroad_min_2
-174870621#9,3,2,1,S1,upbound,,S1,upbound,0.216216,compact_v9_one_edge_one_lane_target_mainroad_min_2
-180368918#0,3,2,1,S2 S3,downbound,,S2 S3,downbound,0.642857,compact_v9_one_edge_one_lane_target_mainroad_min_2
-180368918#3,3,2,1,S3 S4,downbound,,S3 S4,downbound,0.642857,compact_v9_one_edge_one_lane_target_mainroad_min_2
-180368918#5,3,2,1,S3 S4,downbound,,S3 S4,downbound,0.357143,compact_v9_one_edge_one_lane_target_mainroad_min_2
-180368918#6,3,2,1,S3 S4,downbound,,S3 S4,downbound,0.642857,compact_v9_one_edge_one_lane_target_mainroad_min_2
-180368918#7,3,2,1,S4 S5,downbound,,S4 S5,downbound,0.714286,compact_v9_one_edge_one_lane_target_mainroad_min_2
-180368918#8,3,2,1,S4 S5 S6,downbound,,S4 S5 S6,downbound,1.0,compact_v9_one_edge_one_lane_target_mainroad_min_2
-218684411#0,3,3,0,S1,upbound,,S1,upbound,0.162162,compact_v9_one_edge_one_lane_target_mainroad_min_2
-218684411#1,3,3,0,S1,upbound,,S1,upbound,0.108108,compact_v9_one_edge_one_lane_target_mainroad_min_2
