detector_id,road_axis_id,screenline_edge_id,direction_index,direction_policy,am_peak_avg_3h_bidirectional,count_600s_total,count_600s_edge,distance_m,heading_deg
A-10,동호로,-520307305#2,1,bidirectional_pair_50_50,10329.0,573.833333,286.916667,18.152,141.489
A-10,동호로,520307305#0,2,bidirectional_pair_50_50,10329.0,573.833333,286.916667,24.553,-38.488
A-11,장충단로,-244384770#15,1,bidirectional_pair_50_50,8242.5,457.916667,228.958333,4.939,-113.666
A-11,장충단로,244384770#12,2,bidirectional_pair_50_50,8242.5,457.916667,228.958333,14.545,66.333
A-12,퇴계로,619147739#3,1,bidirectional_pair_50_50,5766.3,320.35,160.175,4.135,24.399
A-12,퇴계로,781983104#1,2,bidirectional_pair_50_50,5766.3,320.35,160.175,12.812,-141.041
A-13,세종대로,218926711#4,1,bidirectional_pair_50_50,10112.9,561.827778,280.913889,7.512,58.401
A-13,세종대로,619147736,2,bidirectional_pair_50_50,10112.9,561.827778,280.913889,27.724,-111.055
A-14,새문안로,37400087#3,1,bidirectional_pair_50_50,7981.5,443.416667,221.708333,525.093,169.465
A-14,새문안로,-198564935#3,2,bidirectional_pair_50_50,7981.5,443.416667,221.708333,750.009,-1.962
A-15,종로,344663909#1,1,bidirectional_pair_50_50,6857.4,380.966667,190.483333,84.146,-93.541
A-15,종로,-344663909#1,2,bidirectional_pair_50_50,6857.4,380.966667,190.483333,85.215,86.407
A-16,서소문로,480233462#0,1,bidirectional_pair_50_50,4718.9,262.161111,131.080556,6.921,15.319
A-16,서소문로,-480233462#1,2,bidirectional_pair_50_50,4718.9,262.161111,131.080556,13.318,-164.681
A-18,을지로,184083187#3,1,bidirectional_pair_50_50,5375.4,298.633333,149.316667,6.559,-178.944
A-18,을지로,782892488#2,2,bidirectional_pair_50_50,5375.4,298.633333,149.316667,19.066,2.545
A-21,남산2호터널,769116601#0,1,bidirectional_pair_50_50,4139.2,229.955556,114.977778,265.849,-72.272
A-21,남산2호터널,135131180#0,2,bidirectional_pair_50_50,4139.2,229.955556,114.977778,280.72,113.859
A-23,소월로,78628775#5,1,bidirectional_pair_50_50,2327.2,129.288889,64.644444,3.328,-74.918
A-23,소월로,777881144#1,2,bidirectional_pair_50_50,2327.2,129.288889,64.644444,9.237,101.096
A-24,소파로,775222468#9,1,bidirectional_pair_50_50,1673.0,92.944444,46.472222,4.658,-150.274
A-24,소파로,-775222468#16,2,bidirectional_pair_50_50,1673.0,92.944444,46.472222,7.858,29.573
