detector_id,road_axis_id,screenline_edge_id,direction_index,direction_policy,am_peak_avg_3h_bidirectional,count_600s_total,count_600s_edge,distance_m,heading_deg,imputed,count_source,imputation_method,original_exclude_reason,original_am_peak_avg_3h_bidirectional
A-10,동호로,-520307305#2,1,bidirectional_pair_50_50,10329.0,573.833333,286.916667,18.152,141.489,False,A-10,,,10329.0
A-10,동호로,520307305#0,2,bidirectional_pair_50_50,10329.0,573.833333,286.916667,24.553,-38.488,False,A-10,,,10329.0
A-11,장충단로,-244384770#15,1,bidirectional_pair_50_50,8242.5,457.916667,228.958333,4.939,-113.666,False,A-11,,,8242.5
A-11,장충단로,244384770#12,2,bidirectional_pair_50_50,8242.5,457.916667,228.958333,14.545,66.333,False,A-11,,,8242.5
A-12,퇴계로,619147739#3,1,bidirectional_pair_50_50,5766.3,320.35,160.175,4.135,24.399,False,A-12,,,5766.3
A-12,퇴계로,781983104#1,2,bidirectional_pair_50_50,5766.3,320.35,160.175,12.812,-141.041,False,A-12,,,5766.3
A-13,세종대로,218926711#4,1,bidirectional_pair_50_50,10112.9,561.827778,280.913889,7.512,58.401,False,A-13,,,10112.9
A-13,세종대로,619147736,2,bidirectional_pair_50_50,10112.9,561.827778,280.913889,27.724,-111.055,False,A-13,,,10112.9
A-14,새문안로,37400087#3,1,bidirectional_pair_50_50,7981.5,443.416667,221.708333,525.093,169.465,False,A-14,,,7981.5
A-14,새문안로,-198564935#3,2,bidirectional_pair_50_50,7981.5,443.416667,221.708333,750.009,-1.962,False,A-14,,,7981.5
A-15,종로,344663909#1,1,bidirectional_pair_50_50,6857.4,380.966667,190.483333,84.146,-93.541,False,A-15,,,6857.4
A-15,종로,-344663909#1,2,bidirectional_pair_50_50,6857.4,380.966667,190.483333,85.215,86.407,False,A-15,,,6857.4
A-16,서소문로,480233462#0,1,bidirectional_pair_50_50,4718.9,262.161111,131.080556,6.921,15.319,False,A-16,,,4718.9
A-16,서소문로,-480233462#1,2,bidirectional_pair_50_50,4718.9,262.161111,131.080556,13.318,-164.681,False,A-16,,,4718.9
A-17,세종대로,378453707#0,1,imputed_bidirectional_pair_50_50,10112.9,561.827778,280.913889,68.388,89.507,True,A-13,same_road_axis_donor_a13,excluded_zero_count,0.0
A-17,세종대로,1084408283#2,2,imputed_bidirectional_pair_50_50,10112.9,561.827778,280.913889,95.661,-94.245,True,A-13,same_road_axis_donor_a13,excluded_zero_count,0.0
A-18,을지로,184083187#3,1,bidirectional_pair_50_50,5375.4,298.633333,149.316667,6.559,-178.944,False,A-18,,,5375.4
A-18,을지로,782892488#2,2,bidirectional_pair_50_50,5375.4,298.633333,149.316667,19.066,2.545,False,A-18,,,5375.4
A-19,칠패로,516948900#3,1,imputed_bidirectional_pair_50_50,5242.6,291.255556,145.627778,7.764,5.304,True,"A-13,A-16,A-12,A-23",nearby_valid_detector_median_500m,excluded_abnormally_low_count,206.0
A-19,칠패로,-516948900#3,2,imputed_bidirectional_pair_50_50,5242.6,291.255556,145.627778,10.961,-174.704,True,"A-13,A-16,A-12,A-23",nearby_valid_detector_median_500m,excluded_abnormally_low_count,206.0
A-21,남산2호터널,769116601#0,1,bidirectional_pair_50_50,4139.2,229.955556,114.977778,265.849,-72.272,False,A-21,,,4139.2
A-21,남산2호터널,135131180#0,2,bidirectional_pair_50_50,4139.2,229.955556,114.977778,280.72,113.859,False,A-21,,,4139.2
A-23,소월로,78628775#5,1,bidirectional_pair_50_50,2327.2,129.288889,64.644444,3.328,-74.918,False,A-23,,,2327.2
A-23,소월로,777881144#1,2,bidirectional_pair_50_50,2327.2,129.288889,64.644444,9.237,101.096,False,A-23,,,2327.2
A-24,소파로,775222468#9,1,bidirectional_pair_50_50,1673.0,92.944444,46.472222,4.658,-150.274,False,A-24,,,1673.0
A-24,소파로,-775222468#16,2,bidirectional_pair_50_50,1673.0,92.944444,46.472222,7.858,29.573,False,A-24,,,1673.0
