segment_id,direction,target_count,generated_template_count,generated_recall,mainline_generated_count,mainline_generated_recall,through_generated_count,local_generated_count,feeder_generated_count,accounted_local_count,route_guarded_local_count,template_cap_diverted_count,diversion_assigned_count,local_skipped_by_source_cap,remaining_count
S1,upbound,1128.0,1128,1.00039,158,0.140071,113,45,0,0,0,6,964,0,0.0
S1,downbound,1128.0,1112,0.985983,389,0.344858,344,45,0,0,0,7,716,0,0.0
S2,upbound,1128.0,1128,1.00039,158,0.140071,113,45,0,0,0,6,964,0,0.0
S2,downbound,1128.0,1112,0.985983,389,0.344858,344,45,0,0,0,7,716,0,0.0
S3,upbound,1128.0,1128,1.00039,158,0.140071,113,45,0,0,0,6,964,0,0.0
S3,downbound,1128.0,1112,0.985983,389,0.344858,344,45,0,0,0,7,716,0,0.0
S4,upbound,1128.0,1128,1.00039,158,0.140071,113,45,0,0,0,6,964,0,0.0
S4,downbound,1128.0,1112,0.985983,389,0.344858,344,45,0,0,0,7,716,0,0.0
S5,upbound,1128.0,1128,1.00039,158,0.140071,113,45,0,0,0,6,964,0,0.0
S5,downbound,1128.0,1112,0.985983,389,0.344858,344,45,0,0,0,7,716,0,0.0
S6,upbound,1128.0,1128,1.00039,158,0.140071,113,45,0,0,0,6,964,0,0.0
S6,downbound,1128.0,1112,0.985983,389,0.344858,344,45,0,0,0,7,716,0,0.0
S7,upbound,1128.0,1128,1.00039,158,0.140071,113,45,0,0,0,6,964,0,0.0
S7,downbound,1128.0,1112,0.985983,389,0.344858,344,45,0,0,0,7,716,0,0.0
S8,upbound,759.0,761,1.002563,112,0.147563,78,34,0,0,0,0,649,0,0.0
S8,downbound,759.0,742,0.977094,304,0.400527,225,34,45,0,0,62,376,0,0.0
S9,upbound,759.0,761,1.002767,78,0.102767,78,0,0,0,0,0,683,0,0.0
S9,downbound,759.0,742,0.977436,259,0.341238,225,34,0,0,0,1,482,0,0.0
S10,upbound,759.0,761,1.002767,78,0.102767,78,0,0,0,0,0,683,0,0.0
S10,downbound,759.0,742,0.977436,259,0.341238,225,34,0,0,0,1,482,0,0.0
S11,upbound,759.0,761,1.002767,78,0.102767,78,0,0,0,0,0,683,0,0.0
S11,downbound,759.0,742,0.977436,259,0.341238,225,34,0,0,0,1,482,0,0.0
S12,upbound,759.0,761,1.002767,78,0.102767,78,0,0,0,0,0,683,0,0.0
S12,downbound,759.0,742,0.977436,259,0.341238,225,34,0,0,0,1,482,0,0.0
S13,upbound,759.0,761,1.002767,78,0.102767,78,0,0,0,0,0,683,0,0.0
S13,downbound,759.0,742,0.977436,259,0.341238,225,34,0,0,0,1,482,0,0.0
S14,upbound,759.0,761,1.002767,78,0.102767,78,0,0,0,0,0,683,0,0.0
S14,downbound,759.0,742,0.977436,259,0.341238,225,34,0,0,0,1,482,0,0.0
S15,upbound,759.0,761,1.002767,78,0.102767,78,0,0,0,0,0,683,0,0.0
S15,downbound,759.0,742,0.97764,225,0.296443,225,0,0,34,34,1,482,0,0.0
S16,upbound,759.0,761,1.002424,123,0.162055,78,0,45,0,0,61,577,0,0.0
S16,downbound,759.0,742,0.977436,259,0.341238,225,34,0,0,0,1,482,0,0.0
S17,upbound,759.0,761,1.002767,78,0.102767,78,0,0,0,0,0,683,0,0.0
S17,downbound,759.0,742,0.977436,259,0.341238,225,34,0,0,0,1,482,0,0.0
S18,upbound,759.0,761,1.002563,112,0.147563,78,34,0,0,0,0,649,0,0.0
S18,downbound,759.0,742,0.977436,259,0.341238,225,34,0,0,0,1,482,0,0.0
S19,upbound,759.0,761,1.002563,112,0.147563,78,34,0,0,0,0,649,0,0.0
S19,downbound,759.0,742,0.977436,259,0.341238,225,34,0,0,0,1,482,0,0.0
S20,upbound,759.0,761,1.002563,112,0.147563,78,34,0,0,0,0,649,0,0.0
S20,downbound,759.0,742,0.977436,259,0.341238,225,34,0,0,0,1,482,0,0.0
S21,upbound,759.0,761,1.002563,112,0.147563,78,34,0,0,0,0,649,0,0.0
S21,downbound,759.0,742,0.977436,259,0.341238,225,34,0,0,0,1,482,0,0.0
S22,upbound,759.0,761,1.002563,112,0.147563,78,34,0,0,0,0,649,0,0.0
S22,downbound,759.0,742,0.977436,259,0.341238,225,34,0,0,0,1,482,0,0.0
