flow_id,profile,flow_type,direction,segment_scope,vph,vehicle_count,skipped_by_source_cap,route_edge_count,start_edge,target_edge,accounted_only,route_guard_reason,route_uses_forbidden_bottleneck,boundary_extension_applied,boundary_extension_reason,terminal_sink_extension_v2_applied,terminal_sink_extension_v2_reason,terminal_sink_extension_v3_applied,terminal_sink_extension_v3_reason,release_depart_gap_applied_count,template_cap_diverted_count,free_segment_feeder_reason,distribution_variant_index,distribution_variant_count,reference_speed_kmh,reference_travel_time_s,reference_offset_sec,timing_profile,pulse_cycle_sec,pulse_active_fraction
expanded_v7_ref_up_full_src01,balanced_congestion_v8_stop_free_cleanup,through,upbound,S1-S22,12.65,13,0,83,-218684411#1,183272654,False,,True,False,,False,,False,,0,0,,1,6,17.530071,858.3,0.0,csv_reality_sequential,420.0,0.645153
expanded_v7_ref_up_full_src02,balanced_congestion_v8_stop_free_cleanup,through,upbound,S1-S22,12.65,13,0,84,914660215#0,183272654,False,,True,False,,False,,False,,0,0,,2,6,17.530071,858.3,0.0,csv_reality_sequential,420.0,0.645153
expanded_v7_ref_up_full_src03,balanced_congestion_v8_stop_free_cleanup,through,upbound,S1-S22,12.65,13,0,85,381802860#2,183272654,False,,True,False,,False,,False,,0,0,,3,6,17.530071,858.3,0.0,csv_reality_sequential,420.0,0.645153
expanded_v7_ref_up_full_src04,balanced_congestion_v8_stop_free_cleanup,through,upbound,S1-S22,12.65,13,0,84,-218684411#2,183272654,False,,True,False,,False,,False,,0,0,,4,6,17.530071,858.3,0.0,csv_reality_sequential,420.0,0.645153
expanded_v7_ref_up_full_src05,balanced_congestion_v8_stop_free_cleanup,through,upbound,S1-S22,12.65,13,0,85,910451393#0,183272654,False,,True,False,,False,,False,,0,0,,5,6,17.530071,858.3,0.0,csv_reality_sequential,420.0,0.645153
expanded_v7_ref_up_full_src06,balanced_congestion_v8_stop_free_cleanup,through,upbound,S1-S22,12.65,13,0,84,-218684411#1,615671500#0,False,,True,False,,False,,False,,0,0,,6,6,17.530071,858.3,0.0,csv_reality_sequential,420.0,0.645153
expanded_v7_ref_down_full_src01,balanced_congestion_v8_stop_free_cleanup,through,downbound,S1-S22,48.576,45,0,79,438360331#2,218684411#2,False,,False,True,distributed_boundary_extension,False,,False,,0,4,,1,5,15.23791,987.6,0.0,csv_reality_sequential,420.0,0.604925
expanded_v7_ref_down_full_src02,balanced_congestion_v8_stop_free_cleanup,through,downbound,S1-S22,48.576,45,0,80,438360331#1,218684411#2,False,,False,True,distributed_boundary_extension,False,,False,,0,4,,2,5,15.23791,987.6,0.0,csv_reality_sequential,420.0,0.604925
expanded_v7_ref_down_full_src03,balanced_congestion_v8_stop_free_cleanup,through,downbound,S1-S22,48.576,45,0,81,773066532#5,218684411#2,False,,False,True,distributed_boundary_extension,False,,False,,0,4,,3,5,15.23791,987.6,0.0,csv_reality_sequential,420.0,0.604925
expanded_v7_ref_down_full_src04,balanced_congestion_v8_stop_free_cleanup,through,downbound,S1-S22,48.576,45,0,80,438360331#2,-910451393#0,False,,False,True,distributed_boundary_extension,False,,False,,0,4,,4,5,15.23791,987.6,0.0,csv_reality_sequential,420.0,0.604925
expanded_v7_ref_down_full_src05,balanced_congestion_v8_stop_free_cleanup,through,downbound,S1-S22,48.576,45,0,80,438360331#2,218684411#3,False,,False,True,distributed_boundary_extension,False,,False,,0,4,,5,5,15.23791,987.6,0.0,csv_reality_sequential,420.0,0.604925
expanded_v7_ref_up_prefix_extra_src01,balanced_congestion_v8_stop_free_cleanup,through,upbound,S1-S7,5.271428571428571,5,0,34,-218684411#1,320473386,False,,False,True,distributed_boundary_extension,False,,False,,0,0,,1,7,17.425643,334.6,0.0,csv_reality_sequential,420.0,0.64332
expanded_v7_ref_up_prefix_extra_src02,balanced_congestion_v8_stop_free_cleanup,through,upbound,S1-S7,5.271428571428571,5,0,35,914660215#0,320473386,False,,False,True,distributed_boundary_extension,False,,False,,0,0,,2,7,17.425643,334.6,0.0,csv_reality_sequential,420.0,0.64332
expanded_v7_ref_up_prefix_extra_src03,balanced_congestion_v8_stop_free_cleanup,through,upbound,S1-S7,5.271428571428571,5,0,36,381802860#2,320473386,False,,False,True,distributed_boundary_extension,False,,False,,0,0,,3,7,17.425643,334.6,0.0,csv_reality_sequential,420.0,0.64332
expanded_v7_ref_up_prefix_extra_src04,balanced_congestion_v8_stop_free_cleanup,through,upbound,S1-S7,5.271428571428571,5,0,35,-218684411#2,320473386,False,,False,True,distributed_boundary_extension,False,,False,,0,0,,4,7,17.425643,334.6,0.0,csv_reality_sequential,420.0,0.64332
expanded_v7_ref_up_prefix_extra_src05,balanced_congestion_v8_stop_free_cleanup,through,upbound,S1-S7,5.271428571428571,5,0,36,910451393#0,320473386,False,,False,True,distributed_boundary_extension,False,,False,,0,0,,5,7,17.425643,334.6,0.0,csv_reality_sequential,420.0,0.64332
