mapwide_id,source_edge,sink_edge,route_edges,route_edge_count,depart,reason
expanded_v7_mapwide_00000,521770125#0,238535895#0,521770125#0 521770125#1 521770125#2 521770125#3 218910312#0 218910312#2 218910312#3 -1392679400 -218910324#11 -218910324#10 -218910324#9 -218910324#7 -218910324#6 -218910324#5 -420187960#3 239357580#0 -381570321#0 -420187960#1 -420187960#0 -381458583#6 -381458583#5 -381458583#2 -381458583#1 -381458583#0 -218681380#5 -218681380#4 -218681380#3 -218681380#2 -218681380#1 -218681380#0 -520307305#4 -520307305#3 1279010544#0 420187959#1 420187959#2 420187959#3 420187959#4 420187959#5 420187959#6 420187959#7 420187959#8 420187959#9 420187959#10 420187959#11 420187959#12 -913826317 -420319848#5 -420319848#4 -420319848#3 -420319848#2 381452175#0 381452175#1 381452175#2 381452175#3 -381452122#3 913009312#9 913009312#10 -218923171#5 -218923171#4 -218923171#2 -218923171#1 184083191#2 773066536#0 348657481#0 348657481#1 348657481#2 348657481#3 348657481#4 1283637489 607077076#0 607077076#1 -348659730 656122999 656122998#0 218771978#2 218771978#3 218771978#4 238535895#0,78,2.76,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00001,377333837#0,272232099#1,377333837#0 377333837#1 377333837#2 377333837#3 377333864 -377333837#1 -377333837#0 519100623#0 -377333856 -377333891#0 -420181757#2 -420181756 377333825#0 377333825#1 -779239891 -381737989#1 -381737989#0 381737969#4 183272636#0 183272636#1 519071250 413106892 519097168#0 519097168#1 519097168#2 519097168#4 -218681380#7 -218681380#5 -218681380#4 -218681380#3 -218681380#2 -218681380#1 -218681380#0 -520307305#4 -520307305#3 -520307305#2 -520307305#1 -520307305#0 -37928420#2 -37928420#1 -37928420#0 37403487#0 913006753 913006754#0 913006754#1 913006754#2 913006754#3 913006754#4 -1291318446 -268782233#4 -268782233#3 -268782233#2 -268782329#1 -268782329#0 272228143#0 272228143#1 272228143#2 272228143#3 272228143#4 272228143#5 237470575#0 237470575#1 237470575#2 237470575#3 237470575#4 237470575#5 237470575#6 223418965#6 223418965#7 223418965#8 223418965#9 272232099#1,72,9.11,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00002,464770424,-384030401#0,464770424 326189552#9 37403484#1 37403484#2 37403484#3 37403484#4 37403484#5 526967879#0 526967879#1 526967879#2 526967879#3 580350029#0 580350029#1 580350029#2 580350029#3 580350029#5 580350029#6 580350029#7 1339655672#0 1339655672#1 -580350028 1339655669 -778973690 -384030401#1 -384030401#0,25,15.46,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00003,782892488#2,416172064,782892488#2 1205679418#14 329995230#0 329995230#1 228795484#0 228795484#1 228795468#3 908646367#11 218924602#0 218924602#1 218924602#2 218924602#3 656122993 156922850#1 -170403810#3 -170403810#2 -170403810#1 -170403810#0 1207199730#0 1207199730#1 1207199730#2 1207199730#3 1207199731#2 1458158605 218835937 1458158600 1458158598 -1458158597 -517641007 -1458158607 -1458158608 -1458158609 -517583989 -1458158610 -1458158611 -1458158612 -223435053 381218091#0 381218091#1 416172064,40,21.82,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00004,516169308#7,377373566#0,516169308#7 516169308#8 -368834998#9 -368834998#8 -368834998#7 -368834998#6 -368834998#5 -368834998#4 289489780#0 289489780#1 289489780#3 289489780#4 289489780#5 377373668#1 -464412130#2 -464412130#1 -464412130#0 -377373704 -377373601#6 377373725#0 377373725#1 237264677#8 377373566#0,23,28.17,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00005,-221431173#0,-221977892#3,-221431173#0 -221431169#0 37399752#2 37399752#3 37399752#4 37399752#5 37399752#6 37399752#7 37399752#8 37399752#9 141957153 142077711#1 236945321#1 236945321#2 236945321#3 236945321#4 196079107#0 196079107#1 446743583#0 446743583#1 1506928764#0 1506928764#1 1506928764#2 196079104#0 196079104#2 196079104#3 196079104#4 196079104#5 1153283294#0 1153283294#1 619392625 773060739#0 773060739#1 1208411212#0 1208411212#1 37402325#0 37402325#1 913546029 180368916#1 180368916#4 -221977892#3,41,34.52,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00006,-1004836024,-243542155#0,-1004836024 233651280#1 218974504#3 218974504#4 218974504#5 219096265 708672701#0 708672701#1 708672701#2 708672701#3 708672701#4 708672701#5 708672701#6 708672701#7 708672701#8 708858347 -1499619438#0 -383097714 383097722#0 781985788#0 1465558146#0 1465558146#1 383097723 379943276 -243542155#1 -243542155#0,26,40.87,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00007,-233526454#0,229026917#1,-233526454#0 -73550861#4 419752064#0 788674833 -419752060 -419752058#0 180190213#9 180190213#11 220027347#7 220027347#8 220027347#9 220027347#10 1207199730#0 1207199730#1 1207199730#2 1207199730#3 1207199731#2 1458158605 218835937 1458158600 1458158598 -1458158597 -517641007 -1458158607 -1458158608 -1458158609 -517583989 -1458158610 -1458158611 -1458158612 1458158615#0 1458158613#1 1458158613#3 1458158613#4 1458158613#5 1455528504#0 1455528504#1 1455528504#2 381218125#0 381218125#1 -381218124#3 -381218124#2 -381218124#0 381218115#1 381218115#2 381218115#3 -229026916#8 -229026916#5 -229026916#4 -229026916#3 -229026916#2 229026917#1,52,47.23,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00008,-1176532865#1,415967618#6,-1176532865#1 -1176532865#0 -1176532864#0 229026906#1 416204675#0 416204675#1 416204675#2 -379730390#2 -379730390#1 -379730349 416204675#5 416204675#6 416204675#7 416204675#8 416204675#9 416204675#11 -229027410#4 -229027410#3 -229027410#2 -229027410#1 183521178#8 183521178#9 183521195#0 183521195#1 183521195#2 183521195#3 1455546617#0 1455546617#1 381218097 229026919 415967618#6,31,53.58,expanded_map_background_distributed_boundary
expanded_v7_mapwide_00009,420187963#0,238535896#1,420187963#0 381458594#1 381458594#2 381458594#3 381458594#4 -381458597 -381458581#3 -381458581#2 -381458581#1 239357573#19 239357573#20 239357573#21 -520307305#2 -520307305#1 -520307305#0 -37928420#2 -37928420#1 -37928420#0 218662402#0 218662402#1 520307306 913009311 1126339777#0 1126339777#1 -420331831 117914348#0 117914348#1 117914351#0 117914351#2 -420331825#0 913006754#9 1455512067 1455512071 428260116#1 1455518728 1455518727#0 1455518727#1 1455518727#2 1455524944 1455524946 1455524945 218923182 268783056#1 1455524950#0 1455524950#1 1455524952#0 1455524952#1 1455526423 1455526421 1455526422 1455526425#0 1455526425#1 482167259 482167260 1455527229 1455527230 1207481548 1455546620 1207481549#0 1207481549#1 1455546621 238535896#1,62,59.93,expanded_map_background_distributed_boundary
