sideflow_id,source_edge,sink_edge,route_edges,depart,reason
expanded_v7_sideflow_00000,174870621#8,-420331801#1,174870621#8 -420331801#1,27.69,main_road_branch_sideflow
expanded_v7_sideflow_00001,578313748#0,420331816#0,578313748#0 420331816#0,83.08,main_road_branch_sideflow
expanded_v7_sideflow_00002,578313749#1,420331816#0,578313749#1 420331816#0,138.46,main_road_branch_sideflow
expanded_v7_sideflow_00003,180368918#0,381452153,180368918#0 381452153,193.85,main_road_branch_sideflow
expanded_v7_sideflow_00004,-180368918#3,420319845,-180368918#3 420319845,249.23,main_road_branch_sideflow
expanded_v7_sideflow_00005,180368918#8,-218923171#5,180368918#8 -218923171#5,304.62,main_road_branch_sideflow
expanded_v7_sideflow_00006,785130600#2,-420348556#3,785130600#2 -420348556#3,360.00,main_road_branch_sideflow
expanded_v7_sideflow_00007,1455497345,320473386,1455497345 320473386,415.38,main_road_branch_sideflow
expanded_v7_sideflow_00008,781985792#0,781985792#1,781985792#0 781985792#1,470.77,main_road_branch_sideflow
expanded_v7_sideflow_00009,782892492#0,-788296727#0,782892492#0 -788296727#0,526.15,main_road_branch_sideflow
expanded_v7_sideflow_00010,781985786#6,-270279684#1,781985786#6 -270279684#1,581.54,main_road_branch_sideflow
expanded_v7_sideflow_00011,781985786#3,-464461057#4,781985786#3 -464461057#4,636.92,main_road_branch_sideflow
expanded_v7_sideflow_00012,-955312947#1,955312948,-955312947#1 955312948,692.31,main_road_branch_sideflow
expanded_v7_sideflow_00013,619147739#5,315658896#1,619147739#5 315658896#1,747.69,main_road_branch_sideflow
expanded_v7_sideflow_00014,619147739#0,651817398#0,619147739#0 651817398#0,803.08,main_road_branch_sideflow
expanded_v7_sideflow_00015,1206223939,1206223940,1206223939 1206223940,858.46,main_road_branch_sideflow
expanded_v7_sideflow_00016,174870621#8,-420331801#1,174870621#8 -420331801#1,913.85,main_road_branch_sideflow
expanded_v7_sideflow_00017,578313748#0,420331816#0,578313748#0 420331816#0,969.23,main_road_branch_sideflow
expanded_v7_sideflow_00018,578313749#1,420331816#0,578313749#1 420331816#0,1024.62,main_road_branch_sideflow
expanded_v7_sideflow_00019,180368918#0,381452153,180368918#0 381452153,1080.00,main_road_branch_sideflow
expanded_v7_sideflow_00020,-180368918#3,420319845,-180368918#3 420319845,1135.38,main_road_branch_sideflow
expanded_v7_sideflow_00021,180368918#8,-218923171#5,180368918#8 -218923171#5,1190.77,main_road_branch_sideflow
expanded_v7_sideflow_00022,785130600#2,-420348556#3,785130600#2 -420348556#3,1246.15,main_road_branch_sideflow
expanded_v7_sideflow_00023,1455497345,320473386,1455497345 320473386,1301.54,main_road_branch_sideflow
expanded_v7_sideflow_00024,781985792#0,781985792#1,781985792#0 781985792#1,1356.92,main_road_branch_sideflow
expanded_v7_sideflow_00025,782892492#0,-788296727#0,782892492#0 -788296727#0,1412.31,main_road_branch_sideflow
expanded_v7_sideflow_00026,781985786#6,-270279684#1,781985786#6 -270279684#1,1467.69,main_road_branch_sideflow
expanded_v7_sideflow_00027,781985786#3,-464461057#4,781985786#3 -464461057#4,1523.08,main_road_branch_sideflow
expanded_v7_sideflow_00028,-955312947#1,955312948,-955312947#1 955312948,1578.46,main_road_branch_sideflow
expanded_v7_sideflow_00029,619147739#5,315658896#1,619147739#5 315658896#1,1633.85,main_road_branch_sideflow
expanded_v7_sideflow_00030,619147739#0,651817398#0,619147739#0 651817398#0,1689.23,main_road_branch_sideflow
expanded_v7_sideflow_00031,1206223939,1206223940,1206223939 1206223940,1744.62,main_road_branch_sideflow
expanded_v7_sideflow_00032,174870621#8,-420331801#1,174870621#8 -420331801#1,1800.00,main_road_branch_sideflow
expanded_v7_sideflow_00033,578313748#0,420331816#0,578313748#0 420331816#0,1855.38,main_road_branch_sideflow
expanded_v7_sideflow_00034,578313749#1,420331816#0,578313749#1 420331816#0,1910.77,main_road_branch_sideflow
expanded_v7_sideflow_00035,180368918#0,381452153,180368918#0 381452153,1966.15,main_road_branch_sideflow
expanded_v7_sideflow_00036,-180368918#3,420319845,-180368918#3 420319845,2021.54,main_road_branch_sideflow
expanded_v7_sideflow_00037,180368918#8,-218923171#5,180368918#8 -218923171#5,2076.92,main_road_branch_sideflow
expanded_v7_sideflow_00038,785130600#2,-420348556#3,785130600#2 -420348556#3,2132.31,main_road_branch_sideflow
expanded_v7_sideflow_00039,1455497345,320473386,1455497345 320473386,2187.69,main_road_branch_sideflow
expanded_v7_sideflow_00040,781985792#0,781985792#1,781985792#0 781985792#1,2243.08,main_road_branch_sideflow
expanded_v7_sideflow_00041,782892492#0,-788296727#0,782892492#0 -788296727#0,2298.46,main_road_branch_sideflow
expanded_v7_sideflow_00042,781985786#6,-270279684#1,781985786#6 -270279684#1,2353.85,main_road_branch_sideflow
expanded_v7_sideflow_00043,781985786#3,-464461057#4,781985786#3 -464461057#4,2409.23,main_road_branch_sideflow
expanded_v7_sideflow_00044,-955312947#1,955312948,-955312947#1 955312948,2464.62,main_road_branch_sideflow
expanded_v7_sideflow_00045,619147739#5,315658896#1,619147739#5 315658896#1,2520.00,main_road_branch_sideflow
expanded_v7_sideflow_00046,619147739#0,651817398#0,619147739#0 651817398#0,2575.38,main_road_branch_sideflow
expanded_v7_sideflow_00047,1206223939,1206223940,1206223939 1206223940,2630.77,main_road_branch_sideflow
expanded_v7_sideflow_00048,174870621#8,-420331801#1,174870621#8 -420331801#1,2686.15,main_road_branch_sideflow
expanded_v7_sideflow_00049,578313748#0,420331816#0,578313748#0 420331816#0,2741.54,main_road_branch_sideflow
expanded_v7_sideflow_00050,578313749#1,420331816#0,578313749#1 420331816#0,2796.92,main_road_branch_sideflow
expanded_v7_sideflow_00051,180368918#0,381452153,180368918#0 381452153,2852.31,main_road_branch_sideflow
expanded_v7_sideflow_00052,-180368918#3,420319845,-180368918#3 420319845,2907.69,main_road_branch_sideflow
expanded_v7_sideflow_00053,180368918#8,-218923171#5,180368918#8 -218923171#5,2963.08,main_road_branch_sideflow
expanded_v7_sideflow_00054,785130600#2,-420348556#3,785130600#2 -420348556#3,3018.46,main_road_branch_sideflow
expanded_v7_sideflow_00055,1455497345,320473386,1455497345 320473386,3073.85,main_road_branch_sideflow
expanded_v7_sideflow_00056,781985792#0,781985792#1,781985792#0 781985792#1,3129.23,main_road_branch_sideflow
expanded_v7_sideflow_00057,782892492#0,-788296727#0,782892492#0 -788296727#0,3184.62,main_road_branch_sideflow
expanded_v7_sideflow_00058,781985786#6,-270279684#1,781985786#6 -270279684#1,3240.00,main_road_branch_sideflow
expanded_v7_sideflow_00059,781985786#3,-464461057#4,781985786#3 -464461057#4,3295.38,main_road_branch_sideflow
expanded_v7_sideflow_00060,-955312947#1,955312948,-955312947#1 955312948,3350.77,main_road_branch_sideflow
expanded_v7_sideflow_00061,619147739#5,315658896#1,619147739#5 315658896#1,3406.15,main_road_branch_sideflow
expanded_v7_sideflow_00062,619147739#0,651817398#0,619147739#0 651817398#0,3461.54,main_road_branch_sideflow
expanded_v7_sideflow_00063,1206223939,1206223940,1206223939 1206223940,3516.92,main_road_branch_sideflow
expanded_v7_sideflow_00064,174870621#8,-420331801#1,174870621#8 -420331801#1,3572.31,main_road_branch_sideflow
