source_edge,source_lanes,vehicle_count,source_cap_per_hour,over_cap
-174870621#2,3,45,1800,False
-218684411#1,3,41,1800,False
-218684411#2,3,18,1800,False
-218773868#2,3,45,1800,False
-273639055#0,1,17,600,False
-273639055#2,1,17,600,False
-301285279#0,1,34,600,False
-315658884#3,1,34,600,False
-315658897#2,1,34,600,False
-329612996,1,45,600,False
-381447833#0,1,45,600,False
-381452176#1,1,45,600,False
-381453320#0,3,34,1800,False
-955312947#1,3,34,1800,False
1455497343#3,3,45,1800,False
198691069#6,1,45,600,False
218773868#6,2,45,1200,False
218923178#3,3,45,1800,False
219696191#0,1,68,600,False
333554718,2,34,1200,False
37402371,3,34,1800,False
375125205#5,1,45,600,False
381452166#1,1,90,600,False
381802860#2,1,63,600,False
438360331#1,2,79,1200,False
438360331#2,2,135,1200,False
464461054#0,1,34,600,False
464461054#1,1,102,600,False
578313749#0,3,45,1800,False
651818430#3,1,68,600,False
767654645#1,1,34,600,False
773066532#5,8,45,4800,False
781985792#1,3,34,1800,False
785130598#5,2,17,1200,False
785130598#6,3,96,1800,False
785130598#7,3,96,1800,False
910451393#0,1,18,600,False
914660215#0,1,18,600,False
955312947#0,1,34,600,False
