edge_id,current_lanes,target_lanes_simple,weighted_majority_lanes,max_target_lanes,total_matched_length_m,max_match_ratio,edge_length_m,source_segment_ids,source_directions,source_row_count,min_axis_position,smoothing_applied,repair_reason
-180368918#0,2,3,3,3,119.257143,0.642857,48.45,S2 S3,downbound,2,0.0,False,edge_weighted_majority_lane_target
-180368918#5,2,3,3,3,91.107143,0.357143,19.64,S3 S4,downbound,2,0.0,False,edge_weighted_majority_lane_target
-180368918#6,2,3,3,3,90.164285,0.642857,20.62,S3 S4,downbound,2,0.0,False,edge_weighted_majority_lane_target
-180368918#8,2,3,3,3,87.081366,1.0,17.45,S4 S5 S6,downbound,3,0.0,False,edge_weighted_majority_lane_target
-218773868#0,2,3,3,3,74.339855,0.166667,16.63,S5 S6,downbound,2,0.0,False,edge_weighted_majority_lane_target
-315658884#1,1,3,3,3,27.39,0.15,39.83,S18,downbound,1,0.0,False,edge_weighted_majority_lane_target
1395426737#0,1,3,3,3,107.084161,1.0,28.82,S4 S5 S6,downbound,3,0.0,False,edge_weighted_majority_lane_target
1395426737#1,1,3,3,3,76.743788,1.0,3.25,S4 S5 S6,downbound,3,0.0,False,edge_weighted_majority_lane_target
1455512066,2,3,3,3,95.534541,0.194444,19.87,S6 S7,downbound,2,0.0,False,edge_weighted_majority_lane_target
174870621#0,2,3,3,3,136.345946,0.7,70.71,S1 S2,downbound,2,0.0,False,edge_weighted_majority_lane_target
183272647,1,3,3,3,118.9,0.5,56.85,S2 S3,downbound,2,0.0,False,edge_weighted_majority_lane_target
218923178#7,3,3,3,3,27.328571,0.1,53.92,S2 S3,downbound,2,0.0,False,edge_weighted_majority_lane_target
381802847#0,1,3,3,3,183.97973,0.75,151.13,S1 S2,downbound,2,0.0,False,edge_weighted_majority_lane_target
585341903#0,2,2,2,2,8.585714,0.071429,34.79,S22,downbound,1,0.0,False,edge_weighted_majority_lane_target
585341903#1,2,2,2,2,42.928571,0.357143,26.44,S22,downbound,1,0.0,False,edge_weighted_majority_lane_target
585341908#0,2,2,2,2,34.342857,0.285714,59.6,S22,downbound,1,0.0,False,edge_weighted_majority_lane_target
585341908#1,2,2,2,2,34.342857,0.285714,4.71,S22,downbound,1,0.0,False,edge_weighted_majority_lane_target
619147739#3,2,3,3,3,133.661034,0.448276,60.31,S18 S19,downbound,2,0.0,False,edge_weighted_majority_lane_target
619147739#6,2,3,3,3,154.612632,0.6,87.19,S17 S18,downbound,2,0.0,False,edge_weighted_majority_lane_target
619147740,2,3,3,3,132.145862,1.0,60.41,S19 S20 S21,downbound,3,0.0,False,edge_weighted_majority_lane_target
773060736,1,3,2,3,83.340062,0.357143,7.82,S10 S11,downbound,2,0.0,True,isolated_lane_gap_smoothing
781983103#2,2,3,3,3,117.317983,0.631579,44.35,S16 S17,downbound,2,0.0,False,edge_weighted_majority_lane_target
781985783,2,2,2,3,248.554348,1.0,173.85,S10 S11 S12,downbound,3,0.0,False,edge_weighted_majority_lane_target
