edge_id,target_lanes,current_lanes,lane_delta,source_segment_ids,source_directions,source_row_count,dominant_segment_ids,dominant_directions,dominant_match_ratio,repair_reason
-180368918#0,3,2,1,S2 S3,downbound,2,S2 S3,downbound,0.642857,edge_weighted_majority_lane_target
-180368918#5,3,2,1,S3 S4,downbound,2,S3 S4,downbound,0.357143,edge_weighted_majority_lane_target
-180368918#6,3,2,1,S3 S4,downbound,2,S3 S4,downbound,0.642857,edge_weighted_majority_lane_target
-180368918#8,3,2,1,S4 S5 S6,downbound,3,S4 S5 S6,downbound,1.0,edge_weighted_majority_lane_target
-218773868#0,3,2,1,S5 S6,downbound,2,S5 S6,downbound,0.166667,edge_weighted_majority_lane_target
-315658884#1,3,1,2,S18,downbound,1,S18,downbound,0.15,edge_weighted_majority_lane_target
1395426737#0,3,1,2,S4 S5 S6,downbound,3,S4 S5 S6,downbound,1.0,edge_weighted_majority_lane_target
1395426737#1,3,1,2,S4 S5 S6,downbound,3,S4 S5 S6,downbound,1.0,edge_weighted_majority_lane_target
1455512066,3,2,1,S6 S7,downbound,2,S6 S7,downbound,0.194444,edge_weighted_majority_lane_target
174870621#0,3,2,1,S1 S2,downbound,2,S1 S2,downbound,0.7,edge_weighted_majority_lane_target
183272647,3,1,2,S2 S3,downbound,2,S2 S3,downbound,0.5,edge_weighted_majority_lane_target
218923178#7,3,3,0,S2 S3,downbound,2,S2 S3,downbound,0.1,edge_weighted_majority_lane_target
381802847#0,3,1,2,S1 S2,downbound,2,S1 S2,downbound,0.75,edge_weighted_majority_lane_target
585341903#0,2,2,0,S22,downbound,1,S22,downbound,0.071429,edge_weighted_majority_lane_target
585341903#1,2,2,0,S22,downbound,1,S22,downbound,0.357143,edge_weighted_majority_lane_target
585341908#0,2,2,0,S22,downbound,1,S22,downbound,0.285714,edge_weighted_majority_lane_target
585341908#1,2,2,0,S22,downbound,1,S22,downbound,0.285714,edge_weighted_majority_lane_target
619147739#3,3,2,1,S18 S19,downbound,2,S18 S19,downbound,0.448276,edge_weighted_majority_lane_target
619147739#6,3,2,1,S17 S18,downbound,2,S17 S18,downbound,0.6,edge_weighted_majority_lane_target
619147740,3,2,1,S19 S20 S21,downbound,3,S19 S20 S21,downbound,1.0,edge_weighted_majority_lane_target
773060736,3,1,2,S10 S11,downbound,2,S10 S11,downbound,0.357143,isolated_lane_gap_smoothing
781983103#2,3,2,1,S16 S17,downbound,2,S16 S17,downbound,0.631579,edge_weighted_majority_lane_target
