edge_id,direction,source_segment_ids,matched_segment_count,reference_speed_kmh,speed_cap_kmh,old_min_speed_kmh,old_max_speed_kmh,changed,excluded_firetruck_route_edge
-180368918#0,downbound,S2 S3,2,16.257163,36.257163,100.008,100.008,True,False
-180368918#3,downbound,S3 S4,2,16.5,36.5,100.008,100.008,True,False
-180368918#5,downbound,S3 S4,2,16.5,36.5,100.008,100.008,True,False
-180368918#6,downbound,S3 S4,2,16.5,36.5,100.008,100.008,True,False
-180368918#7,downbound,S4 S5,2,16.354153,36.354153,100.008,100.008,True,False
-180368918#8,downbound,S4 S5 S6,3,15.865231,35.865231,100.008,100.008,True,False
-218773868#0,downbound,S5 S6,2,15.7,35.7,100.008,100.008,True,False
-218773868#2,downbound,S6,1,15.7,35.7,100.008,100.008,True,False
-218773868#3,downbound,S6,1,15.7,35.7,100.008,100.008,True,False
-218773868#4,downbound,S6,1,15.7,35.7,100.008,100.008,True,False
-218773868#5,downbound,S6,1,15.7,35.7,100.008,100.008,True,False
-218773868#6,downbound,S6,1,15.7,35.7,100.008,100.008,True,False
-315658884#1,downbound,S18,1,16.5,36.5,50.004,50.004,True,False
-381453320#0,downbound,S7,1,15.7,35.7,50.004,50.004,True,False
-578313748#0,downbound,S2,1,15.7,35.7,100.008,100.008,True,False
-578313748#2,downbound,S2 S3,2,15.862516,35.862516,100.008,100.008,True,False
-800229255,downbound,S2 S3,2,15.970152,35.970152,100.008,100.008,True,False
1109231376,downbound,S12,1,14.9,35.0,79.992,79.992,True,False
1109231377#1,downbound,S11 S12,2,14.432366,35.0,79.992,79.992,True,False
1206223943,downbound,S22,1,14.2,35.0,100.008,100.008,True,False
1206223946#0,downbound,S21 S22,2,14.2,35.0,100.008,100.008,True,False
1206223946#1,downbound,S21,1,14.2,35.0,100.008,100.008,True,False
1395426737#0,downbound,S4 S5 S6,3,15.767183,35.767183,79.992,79.992,True,False
1395426737#1,downbound,S4 S5 S6,3,15.981233,35.981233,79.992,79.992,True,False
1455497343#0,downbound,S7 S8,2,15.232441,35.232441,50.004,50.004,True,False
