edge_id,old_numLanes,new_numLanes,old_speed_kmh,new_speed_kmh,edge_length_m,roles,reasons,changed
-1455512070,3,3,100.008,50.0,69.84,mapping firetruck_route,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing,True
-174870621#0,3,3,33.3,33.3,73.79,mapping firetruck_route,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing,True
-174870621#10,3,3,100.008,50.0,13.36,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
-174870621#2,3,3,33.3,33.3,64.77,mapping firetruck_route,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing,True
-174870621#4,3,3,100.008,35.0,44.26,mapping firetruck_route release_or_terminal,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing;release_terminal_no_one_lane_keep_existing,True
-174870621#5,3,3,100.008,35.0,2.28,mapping firetruck_route release_or_terminal,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing;release_terminal_no_one_lane_keep_existing,True
-174870621#6,3,3,100.008,35.0,27.1,mapping firetruck_route release_or_terminal,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing;release_terminal_no_one_lane_keep_existing,True
-174870621#7,3,3,100.008,35.0,9.52,mapping firetruck_route,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing,True
-174870621#8,3,3,100.008,50.0,56.88,mapping firetruck_route,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing,True
-174870621#9,3,3,100.008,35.0,7.63,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
-180368918#0,3,3,35.712,35.700001,55.24,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
-180368918#3,3,3,100.008,50.0,25.36,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
-180368918#5,3,3,100.008,50.0,19.42,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
-180368918#6,3,3,100.008,50.0,19.66,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
-180368918#7,3,3,100.008,50.0,49.07,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
-180368918#8,3,3,100.008,50.0,17.96,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
-218684411#0,3,3,100.008,50.0,11.32,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
-218684411#1,3,3,100.008,50.0,24.47,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
-218773868#0,3,3,100.008,50.0,17.42,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
-218773868#2,3,3,100.008,50.0,47.11,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
-218773868#3,3,3,35.712,35.700001,21.48,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
-218773868#4,3,3,35.712,35.700001,60.32,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
-218773868#5,3,3,35.712,35.700001,47.99,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
-218773868#6,3,3,35.712,35.700001,12.02,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
-273638834#1,3,3,50.004,35.0,0.2,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
-273638834#2,3,3,50.004,50.0,42.87,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
-315658884#1,3,3,50.004,50.0,33.06,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
-315658897#0,3,3,50.004,50.0,69.18,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
-381453320#0,3,3,50.004,50.0,17.95,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
-381802847#0,3,3,50.004,50.0,148.49,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
-381802847#1,3,3,50.004,50.0,37.18,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
-381802847#2,3,3,50.004,35.0,87.18,mapping release_or_terminal,s1_s22_mapping_no_one_lane_keep_existing;release_terminal_no_one_lane_keep_existing,True
-578313748#0,3,3,35.712,35.700001,11.92,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
-578313748#2,3,3,35.712,35.700001,10.42,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
-800229255,3,3,100.008,35.0,5.95,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
-955312947#1,3,3,50.004,50.0,61.98,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
1109231376,2,2,34.992,34.992,10.6,mapping,s1_s22_mapping_no_one_lane_keep_existing,False
1109231377#1,2,2,79.992,35.0,2.34,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
1206223939,3,3,100.008,35.0,0.2,mapping release_or_terminal,s1_s22_mapping_no_one_lane_keep_existing;release_terminal_no_one_lane_keep_existing,True
1206223943,2,2,100.008,35.0,0.2,mapping release_or_terminal,s1_s22_mapping_no_one_lane_keep_existing;release_terminal_no_one_lane_keep_existing,True
1206223945,3,3,100.008,35.0,20.03,mapping release_or_terminal,s1_s22_mapping_no_one_lane_keep_existing;release_terminal_no_one_lane_keep_existing,True
1206223946#0,2,2,100.008,35.0,3.88,mapping release_or_terminal,s1_s22_mapping_no_one_lane_keep_existing;release_terminal_no_one_lane_keep_existing,True
1206223946#1,2,2,100.008,35.0,17.66,mapping release_or_terminal,s1_s22_mapping_no_one_lane_keep_existing;release_terminal_no_one_lane_keep_existing,True
1206223947,3,3,100.008,35.0,17.17,mapping release_or_terminal,s1_s22_mapping_no_one_lane_keep_existing;release_terminal_no_one_lane_keep_existing,True
1395426737#0,3,3,79.992,50.0,24.08,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
1395426737#1,3,3,79.992,35.0,5.38,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
1455497343#0,3,3,50.004,50.0,46.87,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
1455497343#1,3,3,50.004,50.0,79.75,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
1455497343#2,3,3,50.004,50.0,31.2,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
1455497343#3,3,3,50.004,50.0,44.06,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
1455497343#4,3,3,50.004,50.0,62.71,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
1455497345,3,3,31.392,31.392,84.17,mapping firetruck_route,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing,False
1455512066,3,3,100.008,50.0,13.23,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
1455512070,3,3,35.712,35.700001,69.84,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
174870621#0,3,3,34.992,34.992,74.15,mapping,s1_s22_mapping_no_one_lane_keep_existing,False
174870621#10,3,3,34.992,34.992,13.36,mapping,s1_s22_mapping_no_one_lane_keep_existing,False
174870621#2,3,3,34.992,34.992,64.8,mapping,s1_s22_mapping_no_one_lane_keep_existing,False
174870621#4,3,3,34.992,34.992,44.22,mapping,s1_s22_mapping_no_one_lane_keep_existing,False
174870621#5,3,3,100.008,35.0,2.19,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
174870621#6,3,3,34.992,34.992,27.12,mapping,s1_s22_mapping_no_one_lane_keep_existing,False
174870621#7,3,3,100.008,35.0,9.52,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
174870621#8,3,3,34.992,34.992,56.12,mapping,s1_s22_mapping_no_one_lane_keep_existing,False
174870621#9,3,3,100.008,35.0,7.88,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
180368915#0,2,2,100.008,35.0,5.03,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
180368915#1,3,3,100.008,50.0,10.33,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
180368915#2,3,3,37.296,37.296,42.19,mapping,s1_s22_mapping_no_one_lane_keep_existing,False
180368915#3,2,2,100.008,50.0,38.34,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
180368918#0,3,3,100.008,50.0,52.59,mapping firetruck_route,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing,True
180368918#3,3,3,100.008,50.0,25.36,mapping firetruck_route,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing,True
180368918#5,3,3,33.3,33.3,19.42,mapping firetruck_route,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing,True
180368918#6,3,3,33.3,33.3,19.66,mapping firetruck_route,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing,True
180368918#7,3,3,100.008,50.0,49.07,mapping firetruck_route,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing,True
180368918#8,3,3,100.008,50.0,16.89,mapping firetruck_route,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing,True
180445419,2,2,31.392,31.392,85.68,mapping firetruck_route release_or_terminal,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing;release_terminal_no_one_lane_keep_existing,False
183272387#0,3,3,100.008,35.0,0.3,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
183272387#1,3,3,39.204,39.2,25.58,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
183272387#2,3,3,39.204,39.2,75.55,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
183272647,3,3,79.992,50.0,55.01,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
183272654,3,3,100.008,50.0,49.4,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
218684411#0,3,3,34.992,34.992,11.32,mapping,s1_s22_mapping_no_one_lane_keep_existing,False
218684411#1,3,3,34.992,34.992,24.47,mapping,s1_s22_mapping_no_one_lane_keep_existing,False
218684411#2,3,3,100.008,50.0,13.1,mapping,s1_s22_mapping_no_one_lane_keep_existing,True
218773868#0,2,2,31.392,31.392,17.42,mapping firetruck_route,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing,False
218773868#2,3,3,31.392,31.392,47.11,mapping firetruck_route,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing,False
218773868#3,2,2,31.392,31.392,21.48,mapping firetruck_route,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing,False
218773868#4,3,3,31.392,31.392,60.24,mapping firetruck_route,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing,False
218773868#5,2,2,31.392,31.392,47.99,mapping firetruck_route,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing,False
218773868#6,2,2,31.392,31.392,12.02,mapping firetruck_route,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing,False
218773869#1,3,3,31.788,31.788,31.38,mapping firetruck_route,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing,False
218773869#3,3,3,31.788,31.788,23.35,mapping firetruck_route,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing,False
218773869#4,3,3,34.992,34.992,39.38,mapping firetruck_route release_or_terminal,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing;release_terminal_no_one_lane_keep_existing,False
218773869#5,3,3,34.992,34.992,33.1,mapping firetruck_route release_or_terminal,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing;release_terminal_no_one_lane_keep_existing,False
218773869#6,3,3,31.788,31.788,82.25,mapping firetruck_route,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing,False
218773869#7,3,3,100.008,35.0,55.06,mapping firetruck_route release_or_terminal,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing;release_terminal_no_one_lane_keep_existing,True
218773869#8,3,3,100.008,35.0,3.18,mapping firetruck_route release_or_terminal,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing;release_terminal_no_one_lane_keep_existing,True
218773869#9,3,3,100.008,35.0,15.25,mapping firetruck_route release_or_terminal,s1_s22_mapping_no_one_lane_keep_existing;firetruck_route_no_one_lane_keep_existing;release_terminal_no_one_lane_keep_existing,True
218915133#0,2,2,100.008,35.0,5.7,mapping release_or_terminal,s1_s22_mapping_no_one_lane_keep_existing;release_terminal_no_one_lane_keep_existing,True
218915133#1,3,3,34.992,34.992,34.31,mapping release_or_terminal,s1_s22_mapping_no_one_lane_keep_existing;release_terminal_no_one_lane_keep_existing,False
218915133#2,3,3,34.992,34.992,48.35,mapping release_or_terminal,s1_s22_mapping_no_one_lane_keep_existing;release_terminal_no_one_lane_keep_existing,False
