edge_id,matched_segment_count,reference_speed_kmh,speed_cap_kmh,old_min_speed_kmh,old_max_speed_kmh,changed
-1455512070,1,16.4,41.4,100.008,100.008,True
-174870621#0,2,19.136328,44.136328,100.008,100.008,True
-174870621#10,1,18.3,43.3,100.008,100.008,True
-174870621#2,2,18.608374,43.608374,100.008,100.008,True
-174870621#4,1,18.3,43.3,100.008,100.008,True
-174870621#5,1,18.3,43.3,100.008,100.008,True
-174870621#6,1,18.3,43.3,100.008,100.008,True
-174870621#7,1,18.3,43.3,100.008,100.008,True
-174870621#8,1,18.3,43.3,100.008,100.008,True
-174870621#9,1,18.3,43.3,100.008,100.008,True
-180368918#0,2,16.257163,41.257163,100.008,100.008,True
-180368918#3,2,16.5,41.5,100.008,100.008,True
-180368918#5,2,16.5,41.5,100.008,100.008,True
-180368918#6,2,16.5,41.5,100.008,100.008,True
-180368918#7,2,16.354153,41.354153,100.008,100.008,True
-180368918#8,3,15.865231,40.865231,100.008,100.008,True
-218684411#0,1,18.3,43.3,100.008,100.008,True
-218684411#1,1,18.3,43.3,100.008,100.008,True
-218773868#0,2,15.7,40.7,100.008,100.008,True
-218773868#2,1,15.7,40.7,100.008,100.008,True
-218773868#3,1,15.7,40.7,100.008,100.008,True
-218773868#4,1,15.7,40.7,100.008,100.008,True
-218773868#5,1,15.7,40.7,100.008,100.008,True
-218773868#6,1,15.7,40.7,100.008,100.008,True
-273638834#1,1,16.4,41.4,50.004,50.004,True
-273638834#2,2,16.701919,41.701919,50.004,50.004,True
-315658884#1,1,16.5,41.5,50.004,50.004,True
-315658897#0,1,18.3,43.3,50.004,50.004,True
-381453320#0,1,15.7,40.7,50.004,50.004,True
-381802847#0,2,18.942998,43.942998,50.004,50.004,True
-381802847#1,1,18.3,43.3,50.004,50.004,True
-381802847#2,1,18.3,43.3,50.004,50.004,True
-578313748#0,1,15.7,40.7,100.008,100.008,True
-578313748#2,2,15.862516,40.862516,100.008,100.008,True
-800229255,2,15.970152,40.970152,100.008,100.008,True
-955312947#1,1,19.2,44.2,50.004,50.004,True
1109231376,1,14.9,39.9,79.992,79.992,True
1109231377#1,2,14.432366,39.432366,79.992,79.992,True
1206223939,1,16.8,41.8,100.008,100.008,True
1206223943,1,14.2,39.2,100.008,100.008,True
1206223945,1,16.8,41.8,100.008,100.008,True
1206223946#0,2,14.2,39.2,100.008,100.008,True
1206223946#1,1,14.2,39.2,100.008,100.008,True
1206223947,1,16.8,41.8,100.008,100.008,True
1395426737#0,3,15.767183,40.767183,79.992,79.992,True
1395426737#1,3,15.981233,40.981233,79.992,79.992,True
1455497343#0,2,15.232441,40.232441,50.004,50.004,True
1455497343#1,1,15.7,40.7,50.004,50.004,True
1455497343#2,1,15.7,40.7,50.004,50.004,True
1455497343#3,1,15.7,40.7,50.004,50.004,True
1455497343#4,1,15.7,40.7,50.004,50.004,True
1455497345,3,17.200064,42.200064,100.008,100.008,True
1455512066,2,15.7,40.7,100.008,100.008,True
1455512070,1,15.7,40.7,100.008,100.008,True
174870621#0,2,15.615105,40.615105,100.008,100.008,True
174870621#10,1,14.5,39.5,100.008,100.008,True
174870621#2,2,14.883178,39.883178,100.008,100.008,True
174870621#4,1,14.5,39.5,100.008,100.008,True
174870621#5,1,14.5,39.5,100.008,100.008,True
174870621#6,1,14.5,39.5,100.008,100.008,True
174870621#7,1,14.5,39.5,100.008,100.008,True
174870621#8,1,14.5,39.5,100.008,100.008,True
174870621#9,1,14.5,39.5,100.008,100.008,True
180368915#0,2,16.847112,41.847112,100.008,100.008,True
180368915#1,2,16.959788,41.959788,100.008,100.008,True
180368915#2,1,17.3,42.3,100.008,100.008,True
180368915#3,2,17.100967,42.100967,100.008,100.008,True
180368918#0,2,19.2,44.2,100.008,100.008,True
180368918#3,2,19.112074,44.112074,100.008,100.008,True
180368918#5,2,18.755821,43.755821,100.008,100.008,True
180368918#6,2,18.402323,43.402323,100.008,100.008,True
180368918#7,2,18.054135,43.054135,100.008,100.008,True
180368918#8,3,16.841418,41.841418,100.008,100.008,True
180445419,1,16.4,41.4,100.008,100.008,True
183272387#0,1,19.2,44.2,100.008,100.008,True
183272387#1,1,19.2,44.2,100.008,100.008,True
183272387#2,1,19.2,44.2,100.008,100.008,True
183272647,2,16.134651,41.134651,79.992,79.992,True
183272654,1,16.8,41.8,100.008,100.008,True
218684411#0,1,14.5,39.5,100.008,100.008,True
218684411#1,1,14.5,39.5,100.008,100.008,True
218684411#2,1,14.5,39.5,100.008,100.008,True
218773868#0,1,16.4,41.4,100.008,100.008,True
218773868#2,1,16.4,41.4,100.008,100.008,True
218773868#3,1,16.4,41.4,100.008,100.008,True
218773868#4,1,16.4,41.4,100.008,100.008,True
218773868#5,1,16.4,41.4,100.008,100.008,True
218773868#6,1,16.4,41.4,100.008,100.008,True
218773869#1,1,16.8,41.8,100.008,100.008,True
218773869#3,1,16.8,41.8,100.008,100.008,True
218773869#4,1,16.8,41.8,100.008,100.008,True
218773869#5,1,16.8,41.8,100.008,100.008,True
218773869#6,1,16.8,41.8,100.008,100.008,True
218773869#7,1,16.8,41.8,100.008,100.008,True
218773869#8,1,16.8,41.8,100.008,100.008,True
218773869#9,2,16.712879,41.712879,100.008,100.008,True
218915133#0,1,16.4,41.4,100.008,100.008,True
218915133#1,1,16.4,41.4,100.008,100.008,True
218915133#2,1,16.4,41.4,100.008,100.008,True
218915133#3,1,16.4,41.4,100.008,100.008,True
218915135#3,1,18.3,43.3,100.008,100.008,True
218915135#4,2,18.745522,43.745522,100.008,100.008,True
218923178#7,2,15.970152,40.970152,60.012,60.012,True
219696191#1,1,14.2,39.2,79.992,79.992,True
219696193#1,2,16.462891,41.462891,100.008,100.008,True
219696193#2,1,16.4,41.4,100.008,100.008,True
273638834#1,1,14.5,39.5,50.004,50.004,True
273638834#2,2,14.284146,39.284146,50.004,50.004,True
315658884#1,1,18.3,43.3,50.004,50.004,True
315658897#0,1,15.7,40.7,50.004,50.004,True
333557072#1,2,18.3,43.3,100.008,100.008,True
333557072#2,2,18.3,43.3,100.008,100.008,True
333557072#3,1,18.3,43.3,100.008,100.008,True
333557072#5,1,18.3,43.3,100.008,100.008,True
347237859#0,2,17.43107,42.43107,100.008,100.008,True
347237859#1,3,18.945673,43.945673,100.008,100.008,True
347237859#2,2,19.2,44.2,100.008,100.008,True
347237859#3,2,19.2,44.2,100.008,100.008,True
347237859#4,2,18.755356,43.755356,100.008,100.008,True
347237859#5,2,17.546007,42.546007,100.008,100.008,True
37402371,1,16.8,41.8,100.008,100.008,True
381453320#0,1,16.4,41.4,50.004,50.004,True
381802847#0,2,15.385424,40.385424,50.004,50.004,True
381802847#1,1,14.5,39.5,50.004,50.004,True
381802847#2,1,14.5,39.5,50.004,50.004,True
420361196,3,16.866739,41.866739,100.008,100.008,True
428260110,2,16.4,41.4,100.008,100.008,True
477063271,1,14.2,39.2,100.008,100.008,True
578313748#0,1,19.2,44.2,100.008,100.008,True
578313748#2,2,19.2,44.2,100.008,100.008,True
578313749#0,1,15.7,40.7,60.012,60.012,True
578313749#1,1,15.7,40.7,60.012,60.012,True
585341903#0,1,14.2,39.2,100.008,100.008,True
585341903#1,1,14.2,39.2,100.008,100.008,True
585341906#0,1,16.8,41.8,100.008,100.008,True
585341906#2,1,16.8,41.8,100.008,100.008,True
585341907#0,1,16.8,41.8,100.008,100.008,True
585341907#2,1,16.8,41.8,100.008,100.008,True
585341908#0,1,14.2,39.2,100.008,100.008,True
585341908#1,1,14.2,39.2,100.008,100.008,True
615671502,1,16.8,41.8,100.008,100.008,True
615671503,1,16.8,41.8,100.008,100.008,True
619147738#0,3,18.3,43.3,100.008,100.008,True
619147738#1,1,16.8,41.8,100.008,100.008,True
619147739#0,2,15.7,40.7,100.008,100.008,True
619147739#1,1,15.7,40.7,100.008,100.008,True
619147739#2,1,15.7,40.7,100.008,100.008,True
619147739#3,2,15.754646,40.754646,100.008,100.008,True
619147739#4,2,16.090394,41.090394,100.008,100.008,True
619147739#5,2,16.39572,41.39572,100.008,100.008,True
619147739#6,2,16.266888,41.266888,100.008,100.008,True
619147740,3,15.047653,40.047653,100.008,100.008,True
620607766#0,1,14.9,39.9,79.992,79.992,True
620607766#1,1,14.9,39.9,79.992,79.992,True
620607766#2,1,14.9,39.9,79.992,79.992,True
773060736,2,14.334285,39.334285,79.992,79.992,True
781983103#1,2,15.757846,40.757846,100.008,100.008,True
781983103#2,2,15.605982,40.605982,100.008,100.008,True
781983104#0,2,19.146058,44.146058,100.008,100.008,True
781983104#1,3,18.545497,43.545497,100.008,100.008,True
781985779#0,2,14.391799,39.391799,100.008,100.008,True
781985779#1,1,14.5,39.5,100.008,100.008,True
781985783,3,14.476947,39.476947,100.008,100.008,True
781985784,1,14.9,39.9,100.008,100.008,True
781985786#1,1,16.5,41.5,100.008,100.008,True
781985786#2,1,16.5,41.5,100.008,100.008,True
781985786#3,2,16.5,41.5,100.008,100.008,True
781985786#4,1,16.5,41.5,100.008,100.008,True
781985786#5,1,16.5,41.5,100.008,100.008,True
781985786#6,2,16.257492,41.257492,100.008,100.008,True
781985786#7,3,15.700722,40.700722,100.008,100.008,True
781985786#8,2,15.123874,40.123874,100.008,100.008,True
781985787#0,1,16.8,41.8,100.008,100.008,True
781985789#0,1,18.3,43.3,79.992,79.992,True
781985789#1,1,18.3,43.3,79.992,79.992,True
781985792#0,1,14.5,39.5,100.008,100.008,True
781985792#1,1,14.5,39.5,100.008,100.008,True
781985792#2,1,14.5,39.5,100.008,100.008,True
781985792#3,2,14.41664,39.41664,100.008,100.008,True
781985793#0,1,16.4,41.4,100.008,100.008,True
781985793#1,2,16.605649,41.605649,100.008,100.008,True
782892492#0,2,14.263277,39.263277,79.992,79.992,True
782892492#1,2,14.227593,39.227593,79.992,79.992,True
783692390#0,1,14.9,39.9,79.992,79.992,True
783692390#1,1,14.2,39.2,79.992,79.992,True
785130598#0,2,14.265341,39.265341,50.004,50.004,True
785130598#1,2,14.232578,39.232578,50.004,50.004,True
785130598#2,1,14.2,39.2,50.004,50.004,True
785130598#3,1,14.2,39.2,50.004,50.004,True
785130598#4,1,14.2,39.2,50.004,50.004,True
785130598#5,1,14.2,39.2,50.004,50.004,True
785130598#6,1,14.2,39.2,50.004,50.004,True
785130598#7,1,14.2,39.2,50.004,50.004,True
785130598#8,2,14.2,39.2,50.004,50.004,True
785130600#0,1,16.4,41.4,100.008,100.008,True
785130600#1,1,16.4,41.4,100.008,100.008,True
785130600#2,1,16.4,41.4,100.008,100.008,True
785130600#3,2,16.98082,41.98082,100.008,100.008,True
785130603,2,15.7,40.7,79.992,79.992,True
800229255,2,19.2,44.2,100.008,100.008,True
913372757,1,16.8,41.8,79.992,79.992,True
913702834,2,17.298441,42.298441,79.992,79.992,True
921117704#0,2,15.008445,40.008445,100.008,100.008,True
955312947#1,1,15.7,40.7,50.004,50.004,True
