edge_id,old_numLanes,new_numLanes,old_speed_kmh,new_speed_kmh,edge_length_m,roles,reasons,changed
-243542157,1,2,50.004,50.0,55.97,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
-329612996,1,2,50.004,50.0,119.38,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
-420319845,1,2,50.004,50.0,126.09,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
-516948900#8,1,2,100.008,50.0,25.28,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
-768399563#0,1,2,50.004,50.0,46.55,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
-785130602#0,1,2,50.004,50.0,11.94,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
-910451393#0,1,2,50.004,50.0,36.52,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
-955312947#0,1,2,50.004,50.0,80.32,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
1206220503#0,1,2,79.992,50.0,80.95,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
1206220503#1,1,2,79.992,50.0,27.44,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
1473526512,1,2,79.992,50.0,36.19,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
183272625#1,1,2,50.004,35.0,7.58,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
198691704#1,1,2,79.992,35.0,8.07,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
198691704#2,1,2,79.992,50.0,10.26,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
219696191#0,1,2,79.992,50.0,38.43,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
243542154#0,1,2,50.004,50.0,69.87,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
289213613#0,1,2,100.008,35.0,5.13,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
320473386,1,2,50.004,50.0,54.34,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
329612996,1,2,50.004,50.0,118.35,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
381452166#1,1,2,50.004,50.0,55.45,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
381802860#2,1,2,50.004,50.0,86.53,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
381807720#1,1,2,50.004,50.0,98.06,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
420383150#4,1,2,50.004,50.0,54.48,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
428260104,1,2,79.992,50.0,12.11,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
464461054#1,1,2,50.004,50.0,120.87,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
619342756,1,2,100.008,50.0,12.12,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
651817398#0,1,2,50.004,50.0,43.32,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
651818430#3,1,2,50.004,50.0,109.91,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
785130601#1,1,2,50.004,50.0,63.13,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
914660215#0,1,2,50.004,50.0,38.54,make_sense_high_risk,make_sense_high_flow_or_protected_one_lane,True
