edge_id,source_segment_ids,source_directions,observed_row_count,edge_length_m,reference_speed_kmh,max_simulated_speed_kmh,max_speed_error_kmh,speed_cap_kmh,old_min_speed_kmh,old_max_speed_kmh,changed
-174870621#10,S1,upbound,1,13.36,18.3,39.924,21.624,33.3,50.004,50.004,True
-174870621#8,S1,upbound,1,56.88,18.3,44.928,26.628,33.3,50.004,50.004,True
-180368918#3,S3 S4,downbound,2,25.36,16.5,36.612,20.112,31.5,50.004,50.004,True
-180368918#8,S4 S5 S6,downbound,3,17.96,16.5,46.62,30.92,30.7,50.004,50.004,True
-218684411#0,S1,upbound,1,11.32,18.3,47.412,29.112,33.3,50.004,50.004,True
-218684411#1,S1,upbound,1,24.47,18.3,44.028,25.728,33.3,50.004,50.004,True
-218773868#2,S6,downbound,1,47.11,15.7,37.62,21.92,30.7,50.004,50.004,True
-381802847#0,S1 S2,upbound,2,148.49,18.3,46.764,28.464,33.3,50.004,50.004,True
-381802847#1,S1,upbound,1,37.18,18.3,35.928,17.628,33.3,50.004,50.004,True
-955312947#1,S17,upbound,1,61.98,19.2,40.356,21.156,34.2,50.004,50.004,True
1455497343#0,S7 S8,downbound,2,46.87,15.7,45.612,31.412,30.0,50.004,50.004,True
1455497343#1,S7,downbound,1,79.75,15.7,47.268,31.568,30.7,50.004,50.004,True
1455497343#2,S7,downbound,1,31.2,15.7,41.4,25.7,30.7,50.004,50.004,True
1455497343#3,S7,downbound,1,44.06,15.7,47.304,31.604,30.7,50.004,50.004,True
180368915#1,S10 S11,upbound,2,10.33,16.4,38.628,22.228,31.4,50.004,50.004,True
180368918#0,S2 S3,upbound,2,52.59,19.2,36.828,17.628,34.2,50.004,50.004,True
180445419,S12,upbound,1,85.68,16.4,40.032,23.632,31.4,31.392,31.392,False
183272387#1,S2,upbound,1,25.58,19.2,35.712,16.512,34.2,39.204,39.204,True
183272387#2,S2,upbound,1,75.55,19.2,36.288,17.088,34.2,39.204,39.204,True
183272654,S22,upbound,1,49.4,16.8,41.652,24.852,31.8,50.004,50.004,True
218684411#2,S1,downbound,1,13.1,14.5,37.008,22.508,30.0,50.004,50.004,True
218923178#7,S2 S3,downbound,2,53.92,15.7,44.028,28.328,30.7,50.004,50.004,True
273638834#2,S10 S9,downbound,2,44.61,14.2,40.392,26.192,30.0,50.004,50.004,True
315658884#1,S18,upbound,1,33.06,18.3,44.244,25.944,33.3,50.004,50.004,True
381802847#0,S1 S2,downbound,2,148.49,14.5,41.904,27.404,30.0,50.004,50.004,True
420361196,S10 S11 S12,upbound,3,182.02,16.4,39.456,23.056,31.4,31.392,31.392,False
578313749#1,S2,downbound,1,11.17,15.7,39.276,23.576,30.7,50.004,50.004,True
619147740,S19 S20 S21,downbound,3,66.55,15.7,39.024,24.824,30.0,50.004,50.004,True
781985779#0,S10 S11,downbound,2,22.13,14.5,38.736,24.536,30.0,50.004,50.004,True
782892492#1,S10 S11,downbound,2,33.99,14.5,35.964,21.764,30.0,50.004,50.004,True
785130598#2,S9,downbound,1,144.7,14.2,42.876,28.676,30.0,50.004,50.004,True
785130598#3,S9,downbound,1,26.16,14.2,45.468,31.268,30.0,50.004,50.004,True
785130598#4,S9,downbound,1,21.76,14.2,45.36,31.16,30.0,50.004,50.004,True
785130598#5,S9,downbound,1,53.07,14.2,45.468,31.268,30.0,50.004,50.004,True
785130598#6,S9,downbound,1,44.19,14.2,46.296,32.096,30.0,50.004,50.004,True
785130598#7,S9,downbound,1,12.42,14.2,39.96,25.76,30.0,50.004,50.004,True
785130598#8,S8 S9,downbound,2,63.84,14.2,45.792,31.592,30.0,50.004,50.004,True
785130603,S6 S7,downbound,2,11.01,15.7,45.216,29.516,30.7,50.004,50.004,True
