change_type,from_edge,to_edge,tl,link_index,old_state,new_state,old_pass,new_pass,old_keepClear,new_keepClear,old_priority,new_priority,reason
edge_priority,-381802847#2,,,,,,,,,,3,10,release_axis_priority_stabilization
connection_priority,-174870621#4,-174870621#2,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,-174870621#4,-174870621#2,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,-174870621#4,-174870621#2,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,-174870621#5,-174870621#4,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,-174870621#5,-174870621#4,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,-174870621#5,-174870621#4,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,-174870621#6,-174870621#5,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,-174870621#6,-174870621#5,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,-174870621#6,-174870621#5,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,-174870621#7,-174870621#6,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,-174870621#7,-174870621#6,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,-174870621#7,-174870621#6,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,180445419,347237859#0,,,m,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,180445419,347237859#0,,,m,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,218773869#6,218773869#7,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,218773869#6,218773869#7,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,218773869#6,218773869#7,,,M,M,,true,,false,,,firetruck_route_release_connection_priority
connection_priority,218773869#7,218773869#8,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,8,O,O,,true,,false,,,firetruck_route_release_connection_priority
