edge_id,exists_in_geojson,exists_in_net,allows_passenger,is_internal,length_m,lane_count,speed_mps,duplicate_count,status,warnings,failure_reason
-1099004169,True,True,True,False,63.33,1,13.89,1,PASS,,
-176728951#4,True,True,True,False,177.95,1,22.22,1,PASS,,
-198564930,True,True,True,False,81.67,1,16.67,1,PASS,,
-198691090,True,True,True,False,26.06,1,13.89,1,PASS,,
-228795481#0,True,True,True,False,127.43,1,13.89,1,PASS,,
-228796091#1,True,True,True,False,30.22,1,13.89,1,PASS,,
-272263606,True,True,True,False,242.35,1,13.89,1,PASS,,
-37928420#2,True,True,True,False,63.06,2,27.78,1,PASS,,
-420383159#1,True,True,True,False,101.83,1,13.89,1,PASS,,
117784418#0,True,True,True,False,35.0,1,13.89,1,PASS,,
1205679418#11,True,True,True,False,138.36,1,22.22,1,PASS,,
170403814#0,True,True,True,False,230.49,1,13.89,1,PASS,,
198564929#5,True,True,True,False,52.57,1,13.89,1,PASS,,
198691079#0,True,True,True,False,46.8,1,13.89,1,PASS,,
243542156#1,True,True,True,False,92.73,1,13.89,1,PASS,,
273028084#6,True,True,True,False,90.53,1,13.89,1,PASS,,
273640070#0,True,True,True,False,159.2,1,13.89,1,PASS,,
301285277#0,True,True,True,False,86.29,1,13.89,1,PASS,,
315658884#1,True,True,True,False,118.5,1,13.89,1,PASS,,
381802879#1,True,True,True,False,66.61,1,13.89,1,PASS,,
