edge_id,length_m,lane_count,speed_mps,priority,axis_alignment,spine_score,is_spine_edge
781985786#3,100.9,3.0,27.78,12.0,0.997355,0.977608,True
1499619449#0,220.58,3.0,27.78,11.0,0.990746,0.97134,True
333972428#3,127.2,3.0,27.78,11.0,0.979585,0.968439,True
383097712#1,176.57,3.0,27.78,11.0,0.984901,0.964227,True
781985786#2,83.45,3.0,27.78,12.0,0.999992,0.962602,True
781985786#8,47.39,3.0,27.78,12.0,0.996911,0.935485,True
781985786#6,44.32,3.0,27.78,12.0,0.998452,0.932543,True
333972428#2,72.57,3.0,27.78,11.0,0.998446,0.930104,True
-218684411#1,44.41,3.0,27.78,12.0,0.999971,0.929882,True
1499619449#2,66.48,3.0,27.78,11.0,0.998869,0.925695,True
781985786#7,34.12,3.0,27.78,12.0,0.999998,0.924535,True
781985786#4,33.24,3.0,27.78,12.0,0.997778,0.922253,True
1499619447#1,66.66,4.0,27.78,11.0,0.980864,0.920381,True
-218684411#4,31.25,3.0,27.78,12.0,0.998098,0.919001,True
781985786#5,28.2,3.0,27.78,12.0,0.997675,0.918516,True
1467498054,41.55,4.0,27.78,12.0,0.904408,0.914029,True
1499619447#0,42.96,4.0,27.78,11.0,0.998142,0.905435,True
-218684411#2,12.31,3.0,27.78,12.0,0.999813,0.903114,True
333972428#1,36.3,3.0,27.78,11.0,0.998663,0.899306,True
785130600#2,139.73,2.0,27.78,12.0,0.995717,0.873068,True
781985784,276.83,2.0,27.78,12.0,0.987719,0.870505,True
420361196,288.07,2.0,27.78,12.0,0.988665,0.869996,True
347237859#4,134.34,2.0,27.78,12.0,0.997463,0.86706,True
781985779#0,160.91,2.0,27.78,12.0,0.979958,0.863449,True
413953596#2,108.96,3.0,27.78,12.0,0.367914,0.854058,True
218915135#3,109.38,2.0,27.78,12.0,0.925197,0.849051,True
921117704#0,94.47,2.0,27.78,12.0,0.9809,0.846089,True
781983104#0,90.45,2.0,27.78,12.0,0.983939,0.841634,True
1455497345,84.46,2.0,27.78,12.0,0.995399,0.841485,True
413953596#3,16.89,3.0,27.78,12.0,0.738879,0.840695,True
198566324#0,12.8,8.0,27.78,12.0,0.781581,0.83652,True
218773869#6,82.37,2.0,27.78,12.0,0.992622,0.834015,True
1455512070,74.52,2.0,27.78,12.0,0.993428,0.831924,True
-1455512070,74.52,2.0,27.78,12.0,0.993428,0.830862,True
347237859#3,74.18,2.0,27.78,12.0,0.999201,0.830262,True
183272387#0,121.78,2.0,27.78,12.0,0.850038,0.82881,True
619147739#3,110.76,2.0,27.78,12.0,0.964391,0.827887,True
135131181,374.36,3.0,27.78,12.0,0.36163,0.827485,True
781983104#1,281.48,2.0,27.78,12.0,0.866724,0.827109,True
800229256#2,101.69,3.0,16.67,12.0,0.858366,0.826776,True
174870621#1,70.41,2.0,27.78,12.0,0.998723,0.825562,True
773066532#5,236.73,8.0,27.78,12.0,0.326359,0.825445,True
-174870621#2,70.41,2.0,27.78,12.0,0.998719,0.824493,True
-218923171#4,71.74,4.0,27.78,12.0,0.421387,0.822514,True
218923171#4,71.74,4.0,27.78,12.0,0.421442,0.821623,True
174870621#0,69.9,2.0,27.78,12.0,0.987183,0.821445,True
619147738#0,103.88,2.0,27.78,12.0,0.993861,0.820904,True
-174870621#0,69.9,2.0,27.78,12.0,0.987183,0.820389,True
347237859#0,61.75,2.0,27.78,12.0,0.99268,0.819626,True
-218773868#4,60.72,2.0,27.78,12.0,0.996183,0.818399,True
585341904#0,28.39,5.0,27.78,12.0,0.595485,0.818362,True
781985793#0,63.5,2.0,27.78,12.0,0.969947,0.81761,True
785130600#3,54.1,2.0,27.78,12.0,0.993183,0.817563,True
218773868#4,60.65,2.0,27.78,12.0,0.99619,0.817276,True
219696193#1,65.21,2.0,27.78,12.0,0.981659,0.817263,True
781985787#0,60.01,2.0,27.78,12.0,0.997321,0.81553,True
383097723,114.78,3.0,27.78,12.0,0.15408,0.815199,True
174870621#8,55.35,2.0,27.78,12.0,0.999393,0.814652,True
-174870621#8,55.35,2.0,27.78,12.0,0.999393,0.813583,True
516948898#3,94.42,3.0,27.78,12.0,0.34441,0.812679,True
174870621#4,53.34,2.0,27.78,12.0,0.999679,0.812266,True
-174870621#5,53.34,2.0,27.78,12.0,0.999679,0.811195,True
218915133#2,47.58,2.0,27.78,12.0,0.999586,0.809884,True
-218773868#5,48.88,2.0,27.78,12.0,0.996727,0.809576,True
619147735#0,72.69,3.0,27.78,12.0,0.459058,0.8094,True
218915133#0,45.9,2.0,27.78,12.0,0.999828,0.808525,True
218773868#5,48.88,2.0,27.78,12.0,0.996724,0.808509,True
183272654,43.72,4.0,27.78,12.0,0.473237,0.80788,True
218773869#7,52.82,2.0,27.78,12.0,0.989979,0.806882,True
218684411#0,44.82,2.0,27.78,12.0,0.99997,0.80656,True
-218773868#2,49.02,2.0,27.78,12.0,0.994568,0.806314,True
-180368918#0,48.45,2.0,27.78,12.0,0.999935,0.805895,True
-180368918#7,47.64,2.0,27.78,12.0,0.999994,0.805893,True
218773868#2,49.02,2.0,27.78,12.0,0.994568,0.805249,True
174870621#6,44.29,2.0,27.78,12.0,0.999099,0.804913,True
180368918#7,47.64,2.0,27.78,12.0,0.999993,0.804824,True
-174870621#7,44.37,2.0,27.78,12.0,0.999109,0.803913,True
180368918#0,46.75,2.0,27.78,12.0,0.999929,0.803408,True
785130600#0,39.71,2.0,27.78,12.0,0.989386,0.803318,True
781983103#2,44.35,2.0,27.78,12.0,0.987869,0.802849,True
428260110,37.19,2.0,27.78,12.0,0.998518,0.802357,True
180368915#3,40.88,2.0,27.78,12.0,0.984316,0.802315,True
218915135#4,39.79,2.0,27.78,12.0,0.985748,0.801951,True
218773869#4,39.44,2.0,27.78,12.0,0.992181,0.800243,True
219696193#2,40.55,2.0,27.78,12.0,0.986335,0.800026,True
619147739#0,86.55,2.0,27.78,12.0,0.963476,0.799644,True
333557072#5,79.37,2.0,27.78,12.0,0.973471,0.799096,True
218923178#7,53.87,3.0,16.67,12.0,0.855542,0.79862,True
218923178#4,63.86,3.0,16.67,12.0,0.839184,0.797599,True
585341901#2,103.65,2.0,27.78,12.0,0.710868,0.796814,True
218773869#1,31.3,2.0,27.78,12.0,0.99175,0.795361,True
218773869#5,32.99,2.0,27.78,12.0,0.996823,0.794993,True
218684411#4,30.8,2.0,27.78,12.0,0.998086,0.794959,True
-218923171#3,27.49,4.0,27.78,12.0,0.509814,0.794481,True
781983103#1,56.65,2.0,27.78,12.0,0.910071,0.794323,True
180368915#2,42.36,2.0,27.78,12.0,0.927437,0.794235,True
218923171#2,28.28,4.0,27.78,12.0,0.509144,0.793967,True
174870621#9,29.66,2.0,27.78,12.0,0.999353,0.793525,True
37403503#0,29.34,4.0,27.78,12.0,0.565854,0.793432,True
1465558143,89.68,5.0,27.78,12.0,0.155879,0.793289,True
773066536#1,67.01,3.0,16.67,12.0,0.91962,0.793123,True
-174870621#10,29.7,2.0,27.78,12.0,0.999354,0.792489,True
333557072#3,63.06,2.0,27.78,12.0,0.970804,0.789321,True
1455524949#4,59.66,3.0,16.67,12.0,0.924177,0.789161,True
218773869#3,24.42,2.0,27.78,12.0,0.994321,0.788998,True
785130600#1,18.14,2.0,27.78,12.0,0.999978,0.788325,True
781985792#3,33.78,2.0,27.78,12.0,0.978957,0.787913,True
619147729#2,26.59,3.0,27.78,12.0,0.493881,0.787364,True
-180368918#3,24.71,2.0,27.78,12.0,0.999833,0.786478,True
619147729#0,14.52,3.0,27.78,12.0,0.521314,0.78629,True
347237859#1,20.56,2.0,27.78,12.0,0.999969,0.786178,True
619147739#5,77.11,2.0,27.78,12.0,0.866965,0.786168,True
-218773868#3,23.46,2.0,27.78,12.0,0.994973,0.786159,True
180368918#3,24.71,2.0,27.78,12.0,0.999833,0.785408,True
218773868#3,23.46,2.0,27.78,12.0,0.994973,0.785095,True
218773869#8,26.25,2.0,27.78,12.0,0.988873,0.784269,True
1455512066,19.84,2.0,27.78,12.0,0.973005,0.784075,True
-180368918#6,20.62,2.0,27.78,12.0,0.999648,0.783201,True
218923178#2,57.4,3.0,16.67,12.0,0.835767,0.783175,True
347237859#2,16.88,2.0,27.78,12.0,0.999173,0.782837,True
-180368918#5,19.65,2.0,27.78,12.0,0.999643,0.782238,True
180368918#6,20.62,2.0,27.78,12.0,0.999648,0.782132,True
180368918#5,19.65,2.0,27.78,12.0,0.999643,0.781169,True
615671505#0,198.31,4.0,27.78,12.0,0.150236,0.781115,True
-180368918#8,17.45,2.0,27.78,12.0,0.999964,0.780832,True
619147739#6,87.19,2.0,27.78,12.0,0.755871,0.780502,True
-218773868#0,16.64,2.0,27.78,12.0,0.999963,0.779974,True
180368918#8,17.1,2.0,27.78,12.0,0.999963,0.779471,True
218684411#2,12.19,2.0,27.78,12.0,0.999823,0.779353,True
-218773868#6,12.08,2.0,27.78,12.0,0.995261,0.779252,True
-578313748#0,16.99,2.0,27.78,12.0,0.999904,0.779174,True
218773868#0,16.64,2.0,27.78,12.0,0.999965,0.778905,True
218773868#6,12.08,2.0,27.78,12.0,0.9953,0.778195,True
578313748#0,16.99,2.0,27.78,12.0,0.999903,0.778105,True
-218923171#5,16.86,4.0,27.78,12.0,0.37932,0.777229,True
218923171#5,16.86,4.0,27.78,12.0,0.37935,0.776423,True
516948898#4,38.68,3.0,27.78,12.0,0.449556,0.775297,True
-578313748#2,11.8,2.0,27.78,12.0,0.998308,0.774705,True
-218923171#1,16.35,4.0,27.78,12.0,0.48903,0.774677,True
619147740,57.93,2.0,27.78,12.0,0.974287,0.774551,True
218923171#0,16.37,4.0,27.78,12.0,0.489082,0.773655,True
578313748#2,11.8,2.0,27.78,12.0,0.998308,0.773637,True
1455524949#5,37.62,3.0,16.67,12.0,0.916215,0.773011,True
578313749#0,29.65,3.0,16.67,12.0,0.789595,0.7719,True
619147739#1,45.96,2.0,27.78,12.0,0.963521,0.769329,True
218926711#2,72.78,2.0,27.78,12.0,0.71471,0.76853,True
383097722#0,28.11,7.0,27.78,12.0,0.296216,0.766634,True
-383097722#0,28.11,4.0,27.78,12.0,0.295911,0.765695,True
180368915#1,12.3,2.0,27.78,12.0,0.890961,0.762356,True
773066536#0,25.15,3.0,16.67,12.0,0.923176,0.762233,True
585341917,52.1,2.0,27.78,12.0,0.841168,0.761745,True
184083191#1,20.44,3.0,16.67,12.0,0.923919,0.761577,True
1465558144,40.67,6.0,27.78,12.0,0.144281,0.759386,True
218926711#4,68.28,2.0,27.78,12.0,0.651443,0.758187,True
616037662#0,108.99,5.0,27.78,12.0,0.067763,0.758142,True
1455524949#6,14.88,3.0,16.67,12.0,0.916996,0.757278,True
379943276,66.79,4.0,27.78,12.0,0.152966,0.756856,True
218923178#0,11.83,3.0,16.67,12.0,0.896509,0.754173,True
-913009312#8,118.78,2.0,27.78,12.0,0.4548,0.752172,True
913009312#6,119.18,2.0,27.78,12.0,0.45485,0.752024,True
800229256#3,18.09,3.0,16.67,12.0,0.858447,0.750502,True
-383097714,18.36,5.0,27.78,12.0,0.291162,0.748025,True
769116603#1,431.41,2.0,27.78,12.0,0.515657,0.74774,True
619147727,29.27,2.0,27.78,12.0,0.855981,0.747265,True
383097714,18.36,5.0,27.78,12.0,0.29116,0.74724,True
218926711#6,95.39,2.0,27.78,12.0,0.533617,0.744613,True
1206223946#0,32.77,2.0,27.78,12.0,0.929043,0.744553,True
585341901#1,41.89,2.0,27.78,12.0,0.675324,0.742394,True
619147736,87.07,2.0,27.78,12.0,0.502039,0.736289,True
-913009312#3,136.25,2.0,27.78,12.0,0.514705,0.735459,True
913009312#1,136.06,2.0,27.78,12.0,0.514695,0.734901,True
413953595,14.4,2.0,27.78,12.0,0.846523,0.732915,True
585341901#3,44.56,2.0,27.78,12.0,0.689608,0.732849,True
616037662#1,28.21,5.0,27.78,12.0,0.18356,0.728144,True
-218923177,154.31,1.0,27.78,11.0,0.996474,0.727874,True
333554715#1,154.4,1.0,27.78,11.0,0.996476,0.727341,True
783692390#0,98.49,1.0,22.22,7.0,0.979458,0.726533,True
516948898#2,11.03,3.0,27.78,12.0,0.202659,0.725672,True
616037662#2,22.22,5.0,27.78,12.0,0.15293,0.723105,True
218926711#1,25.6,2.0,27.78,12.0,0.719124,0.722587,True
218926711#0,58.28,2.0,27.78,12.0,0.597134,0.718821,True
919984684,12.05,2.0,27.78,12.0,0.805386,0.718531,True
413953596#0,15.55,3.0,27.78,12.0,0.036782,0.718187,True
183272313#0,87.72,2.0,27.78,12.0,0.391785,0.717706,True
