target_edge_id,length_m,lane_count,speed_mps,route_status,route_edge_count,route_length_m,route_tls_count,route_tls_ids,warnings,route_edge_sequence
-1099004169,63.33,1,13.89,PASS,16,671.47,2,cluster_1326096615_3849700763;cluster_3846534041_436877431,,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 913702834 -218923171#4 -1099004169
-176728951#4,177.95,1,22.22,PASS,66,3003.31,8,11346754525;7335400049;cluster_11203041632_11203041633_11203041634_11203041635_#5more;cluster_1326096615_3849700763;cluster_3846534041_436877431;joinedS_11203001806_11203001814_13721232731_5851251250_#6more;joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more;joinedS_4273893706_4273893707_7335400058_cluster_13348213189_13348213190_13348213191,,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 347237859#3 347237859#4 781985787#0 -781985788#0 -383097722#0 383097714 1499619438#0 383097712#1 333972428#1 333972428#2 333972428#3 289213613#0 289213613#3 619342756 585341917 438360329#0 -176728951#4
-198564930,81.67,1,16.67,PASS,59,2623.4,5,cluster_1326096615_3849700763;cluster_13348293702_13348293703_414685829;cluster_3846534041_436877431;joinedS_11203083989_11203083990_11203083991_11203083992_#3more;joinedS_4276255150_4276255151_4276255152_cluster_4276255149_436839431,,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 913702834 183272621 -1455518729#7 -1455518729#6 -1455518729#5 -1455518729#4 -1455518729#2 -1455518729#1 -1455518729#0 -1455518726 -198564928#28 -198564928#27 -198564928#26 -198564928#25 -198564928#24 -198564928#23 -198564928#22 -198564928#21 -198564928#20 -198564928#18 -198564928#17 -198564928#16 -198564928#15 -198564928#14 -198564928#13 -198564928#12 -198564928#11 -198564928#10 -198564928#8 -198564928#7 -198564928#6 -198564928#5 1205679418#11 184083187#3 184083187#4 184083187#5 218974504#1 218974504#2 218974504#3 218974504#4 218974504#5 218923188#0 218923188#1 218923188#2 218923188#4 -198564930
-198691090,26.06,1,13.89,PASS,54,2213.42,5,11346754525;7335400049;cluster_1326096615_3849700763;cluster_3846534041_436877431;joinedS_4273893706_4273893707_7335400058_cluster_13348213189_13348213190_13348213191,,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 219696193#2 781985793#0 180368915#0 180368915#1 180368915#2 180368915#3 218915133#0 218915133#2 218915133#3 347237859#0 347237859#1 347237859#2 198691061#0 198691061#1 198691061#2 -198691068 -198691090
-228795481#0,127.43,1,13.89,PASS,49,1814.62,4,cluster_1326096615_3849700763;cluster_13348293702_13348293703_414685829;cluster_3846534041_436877431;joinedS_4276255150_4276255151_4276255152_cluster_4276255149_436839431,,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 913702834 183272621 -1455518729#7 -1455518729#6 -1455518729#5 -1455518729#4 -1455518729#2 -1455518729#1 -1455518729#0 -1455518726 -198564928#28 -198564928#27 -198564928#26 -198564928#25 -198564928#24 -198564928#23 -198564928#22 -198564928#21 -198564928#20 -198564928#18 -198564928#17 -198564928#16 -198564928#15 -198564928#14 -198564928#13 -198564928#12 -117914848#7 -381456441 -170403787#0 -170403779 219696192#9 824132484#0 824132486 184083187#0 -228795481#1 -228795481#0
-228796091#1,30.22,1,13.89,PASS,39,1687.24,5,11346754525;7335400049;cluster_1326096615_3849700763;cluster_3846534041_436877431;joinedS_4273893706_4273893707_7335400058_cluster_13348213189_13348213190_13348213191,,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 1455497345 218773869#1 218773869#3 218773869#4 218773869#5 218773869#6 218773869#7 218773869#8 219696193#0 219696193#1 -228796091#4 -228796091#1
-272263606,242.35,1,13.89,PASS,34,1600.0,3,cluster_1326096615_3849700763;cluster_3846534041_436877431;joinedS_4273893706_4273893707_7335400058_cluster_13348213189_13348213190_13348213191,,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 180368918#8 218773868#0 218773868#2 218773868#3 218773868#4 218773868#5 218773868#6 -1455512070 -1455512069 428260110 785130600#0 785130600#1 785130600#2 785130600#3 -1455497346 237470575#0 237470575#1 237470575#3 237470575#4 -272263605#2 -272263606
-37928420#2,63.06,2,27.78,PASS,29,1007.87,1,cluster_1326096615_3849700763,,-381802881#2 -381802847#2 183272625#3 -420331815 -420331812#3 -420331812#2 381802858 381802844#3 381802844#5 381802844#6 381802848#2 420331810 420331806 -420319841#1 183272309#4 -117914345#4 381452111 -381452179#1 -381452179#0 -420187959#11 -420187959#8 -420187959#7 -420187959#5 -420187959#4 -420187959#3 -420187959#2 -420187959#0 -520307305#2 -37928420#2
-420383159#1,101.83,1,13.89,PASS,46,1632.22,4,cluster_1326096615_3849700763;cluster_13348293702_13348293703_414685829;cluster_3846534041_436877431;joinedS_4276255150_4276255151_4276255152_cluster_4276255149_436839431,,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 913702834 183272621 -1455518729#7 -1455518729#6 -1455518729#5 -1455518729#4 -1455518729#2 -1455518729#1 -1455518729#0 -1455518726 -198564928#28 -198564928#27 -198564928#26 -198564928#25 -198564928#24 -198564928#23 -198564928#22 -198564928#21 -198564928#20 -198564928#18 -198564928#17 -198564928#16 -198564928#15 -198564928#14 -198564928#13 -198564928#12 -117914848#7 -117914848#6 -117914848#5 -117914848#4 -117914848#3 -420383159#2 -420383159#1
117784418#0,35.0,1,13.89,PASS,32,1153.07,2,cluster_1326096615_3849700763;cluster_3846534041_436877431,,-381802881#2 -381802847#2 -183272625#1 -174870621#2 -174870621#0 578313748#0 578313748#2 800229255 180368918#0 180368918#3 180368918#5 180368918#6 180368918#7 913702834 183272621 -1455518729#7 -1455518729#6 -1455518729#5 -1455518729#4 -1455518729#2 -327035700#1 -327035700#0 591142225#0 -117784411#2 -117784421#2 117784415 420348553 -117784417#3 -117784417#2 -117784417#0 1456115804#1 117784418#0
