route_id,scenario_id,target_edge_id,previous_review_status,reject_reason_type,v2_review_status
ER_ACC_001,ACC_001,-1099004169,accept,,pending
ER_ACC_002,ACC_002,-176728951#4,accept,,pending
ER_ACC_003,ACC_003,-198564930,reject,two_route_visual_confusion,pending
ER_ACC_004,ACC_004,-198691090,accept,,pending
ER_ACC_005,ACC_005,-228795481#0,reject,insufficient_spine_usage,pending
ER_ACC_006,ACC_006,-228796091#1,accept,,pending
ER_ACC_007,ACC_007,-272263606,accept,,pending
ER_ACC_008,ACC_008,-37928420#2,reject,two_route_visual_confusion,pending
ER_ACC_009,ACC_009,-420383159#1,reject,insufficient_spine_usage,pending
ER_ACC_010,ACC_010,117784418#0,reject,two_route_visual_confusion,pending
ER_ACC_011,ACC_011,1205679418#11,reject,two_route_visual_confusion,pending
ER_ACC_012,ACC_012,170403814#0,reject,insufficient_spine_usage,pending
ER_ACC_013,ACC_013,198564929#5,accept,,pending
ER_ACC_014,ACC_014,198691079#0,accept,,pending
ER_ACC_015,ACC_015,243542156#1,accept,,pending
ER_ACC_016,ACC_016,273028084#6,accept,,pending
ER_ACC_017,ACC_017,273640070#0,reject,two_route_visual_confusion;uturn_or_direction_reversal,pending
ER_ACC_018,ACC_018,301285277#0,accept,,pending
ER_ACC_019,ACC_019,315658884#1,reject,uturn_or_direction_reversal,pending
