route_id,transition_index,from_edge_id,to_edge_id,turn_angle_deg,turn_class
ER_ACC_001,1,-381802881#2,-381802847#2,68.415,normal
ER_ACC_001,2,-381802847#2,-183272625#1,83.113,normal
ER_ACC_001,3,-183272625#1,-174870621#2,80.198,normal
ER_ACC_001,4,-174870621#2,-174870621#0,6.265,normal
ER_ACC_001,5,-174870621#0,578313748#0,9.983,normal
ER_ACC_001,6,578313748#0,578313748#2,2.534,normal
ER_ACC_001,7,578313748#2,800229255,1.08,normal
ER_ACC_001,8,800229255,180368918#0,2.43,normal
ER_ACC_001,9,180368918#0,180368918#3,0.87,normal
ER_ACC_001,10,180368918#3,180368918#5,2.577,normal
ER_ACC_001,11,180368918#5,180368918#6,0.01,normal
ER_ACC_001,12,180368918#6,180368918#7,1.311,normal
ER_ACC_001,13,180368918#7,180368918#8,2.333,normal
ER_ACC_001,14,180368918#8,-218923171#5,110.168,normal
ER_ACC_001,15,-218923171#5,-218923171#4,2.631,normal
ER_ACC_001,16,-218923171#4,-1099004169,81.744,normal
ER_ACC_002,1,-381802881#2,-381802847#2,68.415,normal
ER_ACC_002,2,-381802847#2,-183272625#1,83.113,normal
ER_ACC_002,3,-183272625#1,-174870621#2,80.198,normal
ER_ACC_002,4,-174870621#2,-174870621#0,6.265,normal
ER_ACC_002,5,-174870621#0,578313748#0,9.983,normal
ER_ACC_002,6,578313748#0,578313748#2,2.534,normal
ER_ACC_002,7,578313748#2,800229255,1.08,normal
ER_ACC_002,8,800229255,180368918#0,2.43,normal
ER_ACC_002,9,180368918#0,180368918#3,0.87,normal
ER_ACC_002,10,180368918#3,180368918#5,2.577,normal
ER_ACC_002,11,180368918#5,180368918#6,0.01,normal
ER_ACC_002,12,180368918#6,180368918#7,1.311,normal
ER_ACC_002,13,180368918#7,180368918#8,2.333,normal
ER_ACC_002,14,180368918#8,218773868#0,1.645,normal
ER_ACC_002,15,218773868#0,218773868#2,6.453,normal
ER_ACC_002,16,218773868#2,218773868#3,0.227,normal
ER_ACC_002,17,218773868#3,218773868#4,1.127,normal
ER_ACC_002,18,218773868#4,218773868#5,0.019,normal
ER_ACC_002,19,218773868#5,218773868#6,0.918,normal
ER_ACC_002,20,218773868#6,-1455512070,1.016,normal
ER_ACC_002,21,-1455512070,-1455512069,1.265,normal
ER_ACC_002,22,-1455512069,428260110,2.189,normal
ER_ACC_002,23,428260110,785130600#0,5.536,normal
ER_ACC_002,24,785130600#0,785130600#1,8.278,normal
ER_ACC_002,25,785130600#1,785130600#2,4.928,normal
ER_ACC_002,26,785130600#2,785130600#3,1.533,normal
ER_ACC_002,27,785130600#3,1455497345,1.122,normal
ER_ACC_002,28,1455497345,218773869#1,1.649,normal
ER_ACC_002,29,218773869#1,218773869#3,1.256,normal
ER_ACC_002,30,218773869#3,218773869#4,1.01,normal
ER_ACC_002,31,218773869#4,218773869#5,2.551,normal
ER_ACC_002,32,218773869#5,218773869#6,2.396,normal
ER_ACC_002,33,218773869#6,218773869#7,5.435,normal
ER_ACC_002,34,218773869#7,218773869#8,20.278,normal
ER_ACC_002,35,218773869#8,219696193#0,7.83,normal
ER_ACC_002,36,219696193#0,219696193#1,0.251,normal
ER_ACC_002,37,219696193#1,219696193#2,5.563,normal
ER_ACC_002,38,219696193#2,781985793#0,11.902,normal
ER_ACC_002,39,781985793#0,420361196,13.997,normal
ER_ACC_002,40,420361196,347237859#0,2.141,normal
ER_ACC_002,41,347237859#0,347237859#1,4.701,normal
