scenario_id,route_id,target_edge_id,start_edge_id,route_length_m,selected_policy,review_status
ACC_001,ER_ACC_001,-1099004169,-381802881#2,677.23,spine_corridor_biased,needs_manual_review
ACC_002,ER_ACC_002,-176728951#4,-381802881#2,3003.31,spine_corridor_biased,PASS
ACC_003,ER_ACC_003,-198564930,-381802881#2,2988.77,spine_corridor_biased,PASS
ACC_004,ER_ACC_004,-198691090,-381802881#2,2213.42,spine_corridor_biased,PASS
ACC_005,ER_ACC_005,-228795481#0,-381802881#2,1883.26,spine_corridor_biased,PASS
ACC_006,ER_ACC_006,-228796091#1,-381802881#2,1687.24,spine_corridor_biased,PASS
ACC_007,ER_ACC_007,-272263606,-381802881#2,1600.0,spine_corridor_biased,PASS
ACC_008,ER_ACC_008,-37928420#2,-381802881#2,1476.36,spine_corridor_biased,needs_manual_review
ACC_009,ER_ACC_009,-420383159#1,-381802881#2,1695.73,spine_corridor_biased,PASS
ACC_010,ER_ACC_010,117784418#0,-381802881#2,1374.97,spine_corridor_biased,PASS
ACC_011,ER_ACC_011,1205679418#11,-381802881#2,2083.45,spine_corridor_biased,PASS
ACC_012,ER_ACC_012,170403814#0,-381802881#2,1575.95,spine_corridor_biased,PASS
ACC_013,ER_ACC_013,198564929#5,-381802881#2,3184.5,spine_corridor_biased,PASS
ACC_014,ER_ACC_014,198691079#0,-381802881#2,2735.83,spine_corridor_biased,PASS
ACC_015,ER_ACC_015,243542156#1,-381802881#2,2557.85,spine_corridor_biased,PASS
ACC_016,ER_ACC_016,273028084#6,-381802881#2,2725.57,spine_corridor_biased,PASS
ACC_017,ER_ACC_017,273640070#0,-381802881#2,2788.26,spine_corridor_biased,WARNING
ACC_018,ER_ACC_018,301285277#0,-381802881#2,2337.36,spine_corridor_biased,PASS
ACC_019,ER_ACC_019,315658884#1,-381802881#2,3493.78,spine_corridor_biased,PASS
ACC_020,ER_ACC_020,381802879#1,-381802881#2,424.06,spine_corridor_biased,needs_manual_review
