terminal_id,tls_id,junction_id,corridor_group,nearest_spine_edge,distance_to_spine_m,covered_route_count,covered_route_ids,avg_distance_from_firestation_m,emergency_incoming_edges,emergency_outgoing_edges,emergency_link_indices,green_phase_indices,yellow_phase_indices,clearance_phase_indices,is_controllable,green_phase_ok,install_candidate_status,install_candidate_reason
PT_001,11203059756,11203059756,jungbu_firestation_to_seoul_station,,,1,ER_ACC_011,1758.75,782892489#0,782892489#2,0 1,0,1,1 2,True,True,PASS,controllable_tls_with_route_linkIndex_and_green_phase
PT_002,11346754524,11346754524,jungbu_firestation_to_seoul_station,785130598#1,0,2,ER_ACC_007 ER_ACC_017,1481.28,785130598#0,785130598#1,0 1,0,1,1 2,True,True,PASS,controllable_tls_with_route_linkIndex_and_green_phase
PT_003,11346754525,11346754525,jungbu_firestation_to_seoul_station,219696193#1,0,11,ER_ACC_002 ER_ACC_003 ER_ACC_004 ER_ACC_006 ER_ACC_011 ER_ACC_013 ER_ACC_014 ER_ACC_015 ER_ACC_016 ER_ACC_018 ER_ACC_019,1481.08,219696193#0,219696193#1,0 1,0,1,1 2,True,True,PASS,controllable_tls_with_route_linkIndex_and_green_phase
PT_004,13732389937,13732389937,jungbu_firestation_to_seoul_station,,,2,ER_ACC_003 ER_ACC_014,2629.77,1499619443#8,1499619443#9,2 3 4 5,2,3,1 3,True,True,PASS,controllable_tls_with_route_linkIndex_and_green_phase
PT_005,13732389938,13732389938,jungbu_firestation_to_seoul_station,,,2,ER_ACC_003 ER_ACC_014,2548.3,1499619443#4,1499619443#8,3 4 5 6,2,3,,True,True,PASS,controllable_tls_with_route_linkIndex_and_green_phase
PT_006,4202879197,4202879197,jungbu_firestation_to_seoul_station,,,1,ER_ACC_010,1199.03,-395564622#1,-395564622#0,9,4,5,1 3 5 6,True,True,PASS,controllable_tls_with_route_linkIndex_and_green_phase
PT_007,436870729,436870729,jungbu_firestation_to_seoul_station,-913009312#5,0,1,ER_ACC_008,692.34,-913009312#5,-913009312#4,2 3,0,1,1 3 7,True,True,PASS,controllable_tls_with_route_linkIndex_and_green_phase
PT_008,7311080426,7311080426,jungbu_firestation_to_seoul_station,782892489#5,0,1,ER_ACC_011,1871.84,782892489#5,198564926,0,0,1,1 2,True,True,PASS,controllable_tls_with_route_linkIndex_and_green_phase
PT_009,7335400049,7335400049,jungbu_firestation_to_seoul_station,218773869#7,0,14,ER_ACC_002 ER_ACC_003 ER_ACC_004 ER_ACC_005 ER_ACC_006 ER_ACC_007 ER_ACC_011 ER_ACC_013 ER_ACC_014 ER_ACC_015 ER_ACC_016 ER_ACC_017 ER_ACC_018 ER_ACC_019,1402.01,218773869#7,218773869#8,0 1,0,1,1 2,True,True,PASS,controllable_tls_with_route_linkIndex_and_green_phase
PT_010,cluster_11203041632_11203041633_11203041634_11203041635_#5more,cluster_11203041632_11203041633_11203041634_11203041635_#5more,jungbu_firestation_to_seoul_station,383097712#1,0,4,ER_ACC_002 ER_ACC_003 ER_ACC_013 ER_ACC_014,2360.64,1499619438#0,1499619445#2 383097712#1,11 7 8,0 2,1 3,1 3 7,True,True,PASS,controllable_tls_with_route_linkIndex_and_green_phase
PT_011,cluster_11277565408_11277565409_414685823_5851251280,cluster_11277565408_11277565409_414685823_5851251280,jungbu_firestation_to_seoul_station,,,1,ER_ACC_013,3034.97,619147735#4,198564929#0,9,0,1,3 5,True,True,PASS,controllable_tls_with_route_linkIndex_and_green_phase
PT_012,cluster_12785870414_3337522189,cluster_12785870414_3337522189,jungbu_firestation_to_seoul_station,,,1,ER_ACC_010,1259.57,-1456115806#0,1456115804#0,3,4,5,1,True,True,PASS,controllable_tls_with_route_linkIndex_and_green_phase
PT_013,cluster_1326096615_3849700763,cluster_1326096615_3849700763,jungbu_firestation_to_seoul_station,,,19,ER_ACC_001 ER_ACC_002 ER_ACC_003 ER_ACC_004 ER_ACC_005 ER_ACC_006 ER_ACC_007 ER_ACC_008 ER_ACC_009 ER_ACC_010 ER_ACC_011 ER_ACC_012 ER_ACC_013 ER_ACC_014 ER_ACC_015 ER_ACC_016 ER_ACC_017 ER_ACC_018 ER_ACC_019,60.4,-381802847#2,-183272625#1,0,2,3,1 3,True,True,PASS,controllable_tls_with_route_linkIndex_and_green_phase
PT_014,cluster_13348293702_13348293703_414685829,cluster_13348293702_13348293703_414685829,jungbu_firestation_to_seoul_station,-198564928#28,0,3,ER_ACC_009 ER_ACC_010 ER_ACC_012,885.63,1455518728,-198564928#28,6,0,1,1 3,True,True,PASS,controllable_tls_with_route_linkIndex_and_green_phase
PT_015,cluster_3846534041_436877431,cluster_3846534041_436877431,jungbu_firestation_to_seoul_station,180368918#3,0,19,ER_ACC_001 ER_ACC_002 ER_ACC_003 ER_ACC_004 ER_ACC_005 ER_ACC_006 ER_ACC_007 ER_ACC_008 ER_ACC_009 ER_ACC_010 ER_ACC_011 ER_ACC_012 ER_ACC_013 ER_ACC_014 ER_ACC_015 ER_ACC_016 ER_ACC_017 ER_ACC_018 ER_ACC_019,395.58,180368918#3,180368918#5,0 1,0,1,,True,True,PASS,controllable_tls_with_route_linkIndex_and_green_phase
PT_016,joinedS_11139302899_11139302904_11178710208_cluster_11139302901_5593950669_5593950674,11139302904,jungbu_firestation_to_seoul_station,619147738#0,0,1,ER_ACC_019,3017.993,1206223944 619147738#0,585341902 619147738#1,13 2 3,0 1 2 3,3,,True,True,PASS,controllable_tls_with_route_linkIndex_and_green_phase
PT_017,joinedS_11203001806_11203001814_13721232731_5851251250_#6more,cluster_11203001809_11203001817_13721232729,jungbu_firestation_to_seoul_station,619147729#0,0,2,ER_ACC_002 ER_ACC_013,2787.663,289213613#0 619147728 619147729#0 619342756,289213613#3 585341917 619147729#0 619147729#1,1 16 2 24 3 5,12 13 14 2 6,13 15 3 7,1 11 15 17 19 3 5 7 9,True,True,PASS,controllable_tls_with_route_linkIndex_and_green_phase
PT_018,joinedS_11203052957_cluster_11203052955_11203052956_11203052960_11203052961_#11more,cluster_11203052955_11203052956_11203052960_11203052961_#11more,jungbu_firestation_to_seoul_station,781985787#0,0,8,ER_ACC_002 ER_ACC_003 ER_ACC_013 ER_ACC_014 ER_ACC_015 ER_ACC_016 ER_ACC_018 ER_ACC_019,2253.96,781985787#0,-781985788#0 1465558146#0 218915135#3 781985786#1,10 11 12 13,4 6 8,5 7 9,1 3 5 7,True,True,PASS,controllable_tls_with_route_linkIndex_and_green_phase
PT_019,joinedS_4273893706_4273893707_7335400058_cluster_13348213189_13348213190_13348213191,cluster_13348213189_13348213190_13348213191,jungbu_firestation_to_seoul_station,-1455512070,0,17,ER_ACC_002 ER_ACC_003 ER_ACC_004 ER_ACC_005 ER_ACC_006 ER_ACC_007 ER_ACC_009 ER_ACC_010 ER_ACC_011 ER_ACC_012 ER_ACC_013 ER_ACC_014 ER_ACC_015 ER_ACC_016 ER_ACC_017 ER_ACC_018 ER_ACC_019,771.395,-1455512069 -1455512070,-1455512069 1455512071 428260110,0 1 11 12 13,0 1 2 3,1,,True,True,PASS,controllable_tls_with_route_linkIndex_and_green_phase
PT_020,joinedS_4276255150_4276255151_4276255152_cluster_4276255149_436839431,4276255150,jungbu_firestation_to_seoul_station,,,2,ER_ACC_009 ER_ACC_012,1182.24,-198564928#22 -198564928#23 -198564928#24,-198564928#21 -198564928#22 -198564928#23,0 4 6,0 1 2 3,1,,True,True,PASS,controllable_tls_with_route_linkIndex_and_green_phase
