edge_id,target_lanes,current_lanes,lane_delta,source_segment_ids,source_directions,source_row_count,dominant_segment_ids,dominant_directions,dominant_match_ratio,repair_reason
-174870621#0,3,2,1,S2,upbound,1,S2,upbound,0.7,validated_toegye_dominant_mainline_lane_override
-174870621#10,3,2,1,S1,upbound,1,S1,upbound,manual,route_strict_lane_override
-174870621#2,3,2,1,S1,upbound,2,S1,upbound,manual,route_strict_lane_override
-174870621#5,3,2,1,S1,upbound,1,S1,upbound,manual,route_strict_lane_override
-174870621#7,3,2,1,S1,upbound,1,S1,upbound,manual,route_strict_lane_override
-174870621#8,3,2,1,S1,upbound,1,S1,upbound,manual,route_strict_lane_override
-180368918#0,3,2,1,S3,downbound,1,S3,downbound,0.642857,validated_toegye_dominant_mainline_lane_override
-180368918#3,3,2,1,S3,downbound,1,S3,downbound,0.642857,validated_toegye_dominant_mainline_lane_override
-180368918#5,3,2,1,S3 S4,downbound,2,S3,downbound,0.357143,validated_toegye_dominant_mainline_lane_override
-180368918#6,3,2,1,S4,downbound,1,S4,downbound,0.642857,validated_toegye_dominant_mainline_lane_override
-180368918#7,3,2,1,S4 S5,downbound,2,S4,downbound,0.714286,validated_toegye_dominant_mainline_lane_override
-180368918#8,3,2,1,S5,downbound,1,S5,downbound,1.0,validated_toegye_dominant_mainline_lane_override
-381802847#0,3,1,2,S2,upbound,1,S2,upbound,0.8,validated_toegye_dominant_mainline_lane_override
-381802847#1,3,1,2,S1,upbound,1,S1,upbound,manual,route_strict_lane_override
-381802847#2,3,1,2,S1,upbound,1,S1,upbound,manual,route_strict_lane_override
-578313748#0,3,2,1,S2,downbound,1,S2,downbound,0.45,validated_toegye_dominant_mainline_lane_override
-578313748#2,3,2,1,S2,downbound,1,S2,downbound,0.4,validated_toegye_dominant_mainline_lane_override
-955312947#1,3,1,2,S17,upbound,1,S17,upbound,0.368421,validated_toegye_dominant_mainline_lane_override
1109231376,2,1,1,S12,downbound,1,S12,downbound,0.363636,validated_toegye_dominant_mainline_lane_override
1109231377#1,2,1,1,S11,downbound,1,S11,downbound,0.428571,validated_toegye_dominant_mainline_lane_override
1206223939,3,2,1,S22,upbound,1,S22,upbound,0.428571,validated_toegye_dominant_mainline_lane_override
1206223943,2,2,0,S22,downbound,1,S22,downbound,0.357143,validated_toegye_dominant_mainline_lane_override
1206223945,3,2,1,S22,upbound,1,S22,upbound,0.714286,validated_toegye_dominant_mainline_lane_override
1206223946#0,2,2,0,S21 S22,downbound,2,S21,downbound,0.8,validated_toegye_dominant_mainline_lane_override
1206223947,3,2,1,S22,upbound,1,S22,upbound,0.642857,validated_toegye_dominant_mainline_lane_override
1395426737#0,3,1,2,S5,downbound,1,S5,downbound,1.0,validated_toegye_dominant_mainline_lane_override
1395426737#1,3,1,2,S5,downbound,1,S5,downbound,1.0,validated_toegye_dominant_mainline_lane_override
1455497343#0,2,2,0,S8,downbound,1,S8,downbound,0.666667,validated_toegye_dominant_mainline_lane_override
1455497343#1,3,2,1,S7,downbound,1,S7,downbound,0.416667,validated_toegye_dominant_mainline_lane_override
1455497343#4,3,2,1,S7,downbound,1,S7,downbound,0.388889,validated_toegye_dominant_mainline_lane_override
1455497345,3,2,1,S8,upbound,1,S8,upbound,1.0,validated_toegye_dominant_mainline_lane_override
174870621#0,3,2,1,S2,downbound,1,S2,downbound,0.7,validated_toegye_dominant_mainline_lane_override
174870621#1,3,2,1,S1,downbound,2,S1,downbound,manual,route_strict_lane_override
174870621#4,3,2,1,S1,downbound,1,S1,downbound,manual,route_strict_lane_override
174870621#6,3,2,1,S1,downbound,1,S1,downbound,manual,route_strict_lane_override
174870621#8,3,2,1,S1,downbound,1,S1,downbound,manual,route_strict_lane_override
174870621#9,3,2,1,S1,downbound,1,S1,downbound,manual,route_strict_lane_override
180368915#1,2,2,0,S11,upbound,1,S11,upbound,0.357143,validated_toegye_dominant_mainline_lane_override
180368915#2,2,2,0,S11,upbound,1,S11,upbound,0.642857,validated_toegye_dominant_mainline_lane_override
180368915#3,2,2,0,S11,upbound,1,S11,upbound,0.5,validated_toegye_dominant_mainline_lane_override
180368918#0,3,2,1,S3,upbound,1,S3,upbound,0.642857,validated_toegye_dominant_mainline_lane_override
180368918#3,3,2,1,S3,upbound,1,S3,upbound,0.642857,validated_toegye_dominant_mainline_lane_override
180368918#5,3,2,1,S3 S4,upbound,2,S3,upbound,0.357143,validated_toegye_dominant_mainline_lane_override
180368918#6,3,2,1,S4,upbound,1,S4,upbound,0.571429,validated_toegye_dominant_mainline_lane_override
180368918#7,3,2,1,S4,upbound,1,S4,upbound,0.714286,validated_toegye_dominant_mainline_lane_override
180368918#8,2,2,0,S5,upbound,1,S5,upbound,1.0,validated_toegye_dominant_mainline_lane_override
183272387#0,3,2,1,S2,upbound,1,S2,upbound,0.55,validated_toegye_dominant_mainline_lane_override
183272647,3,1,2,S3,downbound,1,S3,downbound,0.5,validated_toegye_dominant_mainline_lane_override
218684411#0,3,2,1,S1,downbound,1,S1,downbound,manual,route_strict_lane_override
218773869#1,3,2,1,S9,upbound,1,S9,upbound,manual,route_strict_lane_override
218773869#3,3,2,1,S9,upbound,1,S9,upbound,manual,route_strict_lane_override
218773869#4,3,2,1,S9,upbound,1,S9,upbound,manual,route_strict_lane_override
218773869#5,3,2,1,S9,upbound,1,S9,upbound,manual,route_strict_lane_override
218773869#6,3,2,1,S9,upbound,1,S9,upbound,manual,route_strict_lane_override
218773869#7,3,2,1,S9,upbound,1,S9,upbound,manual,route_strict_lane_override
218773869#8,3,2,1,S9,upbound,2,S9,upbound,manual,route_strict_lane_override
218915133#0,2,2,0,S12,upbound,1,S12,upbound,0.5,validated_toegye_dominant_mainline_lane_override
218915133#2,2,2,0,S12,upbound,1,S12,upbound,0.5,validated_toegye_dominant_mainline_lane_override
218915133#3,2,2,0,S12,upbound,1,S12,upbound,0.363636,validated_toegye_dominant_mainline_lane_override
218915135#3,3,2,1,S16,upbound,1,S16,upbound,0.708333,validated_toegye_dominant_mainline_lane_override
218915135#4,3,2,1,S17,upbound,2,S17,upbound,manual,route_strict_lane_override
219696191#0,2,1,1,S21,downbound,1,S21,downbound,0.8,validated_toegye_dominant_mainline_lane_override
219696193#1,2,2,0,S10,upbound,1,S10,upbound,0.478261,validated_toegye_dominant_mainline_lane_override
219696193#2,2,2,0,S10,upbound,1,S10,upbound,0.434783,validated_toegye_dominant_mainline_lane_override
333557072#3,3,2,1,S19,upbound,1,S19,upbound,0.37931,validated_toegye_dominant_mainline_lane_override
333557072#5,3,2,1,S19,upbound,1,S19,upbound,0.448276,validated_toegye_dominant_mainline_lane_override
347237859#0,3,2,1,S12 S13,upbound,2,S13,upbound,0.75,validated_toegye_dominant_mainline_lane_override
347237859#1,3,2,1,S13,upbound,1,S13,upbound,1.0,validated_toegye_dominant_mainline_lane_override
347237859#2,3,2,1,S13,upbound,1,S13,upbound,0.5,validated_toegye_dominant_mainline_lane_override
347237859#3,3,2,1,S14,upbound,1,S14,upbound,0.681818,validated_toegye_dominant_mainline_lane_override
347237859#4,3,2,1,S14 S15,upbound,2,S14,upbound,0.590909,validated_toegye_dominant_mainline_lane_override
381802847#0,3,1,2,S2,downbound,1,S2,downbound,0.75,validated_toegye_dominant_mainline_lane_override
381802847#1,3,1,2,S1,downbound,1,S1,downbound,manual,route_strict_lane_override
381802847#2,3,1,2,S1,downbound,1,S1,downbound,manual,route_strict_lane_override
420361196,2,2,0,S11 S12,upbound,2,S11,upbound,1.0,validated_toegye_dominant_mainline_lane_override
477063271,2,2,0,S22,downbound,1,S22,downbound,0.571429,validated_toegye_dominant_mainline_lane_override
578313748#0,3,2,1,S2,upbound,1,S2,upbound,0.45,validated_toegye_dominant_mainline_lane_override
