segment_id,direction,edge_id,edge_order,axis_position,matched_length_m,segment_length_m,match_ratio,current_lanes,target_lanes,lane_delta,repair_target,repair_reason
S1,upbound,-218684411#1,1,0.012243,57.875676,356.9,0.162162,3,3,0,True,mainline_overlap_lane_repair
S1,upbound,-174870621#10,2,0.159641,96.459459,356.9,0.27027,2,3,1,True,mainline_overlap_lane_repair
S1,upbound,-174870621#8,3,0.303852,115.751351,356.9,0.324324,2,3,1,True,mainline_overlap_lane_repair
S1,upbound,-174870621#7,4,0.498896,106.105405,356.9,0.297297,2,3,1,True,mainline_overlap_lane_repair
S1,upbound,-381802847#2,5,0.649237,57.875676,356.9,0.162162,1,3,2,False,excluded_connector_or_low_overlap
S1,upbound,-174870621#5,6,0.652901,115.751351,356.9,0.324324,2,3,1,True,mainline_overlap_lane_repair
S1,upbound,-381802847#1,7,0.838966,77.167568,356.9,0.216216,1,3,2,False,excluded_connector_or_low_overlap
S1,upbound,-174870621#2,8,0.953146,86.813514,356.9,0.243243,2,3,1,True,mainline_overlap_lane_repair
S1,upbound,-174870621#0,9,1.0,9.645946,356.9,0.027027,2,3,1,False,excluded_connector_or_low_overlap
S1,upbound,-381802847#0,10,1.0,57.875676,356.9,0.162162,1,3,2,False,excluded_connector_or_low_overlap
S1,downbound,174870621#0,1,0.0,9.645946,356.9,0.027027,2,3,1,False,excluded_connector_or_low_overlap
S1,downbound,381802847#0,2,0.0,48.22973,356.9,0.135135,1,3,2,False,excluded_connector_or_low_overlap
S1,downbound,174870621#1,3,0.046446,96.459459,356.9,0.27027,2,3,1,True,mainline_overlap_lane_repair
S1,downbound,381802847#1,4,0.160574,77.167568,356.9,0.216216,1,3,2,False,excluded_connector_or_low_overlap
S1,downbound,174870621#4,5,0.347146,115.751351,356.9,0.324324,2,3,1,True,mainline_overlap_lane_repair
S1,downbound,381802847#2,6,0.348819,48.22973,356.9,0.135135,1,3,2,False,excluded_connector_or_low_overlap
S1,downbound,174870621#6,7,0.50083,106.105405,356.9,0.297297,2,3,1,True,mainline_overlap_lane_repair
S1,downbound,174870621#8,8,0.696024,115.751351,356.9,0.324324,2,3,1,True,mainline_overlap_lane_repair
S1,downbound,174870621#9,9,0.840193,96.459459,356.9,0.27027,2,3,1,True,mainline_overlap_lane_repair
S1,downbound,218684411#0,10,0.988017,57.875676,356.9,0.162162,2,3,1,True,mainline_overlap_lane_repair
S2,upbound,-174870621#2,1,0.0,54.3,181.0,0.3,2,3,1,True,mainline_overlap_lane_repair
S2,upbound,-381802847#0,2,0.253624,144.8,181.0,0.8,1,3,2,False,excluded_connector_or_low_overlap
S2,upbound,-174870621#0,3,0.341075,126.7,181.0,0.7,2,3,1,True,mainline_overlap_lane_repair
S2,upbound,578313748#0,4,0.645088,81.45,181.0,0.45,2,3,1,True,mainline_overlap_lane_repair
S2,upbound,183272387#0,5,0.83356,99.55,181.0,0.55,2,3,1,True,mainline_overlap_lane_repair
S2,upbound,578313748#2,6,0.836219,72.4,181.0,0.4,2,3,1,True,mainline_overlap_lane_repair
S2,upbound,800229255,7,0.932888,54.3,181.0,0.3,2,3,1,True,mainline_overlap_lane_repair
S2,upbound,180368918#0,8,1.0,36.2,181.0,0.2,2,3,1,True,mainline_overlap_lane_repair
S2,downbound,-180368918#0,1,0.0,36.2,181.0,0.2,2,3,1,True,mainline_overlap_lane_repair
