지점번호,지점명,AM_peak_avg,PM_peak_avg,위도,경도
A-10,동호로(장충체육관),10329.0,10289.9,37.5587935,127.007249
A-11,장충단로(장충단공원),8242.5,7863.3,37.556889,127.004655
A-12,퇴계로(회현역),5766.3,4562.5,37.557432,126.976486
A-13,세종대로(서울역),10112.9,9694.6,37.55912,126.97454
A-14,새문안로(서울역사박물관),7981.5,7895.6,37.569654,126.971438
A-15,종로(종로3가역),6857.4,6648.5,37.570533,126.990961
A-16,서소문로(시청역),4718.9,4134.2,37.562719,126.97307
A-17,세종대로(시청역2),0.0,0.0,37.567496,126.977208
A-18,을지로(을지로3가역),5375.4,4792.3,37.56632,126.9891
A-19,칠패로(숭례문),206.0,178.9,37.559593,126.972518
A-21,남산2호터널,4139.2,3547.1,37.555316,126.989767
A-23,소월로(회현역),2327.2,1988.2,37.557044,126.976362
A-24,소파로(숭의여자대학교),1673.0,2102.4,37.554896,126.983521
