route_id,target_edge_id,sumo_exit_code,emergency_departed,emergency_arrived,emergency_teleport,emergency_travel_time,route_error_count,background_departed,background_arrived,background_teleported,background_teleport_ratio,network_avg_speed_kmh,spine_avg_speed_kmh,emergency_corridor_avg_speed_kmh,network_summary_mean_speed_mps,spine_speed_weighting,spine_speed_weight_sum,emergency_corridor_speed_weighting,emergency_corridor_speed_weight_sum,time_to_teleport,collision_action,emergency_depart,sim_end_time,sumo_end_policy,final_status,failure_reason,warning_reason,emergency_teleport_evidence,run_dir,sumocfg,tripinfo,summary_output,edgeData_output,stderr_log
ER_ACC_001,-1099004169,0,True,True,False,50.0,0,654,654,2,0.003058,14.715791,9.056329,24.232278,4.08772,sampledSeconds,254320.89,sampledSeconds,2331.65,1200,warn,0.0,4536.0,no_explicit_end_run_until_all_vehicles_finished,WARNING,,background_teleports_present,[],runs/b0_baseline_19route_smoke/ER_ACC_001,runs/b0_baseline_19route_smoke/ER_ACC_001/scenario.sumocfg,runs/b0_baseline_19route_smoke/ER_ACC_001/tripinfo.xml,runs/b0_baseline_19route_smoke/ER_ACC_001/summary.xml,runs/b0_baseline_19route_smoke/ER_ACC_001/edgeData.xml,runs/b0_baseline_19route_smoke/ER_ACC_001/sumo_stderr.log
ER_ACC_002,-176728951#4,0,True,True,False,177.0,0,654,654,3,0.004587,14.731776,9.035263,6.207953,4.09216,sampledSeconds,255915.4,sampledSeconds,172156.71,1200,warn,0.0,4895.0,no_explicit_end_run_until_all_vehicles_finished,WARNING,,background_teleports_present,[],runs/b0_baseline_19route_smoke/ER_ACC_002,runs/b0_baseline_19route_smoke/ER_ACC_002/scenario.sumocfg,runs/b0_baseline_19route_smoke/ER_ACC_002/tripinfo.xml,runs/b0_baseline_19route_smoke/ER_ACC_002/summary.xml,runs/b0_baseline_19route_smoke/ER_ACC_002/edgeData.xml,runs/b0_baseline_19route_smoke/ER_ACC_002/sumo_stderr.log
ER_ACC_003,-198564930,0,True,True,False,189.0,0,654,654,0,0.0,17.893384,11.617153,10.448497,4.970384,sampledSeconds,198955.56,sampledSeconds,94545.86,1200,warn,0.0,4893.0,no_explicit_end_run_until_all_vehicles_finished,PASS,,,[],runs/b0_baseline_19route_smoke/ER_ACC_003,runs/b0_baseline_19route_smoke/ER_ACC_003/scenario.sumocfg,runs/b0_baseline_19route_smoke/ER_ACC_003/tripinfo.xml,runs/b0_baseline_19route_smoke/ER_ACC_003/summary.xml,runs/b0_baseline_19route_smoke/ER_ACC_003/edgeData.xml,runs/b0_baseline_19route_smoke/ER_ACC_003/sumo_stderr.log
ER_ACC_004,-198691090,0,True,True,False,113.0,0,654,654,0,0.0,17.721073,11.519592,18.179177,4.92252,sampledSeconds,200388.38,sampledSeconds,42529.63,1200,warn,0.0,4897.0,no_explicit_end_run_until_all_vehicles_finished,PASS,,,[],runs/b0_baseline_19route_smoke/ER_ACC_004,runs/b0_baseline_19route_smoke/ER_ACC_004/scenario.sumocfg,runs/b0_baseline_19route_smoke/ER_ACC_004/tripinfo.xml,runs/b0_baseline_19route_smoke/ER_ACC_004/summary.xml,runs/b0_baseline_19route_smoke/ER_ACC_004/edgeData.xml,runs/b0_baseline_19route_smoke/ER_ACC_004/sumo_stderr.log
ER_ACC_005,-228795481#0,0,True,True,False,115.0,0,654,654,2,0.003058,14.26609,8.651736,44.547506,3.962803,sampledSeconds,266519.76,sampledSeconds,12896.31,1200,warn,0.0,4893.0,no_explicit_end_run_until_all_vehicles_finished,WARNING,,background_teleports_present,[],runs/b0_baseline_19route_smoke/ER_ACC_005,runs/b0_baseline_19route_smoke/ER_ACC_005/scenario.sumocfg,runs/b0_baseline_19route_smoke/ER_ACC_005/tripinfo.xml,runs/b0_baseline_19route_smoke/ER_ACC_005/summary.xml,runs/b0_baseline_19route_smoke/ER_ACC_005/edgeData.xml,runs/b0_baseline_19route_smoke/ER_ACC_005/sumo_stderr.log
ER_ACC_006,-228796091#1,0,True,True,False,88.0,0,654,654,3,0.004587,14.266716,8.688133,43.991386,3.962977,sampledSeconds,265607.26,sampledSeconds,11783.79,1200,warn,0.0,4892.0,no_explicit_end_run_until_all_vehicles_finished,WARNING,,background_teleports_present,[],runs/b0_baseline_19route_smoke/ER_ACC_006,runs/b0_baseline_19route_smoke/ER_ACC_006/scenario.sumocfg,runs/b0_baseline_19route_smoke/ER_ACC_006/tripinfo.xml,runs/b0_baseline_19route_smoke/ER_ACC_006/summary.xml,runs/b0_baseline_19route_smoke/ER_ACC_006/edgeData.xml,runs/b0_baseline_19route_smoke/ER_ACC_006/sumo_stderr.log
ER_ACC_007,-272263606,0,True,True,False,124.0,0,654,654,0,0.0,17.490165,11.217477,45.044846,4.858379,sampledSeconds,205679.15,sampledSeconds,10718.88,1200,warn,0.0,4893.0,no_explicit_end_run_until_all_vehicles_finished,PASS,,,[],runs/b0_baseline_19route_smoke/ER_ACC_007,runs/b0_baseline_19route_smoke/ER_ACC_007/scenario.sumocfg,runs/b0_baseline_19route_smoke/ER_ACC_007/tripinfo.xml,runs/b0_baseline_19route_smoke/ER_ACC_007/summary.xml,runs/b0_baseline_19route_smoke/ER_ACC_007/edgeData.xml,runs/b0_baseline_19route_smoke/ER_ACC_007/sumo_stderr.log
ER_ACC_008,-37928420#2,0,True,True,False,96.0,0,654,654,0,0.0,17.688512,11.53772,27.614534,4.913476,sampledSeconds,199664.1,sampledSeconds,5551.79,1200,warn,0.0,4894.0,no_explicit_end_run_until_all_vehicles_finished,PASS,,,[],runs/b0_baseline_19route_smoke/ER_ACC_008,runs/b0_baseline_19route_smoke/ER_ACC_008/scenario.sumocfg,runs/b0_baseline_19route_smoke/ER_ACC_008/tripinfo.xml,runs/b0_baseline_19route_smoke/ER_ACC_008/summary.xml,runs/b0_baseline_19route_smoke/ER_ACC_008/edgeData.xml,runs/b0_baseline_19route_smoke/ER_ACC_008/sumo_stderr.log
ER_ACC_009,-420383159#1,0,True,True,False,110.0,0,654,654,2,0.003058,14.359753,8.651742,31.186302,3.98882,sampledSeconds,266505.52,sampledSeconds,7510.72,1200,warn,0.0,4893.0,no_explicit_end_run_until_all_vehicles_finished,WARNING,,background_teleports_present,[],runs/b0_baseline_19route_smoke/ER_ACC_009,runs/b0_baseline_19route_smoke/ER_ACC_009/scenario.sumocfg,runs/b0_baseline_19route_smoke/ER_ACC_009/tripinfo.xml,runs/b0_baseline_19route_smoke/ER_ACC_009/summary.xml,runs/b0_baseline_19route_smoke/ER_ACC_009/edgeData.xml,runs/b0_baseline_19route_smoke/ER_ACC_009/sumo_stderr.log
ER_ACC_010,117784418#0,0,True,True,False,97.0,0,654,654,0,0.0,17.516333,11.49538,28.347333,4.865648,sampledSeconds,200475.76,sampledSeconds,6710.91,1200,warn,0.0,4536.0,no_explicit_end_run_until_all_vehicles_finished,PASS,,,[],runs/b0_baseline_19route_smoke/ER_ACC_010,runs/b0_baseline_19route_smoke/ER_ACC_010/scenario.sumocfg,runs/b0_baseline_19route_smoke/ER_ACC_010/tripinfo.xml,runs/b0_baseline_19route_smoke/ER_ACC_010/summary.xml,runs/b0_baseline_19route_smoke/ER_ACC_010/edgeData.xml,runs/b0_baseline_19route_smoke/ER_ACC_010/sumo_stderr.log
ER_ACC_011,1205679418#11,0,True,True,False,122.0,0,654,654,2,0.003058,14.89306,9.143258,47.248595,4.136961,sampledSeconds,252516.9,sampledSeconds,12949.12,1200,warn,0.0,4894.0,no_explicit_end_run_until_all_vehicles_finished,WARNING,,background_teleports_present,[],runs/b0_baseline_19route_smoke/ER_ACC_011,runs/b0_baseline_19route_smoke/ER_ACC_011/scenario.sumocfg,runs/b0_baseline_19route_smoke/ER_ACC_011/tripinfo.xml,runs/b0_baseline_19route_smoke/ER_ACC_011/summary.xml,runs/b0_baseline_19route_smoke/ER_ACC_011/edgeData.xml,runs/b0_baseline_19route_smoke/ER_ACC_011/sumo_stderr.log
ER_ACC_012,170403814#0,0,True,True,False,94.0,0,654,654,2,0.003058,14.637542,8.938137,30.077255,4.065984,sampledSeconds,257819.61,sampledSeconds,7225.31,1200,warn,0.0,4898.0,no_explicit_end_run_until_all_vehicles_finished,WARNING,,background_teleports_present,[],runs/b0_baseline_19route_smoke/ER_ACC_012,runs/b0_baseline_19route_smoke/ER_ACC_012/scenario.sumocfg,runs/b0_baseline_19route_smoke/ER_ACC_012/tripinfo.xml,runs/b0_baseline_19route_smoke/ER_ACC_012/summary.xml,runs/b0_baseline_19route_smoke/ER_ACC_012/edgeData.xml,runs/b0_baseline_19route_smoke/ER_ACC_012/sumo_stderr.log
ER_ACC_013,198564929#5,0,True,True,True,1394.0,0,654,654,4,0.006116,14.049135,8.955364,5.580183,3.902537,sampledSeconds,258265.29,sampledSeconds,192066.26,1200,warn,0.0,4893.0,no_explicit_end_run_until_all_vehicles_finished,FAIL,emergency_teleport_detected,background_teleports_present,"[""Warning: Teleporting vehicle 'emergency_ER_ACC_013'; waited too long (jam), lane=':cluster_11277565408_11277565409_414685823_5851251280_9_0', time=1382.00."", ""Warning: Vehicle 'emergency_ER_ACC_013' ends teleporting on edge '198564929#0', time=1382.00.""]",runs/b0_baseline_19route_smoke/ER_ACC_013,runs/b0_baseline_19route_smoke/ER_ACC_013/scenario.sumocfg,runs/b0_baseline_19route_smoke/ER_ACC_013/tripinfo.xml,runs/b0_baseline_19route_smoke/ER_ACC_013/summary.xml,runs/b0_baseline_19route_smoke/ER_ACC_013/edgeData.xml,runs/b0_baseline_19route_smoke/ER_ACC_013/sumo_stderr.log
ER_ACC_014,198691079#0,0,True,True,False,177.0,0,654,654,0,0.0,17.534714,11.454928,9.069997,4.870754,sampledSeconds,201626.97,sampledSeconds,107449.16,1200,warn,0.0,4896.0,no_explicit_end_run_until_all_vehicles_finished,PASS,,,[],runs/b0_baseline_19route_smoke/ER_ACC_014,runs/b0_baseline_19route_smoke/ER_ACC_014/scenario.sumocfg,runs/b0_baseline_19route_smoke/ER_ACC_014/tripinfo.xml,runs/b0_baseline_19route_smoke/ER_ACC_014/summary.xml,runs/b0_baseline_19route_smoke/ER_ACC_014/edgeData.xml,runs/b0_baseline_19route_smoke/ER_ACC_014/sumo_stderr.log
ER_ACC_015,243542156#1,0,True,True,False,165.0,0,654,654,0,0.0,17.134973,11.229786,9.121045,4.759715,sampledSeconds,205722.48,sampledSeconds,101674.13,1200,warn,0.0,4894.0,no_explicit_end_run_until_all_vehicles_finished,PASS,,,[],runs/b0_baseline_19route_smoke/ER_ACC_015,runs/b0_baseline_19route_smoke/ER_ACC_015/scenario.sumocfg,runs/b0_baseline_19route_smoke/ER_ACC_015/tripinfo.xml,runs/b0_baseline_19route_smoke/ER_ACC_015/summary.xml,runs/b0_baseline_19route_smoke/ER_ACC_015/edgeData.xml,runs/b0_baseline_19route_smoke/ER_ACC_015/sumo_stderr.log
ER_ACC_016,273028084#6,0,True,True,False,167.0,0,654,654,0,0.0,17.587581,11.261753,9.947582,4.885439,sampledSeconds,205171.61,sampledSeconds,99827.49,1200,warn,0.0,4895.0,no_explicit_end_run_until_all_vehicles_finished,PASS,,,[],runs/b0_baseline_19route_smoke/ER_ACC_016,runs/b0_baseline_19route_smoke/ER_ACC_016/scenario.sumocfg,runs/b0_baseline_19route_smoke/ER_ACC_016/tripinfo.xml,runs/b0_baseline_19route_smoke/ER_ACC_016/summary.xml,runs/b0_baseline_19route_smoke/ER_ACC_016/edgeData.xml,runs/b0_baseline_19route_smoke/ER_ACC_016/sumo_stderr.log
ER_ACC_017,273640070#0,0,True,True,False,156.0,0,654,654,0,0.0,17.608365,11.548617,44.875993,4.891213,sampledSeconds,199777.84,sampledSeconds,10853.4,1200,warn,0.0,4894.0,no_explicit_end_run_until_all_vehicles_finished,PASS,,,[],runs/b0_baseline_19route_smoke/ER_ACC_017,runs/b0_baseline_19route_smoke/ER_ACC_017/scenario.sumocfg,runs/b0_baseline_19route_smoke/ER_ACC_017/tripinfo.xml,runs/b0_baseline_19route_smoke/ER_ACC_017/summary.xml,runs/b0_baseline_19route_smoke/ER_ACC_017/edgeData.xml,runs/b0_baseline_19route_smoke/ER_ACC_017/sumo_stderr.log
