edge_id,speed_mps,speed_kmh,entered,left,sampled_seconds,is_spine_edge,is_emergency_route_edge
-1002205277,6.38,22.968,12.0,13.0,86.09,False,False
-1002205278,5.95,21.42,0.0,6.0,47.83,False,False
-1002205279,5.46,19.656,0.0,6.0,31.73,False,False
-1002205302,7.28,26.208,7.0,40.0,338.5,False,False
-1002205303#1,0.0,0.0,0.0,0.0,0.0,False,False
-1002205328,11.18,40.248,3.0,4.0,85.31,False,False
-1004718837,0.0,0.0,0.0,0.0,0.0,False,False
-1004836024,0.0,0.0,0.0,0.0,0.0,False,False
-1016508136#2,6.47,23.292,0.0,8.0,57.23,False,False
-1099004169,10.21,36.756,1.0,1.0,6.69,False,False
-1125773040,8.49,30.564,2.0,0.0,6.54,False,False
-1125773041,0.0,0.0,0.0,0.0,0.0,False,False
-1125773044,9.03,32.508,1.0,0.0,2.34,False,False
-1126339777#1,0.16,0.576,21.0,21.0,1687.92,False,False
-1126339784,5.47,19.692,0.0,1.0,6.95,False,False
-1149179293,0.0,0.0,0.0,0.0,0.0,False,False
-117770531#4,12.49,44.964,1.0,0.0,3.74,False,False
-117770531#5,6.12,22.032,1.0,8.0,46.94,False,False
-117770531#7,9.99,35.964,2.0,2.0,10.51,False,False
-117770543#0,0.0,0.0,0.0,0.0,0.0,False,False
-117770543#1,11.49,41.364,2.0,0.0,13.25,False,False
-117770543#2,8.12,29.232,2.0,1.0,24.32,False,False
-117770551#0,0.31,1.116,4.0,4.0,1026.15,False,False
-117770551#2,8.64,31.104,3.0,4.0,14.21,False,False
-117770551#3,7.87,28.332,1.0,1.0,1.32,False,False
-117770551#4,13.75,49.5,1.0,0.0,0.38,False,False
-117784411#0,2.56,9.216,0.0,2.0,86.09,False,False
-117784411#1,10.47,37.692,1.0,0.0,9.38,False,False
-117784411#2,0.0,0.0,0.0,0.0,0.0,False,False
-117784415,0.0,0.0,0.0,0.0,0.0,False,False
-117784417#0,11.08,39.888,6.0,1.0,19.77,False,False
-117784417#2,9.54,34.344,7.0,7.0,8.02,False,False
-117784417#3,10.5,37.8,8.0,8.0,7.72,False,False
-117784417#4,11.02,39.672,8.0,8.0,47.73,False,False
-117784418#0,0.0,0.0,0.0,0.0,0.0,False,False
-117784418#1,0.0,0.0,0.0,0.0,0.0,False,False
-117784418#2,0.0,0.0,0.0,0.0,0.0,False,False
-117784418#3,0.0,0.0,0.0,0.0,0.0,False,False
-117784418#4,8.3,29.88,1.0,1.0,5.39,False,False
-117784419#0,0.0,0.0,0.0,0.0,0.0,False,False
-117784419#1,11.75,42.3,2.0,1.0,19.51,False,False
-117784421#0,8.53,30.708,2.0,2.0,10.07,False,False
-117784421#1,9.22,33.192,5.0,6.0,20.47,False,False
-117784421#2,12.81,46.116,6.0,5.0,16.76,False,False
-117784421#3,10.46,37.656,7.0,8.0,26.99,False,False
-117784421#4,10.31,37.116,9.0,7.0,38.57,False,False
-117914343#0,0.07,0.252,38.0,38.0,9385.79,False,False
-117914343#1,0.07,0.252,30.0,30.0,2726.93,False,False
-117914343#2,0.13,0.468,12.0,10.0,3264.53,False,False
-117914344#0,0.05,0.18,55.0,55.0,32410.99,False,False
-117914344#1,0.05,0.18,50.0,54.0,50159.44,False,False
-117914344#2,0.06,0.216,35.0,40.0,29361.0,False,False
-117914345#0,0.2,0.72,10.0,12.0,2395.38,False,False
-117914345#1,13.03,46.908,7.0,7.0,72.61,False,False
-117914345#2,13.35,48.06,8.0,7.0,21.52,False,False
-117914345#3,11.33,40.788,19.0,18.0,100.51,False,False
-117914345#4,13.1,47.16,20.0,19.0,40.47,False,False
-117914348#0,8.14,29.304,14.0,36.0,310.25,False,False
-117914348#1,9.16,32.976,14.0,14.0,21.66,False,False
-117914348#3,8.84,31.824,2.0,2.0,8.81,False,False
-117914348#4,11.97,43.092,2.0,2.0,8.44,False,False
-117914351#0,8.02,28.872,13.0,14.0,47.23,False,False
-117914351#2,9.05,32.58,2.0,13.0,121.03,False,False
-117914352#0,9.79,35.244,1.0,1.0,3.58,False,False
-117914353#0,14.58,52.488,1.0,1.0,2.1,False,False
-117914353#1,12.75,45.9,1.0,1.0,1.71,False,False
-117914353#2,6.65,23.94,1.0,2.0,8.43,False,False
-117914354,0.09,0.324,22.0,28.0,31845.41,False,False
-117914840,0.0,0.0,0.0,0.0,0.0,False,False
-117914844,5.95,21.42,0.0,1.0,5.6,False,False
-117914847#0,9.93,35.748,2.0,2.0,13.3,False,False
-117914847#2,13.0,46.8,2.0,1.0,10.33,False,False
-117914848#1,0.0,0.0,0.0,0.0,0.0,False,False
-117914848#3,5.49,19.764,1.0,2.0,7.72,False,False
-117914848#4,12.88,46.368,5.0,1.0,7.08,False,False
-117914848#5,8.77,31.572,20.0,20.0,52.83,False,False
-117914848#6,11.68,42.048,22.0,21.0,21.76,False,False
-117914848#7,4.62,16.632,23.0,52.0,107.89,False,False
-1205679418#0,9.68,34.848,41.0,43.0,79.79,False,False
-1205679418#1,17.8,64.08,41.0,41.0,98.19,False,False
-1205679418#10,13.14,47.304,40.0,40.0,225.93,False,False
-1205679418#12,0.43,1.548,145.0,147.0,49831.14,False,False
-1205679418#14,1.21,4.356,32.0,34.0,1216.55,False,False
-1205679418#2,18.68,67.248,44.0,44.0,72.24,False,False
-1205679418#3,18.64,67.104,45.0,45.0,70.14,False,False
-1205679418#4,19.95,71.82,43.0,43.0,77.57,False,False
-1205679418#5,19.51,70.236,43.0,43.0,72.25,False,False
-1205679418#7,20.35,73.26,40.0,40.0,101.01,False,False
-1274416500,5.85,21.06,0.0,2.0,17.47,False,False
-1283636934#0,1.68,6.048,2.0,2.0,112.74,False,False
-1291318446,7.29,26.244,30.0,30.0,182.78,False,False
-1339655670#2,24.04,86.544,6.0,0.0,21.99,False,False
-1380482780,0.0,0.0,0.0,0.0,0.0,False,False
-1380857657#0,8.47,30.492,2.0,2.0,8.86,False,False
-1380857657#1,2.51,9.036,0.0,2.0,3.98,False,False
-1380857658,0.0,0.0,0.0,0.0,0.0,False,False
-1381133418,1.26,4.536,1.0,3.0,184.33,False,False
-1384048167,0.0,0.0,0.0,0.0,0.0,False,False
-1424068313#0,20.47,73.692,128.0,128.0,464.9,False,False
-1424068313#5,22.81,82.116,133.0,136.0,1081.17,False,False
-1424068314#4,0.0,0.0,0.0,0.0,0.0,True,False
-1455497346,16.35,58.86,18.0,16.0,116.51,False,False
-1455512067,11.76,42.336,23.0,27.0,42.39,False,False
-1455512069,0.2,0.72,691.0,649.0,39815.34,False,True
-1455512070,0.1,0.36,590.0,564.0,407750.56,True,True
-1455512074,0.06,0.216,66.0,66.0,17273.0,False,False
-1455518726,1.29,4.644,259.0,259.0,4102.98,False,False
