scenario_id,route_id,target_edge_id,exit_code,arrived,travel_time,failure_reason,run_dir,sumocfg,tripinfo
ACC_001,ER_ACC_001,-1099004169,0,True,123.00,,runs/b0_emergency_only_smoke/ACC_001,runs/b0_emergency_only_smoke/ACC_001/scenario.sumocfg,runs/b0_emergency_only_smoke/ACC_001/tripinfo.xml
ACC_002,ER_ACC_002,-176728951#4,0,True,619.00,,runs/b0_emergency_only_smoke/ACC_002,runs/b0_emergency_only_smoke/ACC_002/scenario.sumocfg,runs/b0_emergency_only_smoke/ACC_002/tripinfo.xml
ACC_003,ER_ACC_003,-198564930,0,True,238.00,,runs/b0_emergency_only_smoke/ACC_003,runs/b0_emergency_only_smoke/ACC_003/scenario.sumocfg,runs/b0_emergency_only_smoke/ACC_003/tripinfo.xml
ACC_004,ER_ACC_004,-198691090,0,True,225.00,,runs/b0_emergency_only_smoke/ACC_004,runs/b0_emergency_only_smoke/ACC_004/scenario.sumocfg,runs/b0_emergency_only_smoke/ACC_004/tripinfo.xml
ACC_005,ER_ACC_005,-228795481#0,0,True,177.00,,runs/b0_emergency_only_smoke/ACC_005,runs/b0_emergency_only_smoke/ACC_005/scenario.sumocfg,runs/b0_emergency_only_smoke/ACC_005/tripinfo.xml
ACC_006,ER_ACC_006,-228796091#1,0,True,179.00,,runs/b0_emergency_only_smoke/ACC_006,runs/b0_emergency_only_smoke/ACC_006/scenario.sumocfg,runs/b0_emergency_only_smoke/ACC_006/tripinfo.xml
ACC_007,ER_ACC_007,-272263606,0,True,190.00,,runs/b0_emergency_only_smoke/ACC_007,runs/b0_emergency_only_smoke/ACC_007/scenario.sumocfg,runs/b0_emergency_only_smoke/ACC_007/tripinfo.xml
ACC_008,ER_ACC_008,-37928420#2,0,True,118.00,,runs/b0_emergency_only_smoke/ACC_008,runs/b0_emergency_only_smoke/ACC_008/scenario.sumocfg,runs/b0_emergency_only_smoke/ACC_008/tripinfo.xml
ACC_009,ER_ACC_009,-420383159#1,0,True,236.00,,runs/b0_emergency_only_smoke/ACC_009,runs/b0_emergency_only_smoke/ACC_009/scenario.sumocfg,runs/b0_emergency_only_smoke/ACC_009/tripinfo.xml
ACC_010,ER_ACC_010,117784418#0,0,True,141.00,,runs/b0_emergency_only_smoke/ACC_010,runs/b0_emergency_only_smoke/ACC_010/scenario.sumocfg,runs/b0_emergency_only_smoke/ACC_010/tripinfo.xml
ACC_011,ER_ACC_011,1205679418#11,0,True,226.00,,runs/b0_emergency_only_smoke/ACC_011,runs/b0_emergency_only_smoke/ACC_011/scenario.sumocfg,runs/b0_emergency_only_smoke/ACC_011/tripinfo.xml
ACC_012,ER_ACC_012,170403814#0,0,True,216.00,,runs/b0_emergency_only_smoke/ACC_012,runs/b0_emergency_only_smoke/ACC_012/scenario.sumocfg,runs/b0_emergency_only_smoke/ACC_012/tripinfo.xml
ACC_013,ER_ACC_013,198564929#5,0,True,350.00,,runs/b0_emergency_only_smoke/ACC_013,runs/b0_emergency_only_smoke/ACC_013/scenario.sumocfg,runs/b0_emergency_only_smoke/ACC_013/tripinfo.xml
ACC_014,ER_ACC_014,198691079#0,0,True,343.00,,runs/b0_emergency_only_smoke/ACC_014,runs/b0_emergency_only_smoke/ACC_014/scenario.sumocfg,runs/b0_emergency_only_smoke/ACC_014/tripinfo.xml
ACC_015,ER_ACC_015,243542156#1,0,True,282.00,,runs/b0_emergency_only_smoke/ACC_015,runs/b0_emergency_only_smoke/ACC_015/scenario.sumocfg,runs/b0_emergency_only_smoke/ACC_015/tripinfo.xml
ACC_016,ER_ACC_016,273028084#6,0,True,283.00,,runs/b0_emergency_only_smoke/ACC_016,runs/b0_emergency_only_smoke/ACC_016/scenario.sumocfg,runs/b0_emergency_only_smoke/ACC_016/tripinfo.xml
ACC_017,ER_ACC_017,273640070#0,0,True,246.00,,runs/b0_emergency_only_smoke/ACC_017,runs/b0_emergency_only_smoke/ACC_017/scenario.sumocfg,runs/b0_emergency_only_smoke/ACC_017/tripinfo.xml
ACC_018,ER_ACC_018,301285277#0,0,True,236.00,,runs/b0_emergency_only_smoke/ACC_018,runs/b0_emergency_only_smoke/ACC_018/scenario.sumocfg,runs/b0_emergency_only_smoke/ACC_018/tripinfo.xml
ACC_019,ER_ACC_019,315658884#1,0,True,281.00,,runs/b0_emergency_only_smoke/ACC_019,runs/b0_emergency_only_smoke/ACC_019/scenario.sumocfg,runs/b0_emergency_only_smoke/ACC_019/tripinfo.xml
ACC_020,ER_ACC_020,381802879#1,0,True,52.00,,runs/b0_emergency_only_smoke/ACC_020,runs/b0_emergency_only_smoke/ACC_020/scenario.sumocfg,runs/b0_emergency_only_smoke/ACC_020/tripinfo.xml
