edge_id,actual_entered_count,actual_left_count,sampled_seconds
-1002205277,8.0,11.0,64.27
-1002205278,0.0,8.0,59.75
-1002205279,0.0,0.0,0.0
-1002205302,4.0,5.0,34.28
-1002205303#1,0.0,0.0,0.0
-1002205328,3.0,4.0,89.42
-1004718837,0.0,0.0,0.0
-1004836024,0.0,0.0,0.0
-1016508136#2,0.0,0.0,0.0
-1099004169,1.0,2.0,15.08
-1125773040,0.0,0.0,0.0
-1125773041,0.0,0.0,0.0
-1125773044,0.0,0.0,0.0
-1126339777#1,9.0,8.0,319.96
-1126339784,0.0,0.0,0.0
-1149179293,0.0,0.0,0.0
-117770531#4,0.0,0.0,0.0
-117770531#5,2.0,1.0,6.92
-117770531#7,3.0,3.0,14.74
-117770543#0,0.0,0.0,0.0
-117770543#1,0.0,0.0,0.0
-117770543#2,1.0,0.0,6.14
-117770551#0,16.0,16.0,517.04
-117770551#2,14.0,14.0,33.07
-117770551#3,14.0,14.0,10.92
-117770551#4,14.0,14.0,5.73
-117784411#0,9.0,8.0,9896.64
-117784411#1,0.0,0.0,0.0
-117784411#2,2.0,2.0,11.18
-117784415,0.0,2.0,22.95
-117784417#0,0.0,0.0,0.0
-117784417#2,12.0,28.0,49.51
-117784417#3,15.0,12.0,12.69
-117784417#4,15.0,15.0,84.12
-117784418#0,0.0,0.0,0.0
-117784418#1,0.0,0.0,0.0
-117784418#2,0.0,0.0,0.0
-117784418#3,1.0,9.0,52.33
-117784418#4,2.0,3.0,23.42
-117784419#0,2.0,2.0,20.81
-117784419#1,3.0,2.0,28.77
-117784421#0,1.0,1.0,4.86
-117784421#1,2.0,1.0,4.66
-117784421#2,2.0,2.0,5.26
-117784421#3,3.0,5.0,21.4
-117784421#4,3.0,3.0,13.17
-117914343#0,74.0,74.0,12265.49
-117914343#1,57.0,58.0,2841.17
-117914343#2,49.0,50.0,19024.52
-117914344#0,24.0,25.0,521.62
-117914344#1,8.0,8.0,34.9
-117914344#2,5.0,5.0,19.0
-117914345#0,6.0,10.0,1789.91
-117914345#1,4.0,4.0,44.35
-117914345#2,6.0,6.0,18.71
-117914345#3,16.0,18.0,92.75
-117914345#4,16.0,16.0,33.01
-117914348#0,3.0,2.0,18.79
-117914348#1,3.0,3.0,3.11
-117914348#3,3.0,3.0,12.11
-117914348#4,9.0,7.0,44.98
-117914351#0,0.0,0.0,0.0
-117914351#2,0.0,0.0,0.0
-117914352#0,2.0,2.0,8.25
-117914353#0,0.0,0.0,0.0
-117914353#1,0.0,0.0,0.0
-117914353#2,0.0,0.0,0.0
-117914354,36.0,20.0,5208.83
-117914840,1.0,0.0,5.14
-117914844,1.0,1.0,4.12
-117914847#0,2.0,2.0,14.39
-117914847#2,5.0,3.0,26.78
-117914848#1,0.0,0.0,0.0
-117914848#3,0.0,0.0,0.0
-117914848#4,2.0,0.0,3.33
-117914848#5,2.0,2.0,3.89
-117914848#6,2.0,2.0,2.08
-117914848#7,2.0,2.0,2.81
-1205679418#0,31.0,29.0,53.41
-1205679418#1,29.0,28.0,78.84
-1205679418#10,21.0,20.0,114.68
-1205679418#12,146.0,146.0,38351.51
-1205679418#14,31.0,33.0,747.19
-1205679418#2,21.0,21.0,38.33
-1205679418#3,23.0,21.0,43.15
-1205679418#4,39.0,39.0,127.14
-1205679418#5,19.0,39.0,130.87
-1205679418#7,20.0,20.0,54.88
-1274416500,0.0,0.0,0.0
-1283636934#0,0.0,0.0,0.0
-1291318446,40.0,41.0,258.84
-1339655670#2,6.0,0.0,20.59
-1380482780,0.0,0.0,0.0
-1380857657#0,2.0,1.0,8.22
-1380857657#1,1.0,2.0,2.9
-1380857658,0.0,0.0,0.0
-1381133418,0.0,0.0,0.0
-1384048167,6.0,2.0,10.33
-1424068313#0,133.0,134.0,437.82
-1424068313#5,125.0,140.0,1143.29
-1424068314#4,0.0,0.0,0.0
-1455497346,203.0,203.0,9327.53
-1455512067,22.0,22.0,25.99
-1455512069,614.0,595.0,10308.84
-1455512070,506.0,493.0,117573.03
-1455512074,39.0,39.0,104.1
-1455518726,171.0,171.0,2183.76
-1455518727#0,61.0,60.0,4992.18
-1455518727#2,58.0,58.0,292.97
-1455518728,95.0,95.0,230.41
-1455518729#0,168.0,168.0,7331.33
-1455518729#1,165.0,165.0,2885.5
-1455518729#2,183.0,183.0,921.85
-1455518729#4,159.0,181.0,979.88
-1455518729#5,157.0,158.0,204.87
-1455518729#6,158.0,158.0,248.56
-1455518729#7,158.0,158.0,208.41
-1455524945,40.0,40.0,22.31
-1455524946,42.0,40.0,68.27
-1455524947#0,17.0,18.0,118.99
-1455524947#1,17.0,17.0,149.55
-1455524947#2,28.0,17.0,75.72
-1455526421,14.0,29.0,84.17
-1455526422,11.0,11.0,14.83
-1455526423,29.0,29.0,161.92
-1455526425#1,13.0,11.0,54.07
-1455527229,0.0,6.0,25.18
-1456115794,1.0,0.0,6.84
-1456115802,0.0,0.0,0.0
-1456115806#0,13.0,13.0,77.85
-1456115806#2,13.0,13.0,25.31
-1499619438#0,310.0,310.0,163.51
-1506939325#7,1.0,0.0,2.76
-1506939325#9,12.0,14.0,27.12
-156570776,6.0,6.0,15.78
-170207585#0,5.0,4.0,36.59
-170207585#1,3.0,3.0,17.37
-170207585#2,4.0,4.0,19.87
-170207591#0,0.0,0.0,0.0
-170207591#1,11.0,8.0,58.59
-170403779,4.0,1.0,15.81
-170403787#0,3.0,4.0,11.65
-170403787#1,6.0,5.0,22.2
-170403791#3,0.0,0.0,0.0
-170403792,0.0,0.0,0.0
-170403804#3,0.0,3.0,45.97
-170403805,1.0,0.0,7.24
-170403810#3,0.0,0.0,0.0
-170403818#1,1.0,1.0,5.61
-170403818#2,0.0,0.0,0.0
-170403818#5,0.0,0.0,0.0
-170403831#4,0.0,0.0,0.0
-174870621#0,97.0,97.0,3577.52
-174870621#10,34.0,34.0,76.24
-174870621#2,98.0,97.0,526.31
-174870621#5,39.0,39.0,91.41
-174870621#7,39.0,39.0,80.97
-174870621#8,37.0,37.0,107.34
-176728949#1,0.0,4.0,88.09
-176728950#0,0.0,0.0,0.0
-176728950#2,0.0,1.0,6.51
-176728951#0,98.0,102.0,743.28
-176728951#1,86.0,96.0,276.7
-176728951#4,38.0,44.0,505.53
-176728952#0,14.0,20.0,476.04
-176728952#3,3.0,8.0,49.71
-176728952#6,2.0,4.0,57.72
-176728955#1,1.0,2.0,371.29
-176728955#2,32.0,33.0,12187.78
-176728955#4,23.0,26.0,217.5
-176728955#6,17.0,19.0,53.89
-176728955#7,13.0,17.0,84.97
-176728955#8,11.0,15.0,61.97
-180368918#0,87.0,87.0,209.45
-180368918#3,185.0,185.0,359.27
-180368918#5,196.0,190.0,1559.56
-180368918#6,199.0,196.0,258.36
-180368918#7,203.0,203.0,521.82
-180368918#8,204.0,203.0,308.37
-183272309#0,82.0,82.0,10576.57
-183272309#11,4.0,4.0,3.76
-183272309#13,4.0,4.0,26.1
-183272309#2,95.0,79.0,6714.79
-183272309#3,88.0,88.0,1001.41
-183272309#4,78.0,78.0,2523.57
-183272309#6,76.0,76.0,2583.12
-183272309#7,70.0,72.0,2185.42
-183272309#8,15.0,15.0,31.16
-183272309#9,6.0,6.0,13.02
-183272580#1,0.0,0.0,0.0
-183272613#2,1.0,1.0,18.13
-183272625#1,58.0,59.0,394.7
-183272625#3,29.0,40.0,1444.56
-198564928#10,260.0,260.0,736.88
-198564928#11,261.0,260.0,616.16
-198564928#12,257.0,256.0,284.96
-198564928#13,257.0,257.0,132.65
-198564928#14,220.0,220.0,486.68
-198564928#15,219.0,219.0,59.58
-198564928#16,188.0,218.0,452.32
-198564928#17,188.0,188.0,87.35
-198564928#18,188.0,188.0,233.13
-198564928#20,186.0,186.0,597.84
-198564928#21,187.0,187.0,594.29
-198564928#22,187.0,187.0,246.66
-198564928#23,168.0,169.0,1473.21
-198564928#24,168.0,168.0,3369.7
-198564928#25,169.0,169.0,79.26
-198564928#26,183.0,183.0,11196.84
-198564928#27,182.0,182.0,6667.08
-198564928#28,166.0,166.0,2090.8
-198564928#4,43.0,43.0,249.91
-198564928#5,124.0,124.0,496.08
-198564928#6,124.0,124.0,312.22
-198564928#7,126.0,126.0,361.44
-198564928#8,122.0,122.0,193.98
-198564930,83.0,83.0,966.89
-198564935#3,216.0,204.0,2257.82
-198691053#2,2.0,1.0,12.31
-198691055#0,8.0,6.0,6.95
-198691055#1,7.0,7.0,9.64
