edge_id,actual_entered_count,actual_left_count,actual_screenline_count,sampled_seconds
-1002205277,12.0,13.0,13.0,86.45
-1002205278,0.0,6.0,6.0,48.64
-1002205279,0.0,6.0,6.0,31.97
-1002205302,7.0,40.0,40.0,338.73
-1002205303#1,0.0,0.0,0.0,0.0
-1002205328,3.0,4.0,4.0,88.59
-1004718837,0.0,0.0,0.0,0.0
-1004836024,0.0,0.0,0.0,0.0
-1016508136#2,0.0,8.0,8.0,60.03
-1099004169,1.0,1.0,1.0,6.6
-1125773040,2.0,0.0,2.0,6.35
-1125773041,0.0,0.0,0.0,0.0
-1125773044,1.0,0.0,1.0,2.29
-1126339777#1,21.0,21.0,21.0,1137.07
-1126339784,0.0,1.0,1.0,7.24
-1149179293,0.0,0.0,0.0,0.0
-117770531#4,1.0,0.0,1.0,3.8
-117770531#5,1.0,8.0,8.0,47.76
-117770531#7,2.0,2.0,2.0,10.48
-117770543#0,0.0,0.0,0.0,0.0
-117770543#1,2.0,0.0,2.0,13.02
-117770543#2,2.0,1.0,2.0,25.44
-117770551#0,4.0,4.0,4.0,456.75
-117770551#2,3.0,4.0,4.0,14.61
-117770551#3,1.0,1.0,1.0,1.27
-117770551#4,1.0,0.0,1.0,0.37
-117784411#0,0.0,2.0,2.0,85.73
-117784411#1,1.0,0.0,1.0,9.51
-117784411#2,0.0,0.0,0.0,0.0
-117784415,0.0,0.0,0.0,0.0
-117784417#0,6.0,1.0,6.0,19.93
-117784417#2,7.0,7.0,7.0,7.54
-117784417#3,8.0,8.0,8.0,7.83
-117784417#4,8.0,8.0,8.0,46.66
-117784418#0,0.0,0.0,0.0,0.0
-117784418#1,0.0,0.0,0.0,0.0
-117784418#2,0.0,0.0,0.0,0.0
-117784418#3,0.0,0.0,0.0,0.0
-117784418#4,1.0,1.0,1.0,5.46
-117784419#0,0.0,0.0,0.0,0.0
-117784419#1,2.0,1.0,2.0,19.49
-117784421#0,2.0,2.0,2.0,9.83
-117784421#1,5.0,6.0,6.0,21.03
-117784421#2,6.0,5.0,6.0,16.94
-117784421#3,7.0,8.0,8.0,26.33
-117784421#4,9.0,7.0,9.0,37.62
-117914343#0,38.0,38.0,38.0,10520.3
-117914343#1,30.0,30.0,30.0,1775.04
-117914343#2,12.0,10.0,12.0,2528.43
-117914344#0,55.0,55.0,55.0,9762.52
-117914344#1,50.0,54.0,54.0,10597.73
-117914344#2,35.0,40.0,40.0,4375.57
-117914345#0,10.0,12.0,12.0,946.77
-117914345#1,7.0,7.0,7.0,72.72
-117914345#2,8.0,7.0,8.0,22.46
-117914345#3,19.0,18.0,19.0,102.09
-117914345#4,20.0,19.0,20.0,40.58
-117914348#0,14.0,36.0,36.0,1572.98
-117914348#1,14.0,14.0,14.0,21.45
-117914348#3,2.0,2.0,2.0,8.59
-117914348#4,2.0,2.0,2.0,8.67
-117914351#0,13.0,14.0,14.0,46.94
-117914351#2,2.0,13.0,13.0,119.98
-117914352#0,1.0,1.0,1.0,3.54
-117914353#0,1.0,1.0,1.0,2.1
-117914353#1,1.0,1.0,1.0,1.7
-117914353#2,1.0,2.0,2.0,7.97
-117914354,22.0,28.0,28.0,11884.41
-117914840,0.0,0.0,0.0,0.0
-117914844,0.0,1.0,1.0,5.59
-117914847#0,2.0,2.0,2.0,13.04
-117914847#2,2.0,1.0,2.0,10.24
-117914848#1,0.0,0.0,0.0,0.0
-117914848#3,1.0,2.0,2.0,6.78
-117914848#4,5.0,1.0,5.0,7.35
