edge_id,length_m,lane_count,speed_mps,priority,planned_count,actual_entered_count,actual_left_count,sampled_seconds
-1002205277,37.66,1,13.89,3,11,8.0,11.0,64.27
-1002205278,47.56,1,13.89,3,8,0.0,8.0,59.75
-1002205279,28.99,1,13.89,3,0,0.0,0.0,0.0
-1002205302,60.79,1,13.89,3,5,4.0,5.0,34.28
-1002205303#1,75.26,1,13.89,3,0,0.0,0.0,0.0
-1002205328,234.64,1,13.89,3,4,3.0,4.0,89.42
-1004718837,19.49,1,2.78,2,0,0.0,0.0,0.0
-1004836024,133.73,1,13.89,3,0,0.0,0.0,0.0
-1016508136#2,46.39,1,13.89,3,0,0.0,0.0,0.0
-1099004169,63.33,1,13.89,3,2,1.0,2.0,15.08
-1125773040,24.07,1,13.89,3,0,0.0,0.0,0.0
-1125773041,45.54,1,13.89,3,0,0.0,0.0,0.0
-1125773044,17.56,1,13.89,3,0,0.0,0.0,0.0
-1126339777#1,8.44,1,13.89,3,9,9.0,8.0,319.96
-1126339784,38.11,1,13.89,3,0,0.0,0.0,0.0
-1149179293,104.05,1,13.89,3,0,0.0,0.0,0.0
-117770531#4,41.67,1,13.89,3,0,0.0,0.0,0.0
-117770531#5,35.39,1,13.89,3,2,2.0,1.0,6.92
-117770531#7,47.49,1,13.89,3,3,3.0,3.0,14.74
-117770543#0,90.8,1,13.89,3,0,0.0,0.0,0.0
-117770543#1,72.91,1,13.89,3,0,0.0,0.0,0.0
-117770543#2,62.5,1,13.89,3,1,1.0,0.0,6.14
-117770551#0,74.45,1,13.89,3,16,16.0,16.0,517.04
-117770551#2,26.98,1,13.89,3,14,14.0,14.0,33.07
-117770551#3,5.38,1,13.89,3,14,14.0,14.0,10.92
-117770551#4,0.2,1,13.89,3,14,14.0,14.0,5.73
-117784411#0,110.24,1,13.89,3,9,9.0,8.0,9896.64
-117784411#1,93.21,1,13.89,3,0,0.0,0.0,0.0
-117784411#2,49.31,1,13.89,3,2,2.0,2.0,11.18
-117784415,91.12,1,13.89,3,2,0.0,2.0,22.95
-117784417#0,33.69,1,13.89,3,0,0.0,0.0,0.0
-117784417#2,5.94,1,13.89,3,29,12.0,28.0,49.51
-117784417#3,5.13,1,13.89,3,15,15.0,12.0,12.69
-117784417#4,60.76,1,13.89,3,15,15.0,15.0,84.12
-117784418#0,35.0,1,13.89,3,0,0.0,0.0,0.0
-117784418#1,33.2,1,13.89,3,0,0.0,0.0,0.0
-117784418#2,30.3,1,13.89,3,0,0.0,0.0,0.0
-117784418#3,30.67,1,13.89,3,9,1.0,9.0,52.33
-117784418#4,39.75,1,13.89,3,4,2.0,3.0,23.42
-117784419#0,94.03,1,13.89,3,2,2.0,2.0,20.81
-117784419#1,109.59,1,13.89,3,3,3.0,2.0,28.77
-117784421#0,37.98,1,13.89,3,1,1.0,1.0,4.86
-117784421#1,27.3,1,13.89,3,2,2.0,1.0,4.66
-117784421#2,31.14,1,13.89,3,2,2.0,2.0,5.26
-117784421#3,30.91,1,13.89,3,5,3.0,5.0,21.4
-117784421#4,39.25,1,13.89,3,3,3.0,3.0,13.17
-117914343#0,11.49,1,13.89,3,74,74.0,74.0,12265.49
-117914343#1,2.09,1,13.89,3,58,57.0,58.0,2841.17
-117914343#2,30.34,1,13.89,3,50,49.0,50.0,19024.52
