detector_id,road_axis_id,screenline_edge_id,target_count,planned_count,actual_entered_count,planned_error_abs,planned_error_pct,actual_error_abs,actual_error_pct,route_sampler_measured_count,route_sampler_deficit,route_sampler_geh
A-10,동호로,-520307305#2,286.916667,286,276.0,0.916667,-0.319489,10.916667,-3.804821,286.0,0.0,0.0
A-10,동호로,520307305#0,286.916667,286,273.0,0.916667,-0.319489,13.916667,-4.850421,286.0,0.0,0.0
A-11,장충단로,-244384770#15,228.958333,228,228.0,0.958333,-0.418562,0.958333,-0.418562,228.0,0.0,0.0
A-11,장충단로,244384770#12,228.958333,228,112.0,0.958333,-0.418562,116.958333,-51.082802,228.0,0.0,0.0
A-12,퇴계로,619147739#3,160.175,160,158.0,0.175,-0.109256,2.175,-1.35789,160.0,0.0,0.0
A-12,퇴계로,781983104#1,160.175,160,160.0,0.175,-0.109256,0.175,-0.109256,160.0,0.0,0.0
A-13,세종대로,218926711#4,280.913889,280,269.0,0.913889,-0.325327,11.913889,-4.241118,280.0,0.0,0.0
A-13,세종대로,619147736,280.913889,280,277.0,0.913889,-0.325327,3.913889,-1.39327,280.0,0.0,0.0
A-14,새문안로,37400087#3,221.708333,221,221.0,0.708333,-0.319489,0.708333,-0.319489,221.0,0.0,0.0
A-14,새문안로,-198564935#3,221.708333,221,216.0,0.708333,-0.319489,5.708333,-2.574704,221.0,0.0,0.0
A-15,종로,344663909#1,190.483333,190,0.0,0.483333,-0.25374,190.483333,-100.0,190.0,0.0,0.0
A-15,종로,-344663909#1,190.483333,190,190.0,0.483333,-0.25374,0.483333,-0.25374,190.0,0.0,0.0
A-16,서소문로,480233462#0,131.080556,131,122.0,0.080556,-0.061455,9.080556,-6.927462,131.0,0.0,0.0
A-16,서소문로,-480233462#1,131.080556,131,131.0,0.080556,-0.061455,0.080556,-0.061455,131.0,0.0,0.0
A-18,을지로,184083187#3,149.316667,149,149.0,0.316667,-0.212077,0.316667,-0.212077,149.0,0.0,0.0
A-18,을지로,782892488#2,149.316667,149,145.0,0.316667,-0.212077,4.316667,-2.890948,149.0,0.0,0.0
A-21,남산2호터널,769116601#0,114.977778,114,114.0,0.977778,-0.850406,0.977778,-0.850406,114.0,0.0,0.0
A-21,남산2호터널,135131180#0,114.977778,114,46.0,0.977778,-0.850406,68.977778,-59.992269,114.0,0.0,0.0
A-23,소월로,78628775#5,64.644444,64,61.0,0.644444,-0.996905,3.644444,-5.637676,64.0,0.0,0.0
A-23,소월로,777881144#1,64.644444,64,48.0,0.644444,-0.996905,16.644444,-25.747679,64.0,0.0,0.0
A-24,소파로,775222468#9,46.472222,46,40.0,0.472222,-1.016138,6.472222,-13.927077,46.0,0.0,0.0
A-24,소파로,-775222468#16,46.472222,46,45.0,0.472222,-1.016138,1.472222,-3.167961,46.0,0.0,0.0
