detector_id,road_axis_id,screenline_edge_id,target_count,planned_count,actual_entered_count,actual_left_count,actual_screenline_count,planned_error_abs,planned_error_pct,actual_error_abs,actual_error_pct,route_sampler_measured_count,route_sampler_deficit,route_sampler_geh,imputed,count_source,imputation_method
A-10,동호로,-520307305#2,286.916667,286,278.0,271.0,278.0,0.916667,-0.319489,8.916667,-3.107755,286.0,0.0,0.0,False,A-10,
A-10,동호로,520307305#0,286.916667,286,270.0,265.0,270.0,0.916667,-0.319489,16.916667,-5.896021,286.0,0.0,0.0,False,A-10,
A-11,장충단로,-244384770#15,228.958333,228,228.0,179.0,228.0,0.958333,-0.418562,0.958333,-0.418562,228.0,0.0,0.0,False,A-11,
A-11,장충단로,244384770#12,228.958333,228,97.0,224.0,224.0,0.958333,-0.418562,4.958333,-2.165605,228.0,0.0,0.0,False,A-11,
A-12,퇴계로,619147739#3,160.175,160,158.0,159.0,159.0,0.175,-0.109256,1.175,-0.733573,160.0,0.0,0.0,False,A-12,
A-12,퇴계로,781983104#1,160.175,160,155.0,155.0,155.0,0.175,-0.109256,5.175,-3.230841,160.0,0.0,0.0,False,A-12,
A-13,세종대로,218926711#4,280.913889,280,278.0,231.0,278.0,0.913889,-0.325327,2.913889,-1.037289,280.0,0.0,0.0,False,A-13,
A-13,세종대로,619147736,280.913889,280,278.0,263.0,278.0,0.913889,-0.325327,2.913889,-1.037289,280.0,0.0,0.0,False,A-13,
A-14,새문안로,37400087#3,221.708333,221,221.0,0.0,221.0,0.708333,-0.319489,0.708333,-0.319489,221.0,0.0,0.0,False,A-14,
A-14,새문안로,-198564935#3,221.708333,221,211.0,212.0,212.0,0.708333,-0.319489,9.708333,-4.378876,221.0,0.0,0.0,False,A-14,
A-15,종로,344663909#1,190.483333,190,0.0,190.0,190.0,0.483333,-0.25374,0.483333,-0.25374,190.0,0.0,0.0,False,A-15,
A-15,종로,-344663909#1,190.483333,190,190.0,0.0,190.0,0.483333,-0.25374,0.483333,-0.25374,190.0,0.0,0.0,False,A-15,
A-16,서소문로,480233462#0,131.080556,131,125.0,125.0,125.0,0.080556,-0.061455,6.080556,-4.638793,131.0,0.0,0.0,False,A-16,
A-16,서소문로,-480233462#1,131.080556,131,131.0,50.0,131.0,0.080556,-0.061455,0.080556,-0.061455,131.0,0.0,0.0,False,A-16,
A-17,세종대로,378453707#0,280.913889,280,280.0,0.0,280.0,0.913889,-0.325327,0.913889,-0.325327,280.0,0.0,0.0,True,A-13,same_road_axis_donor_a13
A-17,세종대로,1084408283#2,280.913889,280,0.0,280.0,280.0,0.913889,-0.325327,0.913889,-0.325327,280.0,0.0,0.0,True,A-13,same_road_axis_donor_a13
A-18,을지로,184083187#3,149.316667,149,148.0,147.0,148.0,0.316667,-0.212077,1.316667,-0.881795,149.0,0.0,0.0,False,A-18,
A-18,을지로,782892488#2,149.316667,149,149.0,149.0,149.0,0.316667,-0.212077,0.316667,-0.212077,149.0,0.0,0.0,False,A-18,
A-19,칠패로,516948900#3,145.627778,145,142.0,142.0,142.0,0.627778,-0.431084,3.627778,-2.491131,145.0,0.0,0.0,True,"A-13,A-16,A-12,A-23",nearby_valid_detector_median_500m
A-19,칠패로,-516948900#3,145.627778,145,143.0,129.0,143.0,0.627778,-0.431084,2.627778,-1.804448,145.0,0.0,0.0,True,"A-13,A-16,A-12,A-23",nearby_valid_detector_median_500m
A-21,남산2호터널,769116601#0,114.977778,114,114.0,71.0,114.0,0.977778,-0.850406,0.977778,-0.850406,114.0,0.0,0.0,False,A-21,
A-21,남산2호터널,135131180#0,114.977778,114,49.0,114.0,114.0,0.977778,-0.850406,0.977778,-0.850406,114.0,0.0,0.0,False,A-21,
A-23,소월로,78628775#5,64.644444,64,59.0,63.0,63.0,0.644444,-0.996905,1.644444,-2.543829,64.0,0.0,0.0,False,A-23,
A-23,소월로,777881144#1,64.644444,64,52.0,58.0,58.0,0.644444,-0.996905,6.644444,-10.278446,64.0,0.0,0.0,False,A-23,
A-24,소파로,775222468#9,46.472222,46,37.0,38.0,38.0,0.472222,-1.016138,8.472222,-18.230723,46.0,0.0,0.0,False,A-24,
A-24,소파로,-775222468#16,46.472222,46,42.0,41.0,42.0,0.472222,-1.016138,4.472222,-9.623431,46.0,0.0,0.0,False,A-24,
