edge_id,length_m,lane_count,speed_mps,priority,spine_score,planned_count,actual_entered_count,actual_left_count
781985786#3,100.9,3.0,27.78,12.0,0.977608,519,519.0,516.0
1499619449#0,220.58,3.0,27.78,11.0,0.97134,255,255.0,254.0
333972428#3,127.2,3.0,27.78,11.0,0.968439,266,263.0,159.0
383097712#1,176.57,3.0,27.78,11.0,0.964227,255,255.0,254.0
781985786#2,83.45,3.0,27.78,12.0,0.962602,499,499.0,495.0
781985786#8,47.39,3.0,27.78,12.0,0.935485,526,526.0,454.0
781985786#6,44.32,3.0,27.78,12.0,0.932543,519,519.0,512.0
333972428#2,72.57,3.0,27.78,11.0,0.930104,252,252.0,244.0
-218684411#1,44.41,3.0,27.78,12.0,0.929882,23,23.0,23.0
1499619449#2,66.48,3.0,27.78,11.0,0.925695,251,251.0,250.0
781985786#7,34.12,3.0,27.78,12.0,0.924535,523,523.0,517.0
781985786#4,33.24,3.0,27.78,12.0,0.922253,519,519.0,516.0
1499619447#1,66.66,4.0,27.78,11.0,0.920381,262,262.0,262.0
-218684411#4,31.25,3.0,27.78,12.0,0.919001,0,0.0,0.0
781985786#5,28.2,3.0,27.78,12.0,0.918516,514,513.0,504.0
1467498054,41.55,4.0,27.78,12.0,0.914029,199,199.0,199.0
1499619447#0,42.96,4.0,27.78,11.0,0.905435,250,250.0,250.0
-218684411#2,12.31,3.0,27.78,12.0,0.903114,8,4.0,8.0
333972428#1,36.3,3.0,27.78,11.0,0.899306,245,245.0,244.0
785130600#2,139.73,2.0,27.78,12.0,0.873068,607,607.0,586.0
781985784,276.83,2.0,27.78,12.0,0.870505,499,499.0,463.0
420361196,288.07,2.0,27.78,12.0,0.869996,637,637.0,628.0
347237859#4,134.34,2.0,27.78,12.0,0.86706,751,751.0,746.0
781985779#0,160.91,2.0,27.78,12.0,0.863449,560,560.0,537.0
413953596#2,108.96,3.0,27.78,12.0,0.854058,178,178.0,178.0
218915135#3,109.38,2.0,27.78,12.0,0.849051,178,177.0,178.0
921117704#0,94.47,2.0,27.78,12.0,0.846089,192,192.0,190.0
781983104#0,90.45,2.0,27.78,12.0,0.841634,161,159.0,161.0
1455497345,84.46,2.0,27.78,12.0,0.841485,752,751.0,734.0
413953596#3,16.89,3.0,27.78,12.0,0.840695,118,118.0,117.0
198566324#0,12.8,8.0,27.78,12.0,0.83652,22,13.0,21.0
218773869#6,82.37,2.0,27.78,12.0,0.834015,737,735.0,698.0
1455512070,74.52,2.0,27.78,12.0,0.831924,24,24.0,24.0
-1455512070,74.52,2.0,27.78,12.0,0.830862,508,506.0,493.0
347237859#3,74.18,2.0,27.78,12.0,0.830262,746,746.0,739.0
183272387#0,121.78,2.0,27.78,12.0,0.82881,3,3.0,1.0
619147739#3,110.76,2.0,27.78,12.0,0.827887,160,158.0,158.0
135131181,374.36,3.0,27.78,12.0,0.827485,117,117.0,114.0
781983104#1,281.48,2.0,27.78,12.0,0.827109,160,160.0,157.0
800229256#2,101.69,3.0,16.67,12.0,0.826776,39,39.0,39.0
174870621#1,70.41,2.0,27.78,12.0,0.825562,58,58.0,57.0
773066532#5,236.73,8.0,27.78,12.0,0.825445,0,0.0,0.0
-174870621#2,70.41,2.0,27.78,12.0,0.824493,98,98.0,97.0
-218923171#4,71.74,4.0,27.78,12.0,0.822514,63,63.0,63.0
218923171#4,71.74,4.0,27.78,12.0,0.821623,61,61.0,60.0
174870621#0,69.9,2.0,27.78,12.0,0.821445,62,62.0,62.0
619147738#0,103.88,2.0,27.78,12.0,0.820904,82,75.0,79.0
-174870621#0,69.9,2.0,27.78,12.0,0.820389,98,97.0,97.0
347237859#0,61.75,2.0,27.78,12.0,0.819626,780,780.0,766.0
-218773868#4,60.72,2.0,27.78,12.0,0.818399,24,24.0,24.0
585341904#0,28.39,5.0,27.78,12.0,0.818362,189,184.0,172.0
781985793#0,63.5,2.0,27.78,12.0,0.81761,794,794.0,766.0
785130600#3,54.1,2.0,27.78,12.0,0.817563,608,608.0,599.0
218773868#4,60.65,2.0,27.78,12.0,0.817276,496,496.0,491.0
219696193#1,65.21,2.0,27.78,12.0,0.817263,794,794.0,731.0
781985787#0,60.01,2.0,27.78,12.0,0.81553,757,757.0,744.0
383097723,114.78,3.0,27.78,12.0,0.815199,71,71.0,57.0
174870621#8,55.35,2.0,27.78,12.0,0.814652,28,28.0,28.0
-174870621#8,55.35,2.0,27.78,12.0,0.813583,37,37.0,37.0
516948898#3,94.42,3.0,27.78,12.0,0.812679,24,16.0,24.0
174870621#4,53.34,2.0,27.78,12.0,0.812266,33,33.0,33.0
-174870621#5,53.34,2.0,27.78,12.0,0.811195,39,39.0,39.0
218915133#2,47.58,2.0,27.78,12.0,0.809884,145,145.0,145.0
-218773868#5,48.88,2.0,27.78,12.0,0.809576,24,24.0,24.0
619147735#0,72.69,3.0,27.78,12.0,0.8094,96,93.0,96.0
218915133#0,45.9,2.0,27.78,12.0,0.808525,152,147.0,149.0
218773868#5,48.88,2.0,27.78,12.0,0.808509,507,507.0,483.0
183272654,43.72,4.0,27.78,12.0,0.80788,21,21.0,17.0
218773869#7,52.82,2.0,27.78,12.0,0.806882,766,766.0,715.0
218684411#0,44.82,2.0,27.78,12.0,0.80656,11,11.0,10.0
-218773868#2,49.02,2.0,27.78,12.0,0.806314,25,25.0,24.0
-180368918#0,48.45,2.0,27.78,12.0,0.805895,87,87.0,87.0
-180368918#7,47.64,2.0,27.78,12.0,0.805893,203,203.0,203.0
218773868#2,49.02,2.0,27.78,12.0,0.805249,477,475.0,465.0
174870621#6,44.29,2.0,27.78,12.0,0.804913,33,33.0,33.0
180368918#7,47.64,2.0,27.78,12.0,0.804824,249,246.0,249.0
-174870621#7,44.37,2.0,27.78,12.0,0.803913,39,39.0,39.0
180368918#0,46.75,2.0,27.78,12.0,0.803408,202,202.0,202.0
785130600#0,39.71,2.0,27.78,12.0,0.803318,612,612.0,591.0
781983103#2,44.35,2.0,27.78,12.0,0.802849,191,191.0,190.0
428260110,37.19,2.0,27.78,12.0,0.802357,612,612.0,600.0
180368915#3,40.88,2.0,27.78,12.0,0.802315,153,153.0,152.0
218915135#4,39.79,2.0,27.78,12.0,0.801951,179,178.0,179.0
218773869#4,39.44,2.0,27.78,12.0,0.800243,725,725.0,696.0
219696193#2,40.55,2.0,27.78,12.0,0.800026,794,794.0,751.0
619147739#0,86.55,2.0,27.78,12.0,0.799644,179,178.0,178.0
333557072#5,79.37,2.0,27.78,12.0,0.799096,76,75.0,75.0
218923178#7,53.87,3.0,16.67,12.0,0.79862,2,0.0,2.0
218923178#4,63.86,3.0,16.67,12.0,0.797599,2,1.0,2.0
585341901#2,103.65,2.0,27.78,12.0,0.796814,268,266.0,251.0
218773869#1,31.3,2.0,27.78,12.0,0.795361,751,751.0,698.0
218773869#5,32.99,2.0,27.78,12.0,0.794993,730,730.0,706.0
218684411#4,30.8,2.0,27.78,12.0,0.794959,0,0.0,0.0
-218923171#3,27.49,4.0,27.78,12.0,0.794481,62,62.0,62.0
781983103#1,56.65,2.0,27.78,12.0,0.794323,191,191.0,191.0
180368915#2,42.36,2.0,27.78,12.0,0.794235,153,152.0,152.0
218923171#2,28.28,4.0,27.78,12.0,0.793967,60,60.0,60.0
174870621#9,29.66,2.0,27.78,12.0,0.793525,27,27.0,27.0
37403503#0,29.34,4.0,27.78,12.0,0.793432,31,31.0,31.0
1465558143,89.68,5.0,27.78,12.0,0.793289,14,14.0,12.0
773066536#1,67.01,3.0,16.67,12.0,0.793123,5,5.0,5.0
-174870621#10,29.7,2.0,27.78,12.0,0.792489,34,34.0,34.0
333557072#3,63.06,2.0,27.78,12.0,0.789321,165,165.0,161.0
1455524949#4,59.66,3.0,16.67,12.0,0.789161,5,5.0,5.0
218773869#3,24.42,2.0,27.78,12.0,0.788998,730,730.0,699.0
785130600#1,18.14,2.0,27.78,12.0,0.788325,611,611.0,596.0
781985792#3,33.78,2.0,27.78,12.0,0.787913,559,559.0,488.0
619147729#2,26.59,3.0,27.78,12.0,0.787364,85,80.0,83.0
-180368918#3,24.71,2.0,27.78,12.0,0.786478,185,185.0,185.0
619147729#0,14.52,3.0,27.78,12.0,0.78629,77,71.0,77.0
347237859#1,20.56,2.0,27.78,12.0,0.786178,761,759.0,756.0
619147739#5,77.11,2.0,27.78,12.0,0.786168,190,190.0,190.0
-218773868#3,23.46,2.0,27.78,12.0,0.786159,24,24.0,24.0
180368918#3,24.71,2.0,27.78,12.0,0.785408,210,210.0,210.0
218773868#3,23.46,2.0,27.78,12.0,0.785095,478,478.0,463.0
218773869#8,26.25,2.0,27.78,12.0,0.784269,766,766.0,710.0
1455512066,19.84,2.0,27.78,12.0,0.784075,31,31.0,29.0
-180368918#6,20.62,2.0,27.78,12.0,0.783201,199,199.0,196.0
218923178#2,57.4,3.0,16.67,12.0,0.783175,1,1.0,1.0
347237859#2,16.88,2.0,27.78,12.0,0.782837,758,758.0,747.0
-180368918#5,19.65,2.0,27.78,12.0,0.782238,196,196.0,190.0
180368918#6,20.62,2.0,27.78,12.0,0.782132,246,246.0,246.0
180368918#5,19.65,2.0,27.78,12.0,0.781169,246,246.0,246.0
615671505#0,198.31,4.0,27.78,12.0,0.781115,3,3.0,0.0
-180368918#8,17.45,2.0,27.78,12.0,0.780832,204,204.0,203.0
619147739#6,87.19,2.0,27.78,12.0,0.780502,193,193.0,192.0
-218773868#0,16.64,2.0,27.78,12.0,0.779974,557,557.0,557.0
180368918#8,17.1,2.0,27.78,12.0,0.779471,195,195.0,195.0
218684411#2,12.19,2.0,27.78,12.0,0.779353,4,4.0,4.0
-218773868#6,12.08,2.0,27.78,12.0,0.779252,22,22.0,21.0
-578313748#0,16.99,2.0,27.78,12.0,0.779174,65,65.0,65.0
218773868#0,16.64,2.0,27.78,12.0,0.778905,475,475.0,456.0
218773868#6,12.08,2.0,27.78,12.0,0.778195,506,506.0,483.0
578313748#0,16.99,2.0,27.78,12.0,0.778105,97,97.0,97.0
-218923171#5,16.86,4.0,27.78,12.0,0.777229,164,164.0,163.0
218923171#5,16.86,4.0,27.78,12.0,0.776423,62,59.0,62.0
516948898#4,38.68,3.0,27.78,12.0,0.775297,4,4.0,3.0
-578313748#2,11.8,2.0,27.78,12.0,0.774705,86,86.0,86.0
-218923171#1,16.35,4.0,27.78,12.0,0.774677,62,62.0,62.0
619147740,57.93,2.0,27.78,12.0,0.774551,181,178.0,180.0
218923171#0,16.37,4.0,27.78,12.0,0.773655,57,56.0,53.0
578313748#2,11.8,2.0,27.78,12.0,0.773637,107,107.0,107.0
1455524949#5,37.62,3.0,16.67,12.0,0.773011,10,10.0,9.0
578313749#0,29.65,3.0,16.67,12.0,0.7719,7,0.0,7.0
619147739#1,45.96,2.0,27.78,12.0,0.769329,172,172.0,169.0
