sweep,parameter_id,D_det,alpha,G_ext,T_change_sec,final_status,warning_reason,failure_reason,emergency_travel_time_sec,A_delay_sec,N_delay_sec,T_recovery_sec,score_sec,background_teleported,network_avg_speed_kmh,congestion_valid,intervention_count,t_change_request_count,t_change_switch_count
stage1,stage1_d500_a10_g30_t10,500.0,10.0,30.0,10.00,WARNING,background_teleports_present,,1776.00,1134.00,4.62,478.00,3884.62,2,13.289295,True,16,4,0
stage1,stage1_d500_a10_g60_t10,500.0,10.0,60.0,10.00,PASS,,,1056.00,414.00,4.21,1098.00,2344.21,0,15.388723,True,14,5,0
stage1,stage1_d500_a5_g30_t10,500.0,5.0,30.0,10.00,WARNING,background_teleports_present,,1779.00,1137.00,4.45,475.00,3890.45,2,13.517565,True,16,4,0
stage1,stage1_d500_a5_g60_t10,500.0,5.0,60.0,10.00,PASS,,,1056.00,414.00,4.21,1098.00,2344.21,0,15.388723,True,14,5,0
stage1,stage1_d700_a10_g30_t10,700.0,10.0,30.0,10.00,PASS,,,1419.00,777.00,4.44,1099.00,3434.44,0,16.181075,True,15,3,0
stage1,stage1_d700_a10_g60_t10,700.0,10.0,60.0,10.00,PASS,,,1416.00,774.00,4.54,848.00,3174.54,0,15.388783,True,15,6,0
stage1,stage1_d700_a5_g30_t10,700.0,5.0,30.0,10.00,PASS,,,1776.00,1134.00,4.17,477.00,3883.17,0,16.221833,True,16,3,0
stage1,stage1_d700_a5_g60_t10,700.0,5.0,60.0,10.00,WARNING,background_teleports_present,,1058.00,416.00,4.83,1106.00,2358.83,2,13.270789,True,15,6,0
stage1,stage1_d900_a10_g30_t10,900.0,10.0,30.0,10.00,PASS,,,1419.00,777.00,4.44,1099.00,3434.44,0,16.181075,True,15,3,0
stage1,stage1_d900_a10_g60_t10,900.0,10.0,60.0,10.00,PASS,,,1057.00,415.00,4.29,1104.00,2353.29,0,15.834266,True,14,5,0
stage1,stage1_d900_a5_g30_t10,900.0,5.0,30.0,10.00,PASS,,,1776.00,1134.00,4.17,477.00,3883.17,0,16.221833,True,16,3,0
stage1,stage1_d900_a5_g60_t10,900.0,5.0,60.0,10.00,PASS,,,1057.00,415.00,4.29,1104.00,2353.29,0,15.834266,True,14,5,0
tchange,tchange_d500_a5_g60_t0,500.0,5.0,60.0,0.00,PASS,,,1056.00,414.00,4.21,1098.00,2344.21,0,15.388723,True,14,5,0
tchange,tchange_d500_a5_g60_t10,500.0,5.0,60.0,10.00,PASS,,,1056.00,414.00,4.21,1098.00,2344.21,0,15.388723,True,14,5,0
tchange,tchange_d500_a5_g60_t12,500.0,5.0,60.0,12.00,PASS,,,1056.00,414.00,4.21,1098.00,2344.21,0,15.388723,True,14,5,0
tchange,tchange_d500_a5_g60_t15,500.0,5.0,60.0,15.00,PASS,,,1056.00,414.00,4.21,1098.00,2344.21,0,15.388723,True,14,5,0
tchange,tchange_d500_a5_g60_t2,500.0,5.0,60.0,2.00,PASS,,,1056.00,414.00,4.21,1098.00,2344.21,0,15.388723,True,14,5,0
tchange,tchange_d500_a5_g60_t20,500.0,5.0,60.0,20.00,PASS,,,1056.00,414.00,4.21,1098.00,2344.21,0,15.388723,True,14,5,0
tchange,tchange_d500_a5_g60_t25,500.0,5.0,60.0,25.00,PASS,,,1056.00,414.00,4.21,1098.00,2344.21,0,15.388723,True,14,5,0
tchange,tchange_d500_a5_g60_t30,500.0,5.0,60.0,30.00,PASS,,,1056.00,414.00,4.21,1098.00,2344.21,0,15.388723,True,14,5,0
tchange,tchange_d500_a5_g60_t5,500.0,5.0,60.0,5.00,PASS,,,1056.00,414.00,4.21,1098.00,2344.21,0,15.388723,True,14,5,0
tchange,tchange_d500_a5_g60_t8,500.0,5.0,60.0,8.00,PASS,,,1056.00,414.00,4.21,1098.00,2344.21,0,15.388723,True,14,5,0
