generated_at,run_id,timeout_steps,command_time_to_teleport,pipeline,output_prefix,mode,parameter_id,repeat_id,route_id,route_start_edge,route_target_edge,route_policy,D_det,alpha,G_ext,T_change_sec,w1,w2,w3,effective_alpha_sec,effective_G_ext_sec,emergency_travel_time_sec,b00_emergency_travel_time_sec,A_delay_sec,N_delay_sec,T_recovery_sec,score_sec,emergency_arrived,emergency_teleport,background_vehicle_count,final_status,warning_reason,failure_reason,run_dir,sumo_exit_code,emergency_departed,emergency_travel_time,emergency_corridor_actual_sec,emergency_corridor_free_flow_sec,general_non_main_actual_sec,general_non_main_free_flow_sec,general_non_main_vehicle_edge_count,N_delay_completed_vehicle_edge_count,N_delay_excluded_active_vehicle_edge_count,N_delay_excluded_ratio,route_error_count,background_departed,background_arrived,background_teleported,background_teleport_ratio,timeout_reached,remaining_vehicle_count,background_remaining_count,background_remaining_at_sim_end,all_vehicles_arrived,network_avg_speed_kmh,congestion_valid,congestion_reason,emergency_route_length_m,emergency_avg_speed_kmh,emergency_speed_factor,emergency_speed_cap_kmh,emergency_bluelight_enabled,b00_speed_policy,controlled_tls_count,skipped_tls_count,failed_tls_count,intervention_count,green_extension_count,phase_switch_count,restore_count,signal_event_count,t_change_request_count,t_change_switch_count,green_missed_before_t_change_count,T_recovery_tls_count,T_recovery_max_tls_id,T_recovery_unrecovered_count,queue_recovery_csv,safety_violation_count,emergency_stop_warning_count,emergency_lane_connection_warning_count,emergency_lane_connection_diagnostic_count,signal_events_csv,b0_emergency_travel_time,travel_time_delta_sec,travel_time_improvement_pct,stderr_log,tripinfo,summary_output,edgeData_output,controller_started,elapsed_wall_sec,emergency_vehicle_id,sumocfg,sim_end_time
2026-05-29T23:43:11.451946+00:00,20260529T234311_451946Z0000,7200,1200,parameter_input_sim,parameter_input_sim,B0,no_control,repeat_001,FIRE_TO_SEOUL_STATION,-381802881#2,438360331#2,shortest_to_seoul_station,,,,,3.00,1.00,1.00,,,1420.00,642.00,778.00,4.22,730.00,3068.22,True,False,654,PASS,,,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B0/no_control/repeat_001/FIRE_TO_SEOUL_STATION,0,True,1420.00,1095.00,209.37,8.22,4.07,11259,11259,0,0.0,0,654,654,0,0.0,False,0,0,0,True,16.180587,True,congested_10_to_25_kmh,4351.61,11.03,1.00,50.00,False,speed50_net_emergency_speedFactor_1p00_no_bluelight,0,0,0,0,0,0,0,0,0,0,0,15,joinedS_11203001806_11203001814_13721232731_5851251250_#6more,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B0/no_control/repeat_001/FIRE_TO_SEOUL_STATION/queue_recovery_by_tls.csv,0,0,0,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B0/no_control/repeat_001/FIRE_TO_SEOUL_STATION/signal_events.csv,,,,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B0/no_control/repeat_001/FIRE_TO_SEOUL_STATION/sumo_stderr.log,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B0/no_control/repeat_001/FIRE_TO_SEOUL_STATION/tripinfo.xml,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B0/no_control/repeat_001/FIRE_TO_SEOUL_STATION/summary.xml,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B0/no_control/repeat_001/FIRE_TO_SEOUL_STATION/edgeData.xml,True,74.01,emergency_FIRE_TO_SEOUL_STATION_B0_repeat_001,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B0/no_control/repeat_001/FIRE_TO_SEOUL_STATION/scenario.sumocfg,4976.00
2026-05-29T23:43:11.451946+00:00,20260529T234311_451946Z0000,7200,1200,parameter_input_sim,parameter_input_sim,B00,freeflow,repeat_001,FIRE_TO_SEOUL_STATION,-381802881#2,438360331#2,shortest_to_seoul_station,,,,,3.00,1.00,1.00,,,642.00,642.00,0.00,0.00,0.00,0.00,True,False,0,PASS,,,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B00/freeflow/repeat_001/FIRE_TO_SEOUL_STATION,0,True,642.00,311.00,209.37,0.00,0.00,0,0,0,0.0,0,0,0,0,0.0,False,0,0,0,True,24.436374,False,not_applicable_no_background,4351.61,24.40,1.00,50.00,False,speed50_net_emergency_speedFactor_1p00_no_bluelight,0,0,0,0,0,0,0,0,0,0,0,0,,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B00/freeflow/repeat_001/FIRE_TO_SEOUL_STATION/queue_recovery_by_tls.csv,0,0,0,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B00/freeflow/repeat_001/FIRE_TO_SEOUL_STATION/signal_events.csv,,,,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B00/freeflow/repeat_001/FIRE_TO_SEOUL_STATION/sumo_stderr.log,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B00/freeflow/repeat_001/FIRE_TO_SEOUL_STATION/tripinfo.xml,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B00/freeflow/repeat_001/FIRE_TO_SEOUL_STATION/summary.xml,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B00/freeflow/repeat_001/FIRE_TO_SEOUL_STATION/edgeData.xml,True,11.89,emergency_FIRE_TO_SEOUL_STATION_B00_repeat_001,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B00/freeflow/repeat_001/FIRE_TO_SEOUL_STATION/scenario.sumocfg,642.00
2026-05-29T23:43:11.451946+00:00,20260529T234311_451946Z0000,7200,1200,parameter_input_sim,parameter_input_sim,B2,stage1_d500_a10_g30_t10,repeat_001,FIRE_TO_SEOUL_STATION,-381802881#2,438360331#2,shortest_to_seoul_station,500.0,10.0,30.0,10.00,3.00,1.00,1.00,10.00,30.00,1776.00,642.00,1134.00,4.62,478.00,3884.62,True,False,654,WARNING,background_teleports_present,,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a10_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION,0,True,1776.00,1121.00,209.37,8.64,4.09,11197,11197,0,0.0,0,654,654,2,0.003058,False,0,0,0,True,13.289295,True,congested_10_to_25_kmh,4351.61,8.82,1.00,50.00,False,speed50_net_emergency_speedFactor_1p00_no_bluelight,8,0,0,16,8,0,8,44,4,0,0,15,joinedS_11203001806_11203001814_13721232731_5851251250_#6more,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a10_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/queue_recovery_by_tls.csv,0,0,0,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a10_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/signal_events.csv,1420.0,356.00,-25.070423,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a10_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/sumo_stderr.log,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a10_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/tripinfo.xml,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a10_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/summary.xml,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a10_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/edgeData.xml,True,82.91,emergency_FIRE_TO_SEOUL_STATION_B2_stage1_d500_a10_g30_t10_repeat_001,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a10_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/scenario.sumocfg,4978.00
2026-05-29T23:43:11.451946+00:00,20260529T234311_451946Z0000,7200,1200,parameter_input_sim,parameter_input_sim,B2,stage1_d500_a10_g60_t10,repeat_001,FIRE_TO_SEOUL_STATION,-381802881#2,438360331#2,shortest_to_seoul_station,500.0,10.0,60.0,10.00,3.00,1.00,1.00,10.00,60.00,1056.00,642.00,414.00,4.21,1098.00,2344.21,True,False,654,PASS,,,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a10_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION,0,True,1056.00,788.00,209.37,8.22,4.08,11231,11231,0,0.0,0,654,654,0,0.0,False,0,0,0,True,15.388723,True,congested_10_to_25_kmh,4351.61,14.84,1.00,50.00,False,speed50_net_emergency_speedFactor_1p00_no_bluelight,8,0,0,14,8,0,8,46,5,0,0,15,joinedS_11203001806_11203001814_13721232731_5851251250_#6more,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a10_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/queue_recovery_by_tls.csv,0,0,0,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a10_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/signal_events.csv,1420.0,-364.00,25.633803,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a10_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/sumo_stderr.log,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a10_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/tripinfo.xml,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a10_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/summary.xml,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a10_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/edgeData.xml,True,81.15,emergency_FIRE_TO_SEOUL_STATION_B2_stage1_d500_a10_g60_t10_repeat_001,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a10_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/scenario.sumocfg,5054.00
2026-05-29T23:43:11.451946+00:00,20260529T234311_451946Z0000,7200,1200,parameter_input_sim,parameter_input_sim,B2,stage1_d500_a5_g30_t10,repeat_001,FIRE_TO_SEOUL_STATION,-381802881#2,438360331#2,shortest_to_seoul_station,500.0,5.0,30.0,10.00,3.00,1.00,1.00,5.00,30.00,1779.00,642.00,1137.00,4.45,475.00,3890.45,True,False,654,WARNING,background_teleports_present,,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a5_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION,0,True,1779.00,1126.00,209.37,8.47,4.09,11210,11210,0,0.0,0,654,654,2,0.003058,False,0,0,0,True,13.517565,True,congested_10_to_25_kmh,4351.61,8.81,1.00,50.00,False,speed50_net_emergency_speedFactor_1p00_no_bluelight,8,0,0,16,8,0,8,44,4,0,0,15,joinedS_11203001806_11203001814_13721232731_5851251250_#6more,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a5_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/queue_recovery_by_tls.csv,0,0,0,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a5_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/signal_events.csv,1420.0,359.00,-25.28169,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a5_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/sumo_stderr.log,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a5_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/tripinfo.xml,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a5_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/summary.xml,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a5_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/edgeData.xml,True,76.19,emergency_FIRE_TO_SEOUL_STATION_B2_stage1_d500_a5_g30_t10_repeat_001,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a5_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/scenario.sumocfg,4977.00
2026-05-29T23:43:11.451946+00:00,20260529T234311_451946Z0000,7200,1200,parameter_input_sim,parameter_input_sim,B2,stage1_d500_a5_g60_t10,repeat_001,FIRE_TO_SEOUL_STATION,-381802881#2,438360331#2,shortest_to_seoul_station,500.0,5.0,60.0,10.00,3.00,1.00,1.00,5.00,60.00,1056.00,642.00,414.00,4.21,1098.00,2344.21,True,False,654,PASS,,,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a5_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION,0,True,1056.00,788.00,209.37,8.22,4.08,11231,11231,0,0.0,0,654,654,0,0.0,False,0,0,0,True,15.388723,True,congested_10_to_25_kmh,4351.61,14.84,1.00,50.00,False,speed50_net_emergency_speedFactor_1p00_no_bluelight,8,0,0,14,8,0,8,46,5,0,0,15,joinedS_11203001806_11203001814_13721232731_5851251250_#6more,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a5_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/queue_recovery_by_tls.csv,0,0,0,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a5_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/signal_events.csv,1420.0,-364.00,25.633803,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a5_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/sumo_stderr.log,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a5_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/tripinfo.xml,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a5_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/summary.xml,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a5_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/edgeData.xml,True,78.29,emergency_FIRE_TO_SEOUL_STATION_B2_stage1_d500_a5_g60_t10_repeat_001,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a5_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/scenario.sumocfg,5054.00
2026-05-29T23:43:11.451946+00:00,20260529T234311_451946Z0000,7200,1200,parameter_input_sim,parameter_input_sim,B2,stage1_d700_a10_g30_t10,repeat_001,FIRE_TO_SEOUL_STATION,-381802881#2,438360331#2,shortest_to_seoul_station,700.0,10.0,30.0,10.00,3.00,1.00,1.00,10.00,30.00,1419.00,642.00,777.00,4.44,1099.00,3434.44,True,False,654,PASS,,,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a10_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION,0,True,1419.00,1118.00,209.37,8.45,4.08,11220,11220,0,0.0,0,654,654,0,0.0,False,0,0,0,True,16.181075,True,congested_10_to_25_kmh,4351.61,11.04,1.00,50.00,False,speed50_net_emergency_speedFactor_1p00_no_bluelight,8,0,0,15,8,0,8,35,3,0,0,15,joinedS_11203001806_11203001814_13721232731_5851251250_#6more,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a10_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/queue_recovery_by_tls.csv,0,0,0,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a10_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/signal_events.csv,1420.0,-1.00,0.070423,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a10_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/sumo_stderr.log,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a10_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/tripinfo.xml,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a10_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/summary.xml,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a10_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/edgeData.xml,True,81.22,emergency_FIRE_TO_SEOUL_STATION_B2_stage1_d700_a10_g30_t10_repeat_001,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a10_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/scenario.sumocfg,5052.00
2026-05-29T23:43:11.451946+00:00,20260529T234311_451946Z0000,7200,1200,parameter_input_sim,parameter_input_sim,B2,stage1_d700_a10_g60_t10,repeat_001,FIRE_TO_SEOUL_STATION,-381802881#2,438360331#2,shortest_to_seoul_station,700.0,10.0,60.0,10.00,3.00,1.00,1.00,10.00,60.00,1416.00,642.00,774.00,4.54,848.00,3174.54,True,False,654,PASS,,,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a10_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION,0,True,1416.00,785.00,209.37,8.55,4.08,11226,11226,0,0.0,0,654,654,0,0.0,False,0,0,0,True,15.388783,True,congested_10_to_25_kmh,4351.61,11.06,1.00,50.00,False,speed50_net_emergency_speedFactor_1p00_no_bluelight,8,0,0,15,8,0,8,44,6,0,0,15,joinedS_11203001806_11203001814_13721232731_5851251250_#6more,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a10_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/queue_recovery_by_tls.csv,0,0,0,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a10_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/signal_events.csv,1420.0,-4.00,0.28169,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a10_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/sumo_stderr.log,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a10_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/tripinfo.xml,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a10_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/summary.xml,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a10_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/edgeData.xml,True,83.25,emergency_FIRE_TO_SEOUL_STATION_B2_stage1_d700_a10_g60_t10_repeat_001,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a10_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/scenario.sumocfg,5054.00
2026-05-29T23:43:11.451946+00:00,20260529T234311_451946Z0000,7200,1200,parameter_input_sim,parameter_input_sim,B2,stage1_d700_a5_g30_t10,repeat_001,FIRE_TO_SEOUL_STATION,-381802881#2,438360331#2,shortest_to_seoul_station,700.0,5.0,30.0,10.00,3.00,1.00,1.00,5.00,30.00,1776.00,642.00,1134.00,4.17,477.00,3883.17,True,False,654,PASS,,,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a5_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION,0,True,1776.00,1119.00,209.37,8.17,4.07,11245,11245,0,0.0,0,654,654,0,0.0,False,0,0,0,True,16.221833,True,congested_10_to_25_kmh,4351.61,8.82,1.00,50.00,False,speed50_net_emergency_speedFactor_1p00_no_bluelight,8,0,0,16,8,0,8,35,3,0,0,15,joinedS_11203001806_11203001814_13721232731_5851251250_#6more,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a5_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/queue_recovery_by_tls.csv,0,0,0,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a5_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/signal_events.csv,1420.0,356.00,-25.070423,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a5_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/sumo_stderr.log,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a5_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/tripinfo.xml,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a5_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/summary.xml,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a5_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/edgeData.xml,True,81.09,emergency_FIRE_TO_SEOUL_STATION_B2_stage1_d700_a5_g30_t10_repeat_001,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a5_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION/scenario.sumocfg,4984.00
2026-05-29T23:43:11.451946+00:00,20260529T234311_451946Z0000,7200,1200,parameter_input_sim,parameter_input_sim,B2,stage1_d700_a5_g60_t10,repeat_001,FIRE_TO_SEOUL_STATION,-381802881#2,438360331#2,shortest_to_seoul_station,700.0,5.0,60.0,10.00,3.00,1.00,1.00,5.00,60.00,1058.00,642.00,416.00,4.83,1106.00,2358.83,True,False,654,WARNING,background_teleports_present,,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a5_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION,0,True,1058.00,779.00,209.37,8.85,4.08,11224,11224,0,0.0,0,654,654,2,0.003058,False,0,0,0,True,13.270789,True,congested_10_to_25_kmh,4351.61,14.81,1.00,50.00,False,speed50_net_emergency_speedFactor_1p00_no_bluelight,8,0,0,15,8,0,8,44,6,0,0,15,joinedS_11203001806_11203001814_13721232731_5851251250_#6more,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a5_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/queue_recovery_by_tls.csv,0,0,0,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a5_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/signal_events.csv,1420.0,-362.00,25.492958,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a5_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/sumo_stderr.log,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a5_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/tripinfo.xml,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a5_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/summary.xml,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a5_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/edgeData.xml,True,84.22,emergency_FIRE_TO_SEOUL_STATION_B2_stage1_d700_a5_g60_t10_repeat_001,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a5_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION/scenario.sumocfg,5051.00
