generated_at,run_id,pipeline,mode,parameter_id,repeat_id,route_id,D_det,alpha,G_ext,T_change_sec,A_delay_sec,N_delay_sec,T_recovery_sec,score_sec,final_status,warning_reason,failure_reason,emergency_travel_time_sec,b00_emergency_travel_time_sec,background_teleported,background_remaining_count,network_avg_speed_kmh,congestion_valid,intervention_count,t_change_switch_count,run_dir
2026-05-29T23:43:11.451946+00:00,20260529T234311_451946Z0000,parameter_input_sim,B0,no_control,repeat_001,FIRE_TO_SEOUL_STATION,,,,,778.00,4.22,730.00,3068.22,PASS,,,1420.00,642.00,0,0,16.180587,True,0,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B0/no_control/repeat_001/FIRE_TO_SEOUL_STATION
2026-05-29T23:43:11.451946+00:00,20260529T234311_451946Z0000,parameter_input_sim,B00,freeflow,repeat_001,FIRE_TO_SEOUL_STATION,,,,,0.00,0.00,0.00,0.00,PASS,,,642.00,642.00,0,0,24.436374,False,0,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B00/freeflow/repeat_001/FIRE_TO_SEOUL_STATION
2026-05-29T23:43:11.451946+00:00,20260529T234311_451946Z0000,parameter_input_sim,B2,stage1_d500_a10_g30_t10,repeat_001,FIRE_TO_SEOUL_STATION,500.0,10.0,30.0,10.00,1134.00,4.62,478.00,3884.62,WARNING,background_teleports_present,,1776.00,642.00,2,0,13.289295,True,16,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a10_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION
2026-05-29T23:43:11.451946+00:00,20260529T234311_451946Z0000,parameter_input_sim,B2,stage1_d500_a10_g60_t10,repeat_001,FIRE_TO_SEOUL_STATION,500.0,10.0,60.0,10.00,414.00,4.21,1098.00,2344.21,PASS,,,1056.00,642.00,0,0,15.388723,True,14,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a10_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION
2026-05-29T23:43:11.451946+00:00,20260529T234311_451946Z0000,parameter_input_sim,B2,stage1_d500_a5_g30_t10,repeat_001,FIRE_TO_SEOUL_STATION,500.0,5.0,30.0,10.00,1137.00,4.45,475.00,3890.45,WARNING,background_teleports_present,,1779.00,642.00,2,0,13.517565,True,16,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a5_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION
2026-05-29T23:43:11.451946+00:00,20260529T234311_451946Z0000,parameter_input_sim,B2,stage1_d500_a5_g60_t10,repeat_001,FIRE_TO_SEOUL_STATION,500.0,5.0,60.0,10.00,414.00,4.21,1098.00,2344.21,PASS,,,1056.00,642.00,0,0,15.388723,True,14,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d500_a5_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION
2026-05-29T23:43:11.451946+00:00,20260529T234311_451946Z0000,parameter_input_sim,B2,stage1_d700_a10_g30_t10,repeat_001,FIRE_TO_SEOUL_STATION,700.0,10.0,30.0,10.00,777.00,4.44,1099.00,3434.44,PASS,,,1419.00,642.00,0,0,16.181075,True,15,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a10_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION
2026-05-29T23:43:11.451946+00:00,20260529T234311_451946Z0000,parameter_input_sim,B2,stage1_d700_a10_g60_t10,repeat_001,FIRE_TO_SEOUL_STATION,700.0,10.0,60.0,10.00,774.00,4.54,848.00,3174.54,PASS,,,1416.00,642.00,0,0,15.388783,True,15,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a10_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION
2026-05-29T23:43:11.451946+00:00,20260529T234311_451946Z0000,parameter_input_sim,B2,stage1_d700_a5_g30_t10,repeat_001,FIRE_TO_SEOUL_STATION,700.0,5.0,30.0,10.00,1134.00,4.17,477.00,3883.17,PASS,,,1776.00,642.00,0,0,16.221833,True,16,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a5_g30_t10/repeat_001/FIRE_TO_SEOUL_STATION
2026-05-29T23:43:11.451946+00:00,20260529T234311_451946Z0000,parameter_input_sim,B2,stage1_d700_a5_g60_t10,repeat_001,FIRE_TO_SEOUL_STATION,700.0,5.0,60.0,10.00,416.00,4.83,1106.00,2358.83,WARNING,background_teleports_present,,1058.00,642.00,2,0,13.270789,True,15,0,runs/final/parameter_input_sim/20260529T234311_451946Z0000/B2/stage1_d700_a5_g60_t10/repeat_001/FIRE_TO_SEOUL_STATION
