구간,시작교차로,끝교차로,구간길이_m,상행차로수(서울역방향),하행차로수(성동고교방향),제한속도_kmh,시작현시,끝현시,평균속도_kmh(상행),평균속도_kmh(하행),통과시간_s(상행),통과시간_s(하행),평균정차시간_s(SUMO산출),첨두교통량_대시(참고),시작_lat(위도),시작_lon(경도),끝_lat(위도),끝_lon(경도),시작_결정적교차로,끝_결정적교차로
S1,신당역,성동글로벌경영고,356.9,3,3,50,4.0,,18.3,14.5,70.2,88.6,,1128,37.565319,127.016594,37.564829,127.012585,★,
S2,성동글로벌경영고,한양공고앞,181.0,3,3,50,,2.0,19.2,15.7,33.9,41.5,,1128,37.564829,127.012585,37.564852,127.010528,,
S3,한양공고앞,토요코인호텔앞,129.2,3,3,50,2.0,2.0,19.2,16.5,24.2,28.2,,1128,37.564852,127.010528,37.564375,127.009188,,
S4,토요코인호텔앞,차로변화(127.0078),125.9,3,3,50,2.0,,18.3,16.5,24.8,27.5,,1128,37.564375,127.009188,37.564099,127.0078,,
S5,차로변화(127.0078),광희사거리,40.1,2,3,50,,3.0,16.4,15.7,8.8,9.2,,1128,37.564099,127.0078,37.564011,127.007358,,
S6,광희사거리,퇴계로5가,444.6,2,3,50,3.0,3.0,16.4,15.7,97.6,101.9,,1128,37.564011,127.007358,37.563021,127.002462,,
S7,퇴계로5가,차로변화(126.9986),342.2,2,3,50,3.0,,16.4,15.7,75.1,78.5,,1128,37.563021,127.002462,37.56241,126.99865,,
S8,차로변화(126.9986),퇴계로4가,45.2,3,2,50,,3.0,18.3,14.2,8.9,11.5,,759,37.56241,126.99865,37.562329,126.998147,,
S9,퇴계로4가,충무로역(퇴계로3가),468.9,3,2,50,3.0,4.0,16.8,14.2,100.5,118.9,,759,37.562329,126.998147,37.5609,126.993133,,★
S10,충무로역(퇴계로3가),차로변화(126.9907),214.5,2,3,50,4.0,,16.4,14.5,47.1,53.3,,759,37.5609,126.993133,37.561016,126.9907,★,
S11,차로변화(126.9907),퇴계로2가,128.9,2,2,50,,2.0,17.3,14.2,26.8,32.7,,759,37.561016,126.9907,37.561086,126.989238,,
S12,퇴계로2가,차로변화(126.9869),201.3,2,2,50,2.0,,16.4,14.9,44.2,48.6,,759,37.561086,126.989238,37.561062,126.98695,,
S13,차로변화(126.9869),명동역앞,64.0,3,3,50,,2.0,19.2,15.7,12.0,14.7,,759,37.561062,126.98695,37.561054,126.986223,,
S14,명동역앞,데이즈호텔앞,202.3,3,3,50,2.0,2.0,19.2,16.5,37.9,44.1,,759,37.561054,126.986223,37.560611,126.983993,,
S15,데이즈호텔앞,회현사거리,163.1,3,3,50,2.0,4.0,16.8,16.5,34.9,35.6,,759,37.560611,126.983993,37.560753,126.982148,,★
S16,회현사거리,신세계백화점,220.6,3,3,50,4.0,3.0,18.3,14.5,43.4,54.8,,759,37.560753,126.982148,37.559606,126.9801,★,
S17,신세계백화점,남대문시장,171.2,3,3,50,3.0,2.0,19.2,15.7,32.1,39.3,,759,37.559606,126.9801,37.558839,126.978412,,
S18,남대문시장,삼선빌딩,182.6,3,3,50,2.0,3.0,18.3,16.5,35.9,39.8,,759,37.558839,126.978412,37.557583,126.977072,,
S19,삼선빌딩,세브란스빌딩,277.8,3,3,50,3.0,3.0,18.3,15.7,54.6,63.7,,759,37.557583,126.977072,37.556492,126.974231,,
S20,세브란스빌딩,차로변화(126.9741),17.2,3,3,50,3.0,,18.3,15.7,3.4,3.9,,759,37.556492,126.974231,37.556433,126.97405,,
S21,차로변화(126.9741),서울스퀘어앞,82.1,3,2,50,,3.0,18.3,14.2,16.2,20.8,,759,37.556433,126.97405,37.556152,126.973187,,
S22,서울스퀘어앞,서울역R,120.2,3,2,50,3.0,4.0,16.8,14.2,25.8,30.5,,759,37.556152,126.973187,37.557032,126.97239,,★
